"","CardNames","Presence","WINRATE_95_MIN"
"1","Field of the Dead",22.1,68.7
"2","Snow-Covered Forest",26.7,68.7
"3","Veil of Summer",34.3,68.6
"4","Temple Garden",27.1,68.5
"5","Breeding Pool",23.7,68.5
"6","Forest",45.6,68.5
"7","Burrenton Forge-Tender",7.8,68.4
"8","Soul-Guide Lantern",13.8,68.4
"9","Walking Ballista",12,68.3
"10","Teferi, Time Raveler",17.5,68.3
"11","Uro, Titan of Nature's Wrath",20.1,68.3
"12","Field of Ruin",22.4,68.3
"13","Path to Exile",40.3,68.3
"14","Turntimber Symbiosis",8.8,68.2
"15","Firespout",10.8,68.2
"16","Omnath, Locus of Creation",13,68.2
"17","Mana Leak",14.8,68.2
"18","Ketria Triome",16.4,68.2
"19","Snow-Covered Island",21,68.2
"20","Plains",45.1,68.2
"21","Engineered Explosives",14.3,68.1
"22","Hallowed Fountain",18.2,68
"23","Wrenn and Six",20.8,67.9
"24","Celestial Purge",19.9,67.9
"25","Misty Rainforest",28.4,67.9
"26","Supreme Verdict",10.7,67.8
"27","Island",37.5,67.8
"28","Raugrin Triome",13,67.7
"29","Growth Spiral",12.8,67.7
"30","Blast Zone",14.9,67.7
"31","Aether Gust",26.6,67.7
"32","Bomat Courier",7.5,67.6
"33","Hour of Promise",11.7,67.6
"34","Flooded Strand",19.9,67.6
"35","Force of Negation",23.1,67.6
"36","Cavern of Souls",16.8,67.5
"37","Snow-Covered Plains",18.2,67.5
"38","Cryptic Command",20.3,67.5
"39","Mystic Sanctuary",19.3,67.5
"40","Thoughtseize",25.8,67.5
"41","Cleansing Wildfire",23.9,67.5
"42","Lightning Bolt",42.2,67.5
"43","Ceremonious Rejection",6.4,67.4
"44","Windswept Heath",21,67.4
"45","Dismember",25.3,67.4
"46","Sea Gate Restoration",5.5,67.3
"47","Castle Garenbrig",8.1,67.3
"48","Swamp",25.7,67.3
"49","Scalding Tarn",23.1,67.3
"50","Wooded Foothills",26.4,67.3
