"","ARCHETYPES","PRESENCE"
"1","Shadow Prowess",1050
"2","WURG Control",1017
"3","Heliod Combo",531
"4","Reclaimer Titan",483
"5","Humans",446
"6","Mono White Taxes",404
"7","Obosh Aggro",364
"8","Oops All Spells",339
"9","Amulet Titan",310
"10","KGC Tron",271
"11","Sultai Control",231
"12","Ad Nauseam",226
"13","E Tron",218
"14","Izzet Prowess",218
"15","Gruul Midrange",216
"16","Dredge",213
"17","Jund Midrange",202
"18","Mill",183
"19","Burn",173
"20","Izzet Control",173
"21","Omnath Saheeli",168
"22","Azorius Control",147
"23","Gifts Storm",138
"24","Niv To Light",137
"25","Devoted",124
"26","Hammer Time",124
"27","UBRG Control",123
"28","Belcher",114
"29","Infect",92
"30","Temur Control",88
"31","Jeskai Control",81
"32","Grixis Shadow",80
"33","Izzet Restore Balance",80
"34","Spirits",76
"35","Orzhov Midrange",73
"36","Jund Shadow",65
"37","Rakdos Midrange",64
"38","Scapeshift",62
"39","Mono Red Prowess",60
"40","Bant Spirits",59
"41","Bogles",58
"42","Bant Midrange",58
"43","Kiki Chord",54
"44","Azorius Taxes",54
"45","Bant Blink",52
"46","KGC Amulet Titan",49
"47","Merfolk",46
"48","Izzet Living End",43
"49","Enduring Ideal",37
"50","Boros Land Destruction",37
"51","Mardu Midrange",34
"52","Neobrand",33
"53","Rakdos Prowess",31
"54","U Tron",31
"55","Dimir Control",30
"56","Bant Control",24
"57","Hardened Scales",23
"58","Snoop Goblins",23
"59","Rogues",23
"60","Sultai Shadow",21
"61","Golgari Midrange",21
"62","Sultai Midrange",21
"63","Crabvine",20
"64","Jeskai Ascendancy",19
"65","Elementals",19
"66","Selenya Midrange",19
"67","Abzan Midrange",17
"68","UBRG Shadow",17
"69","Abzan Company",16
"70","Thopter Urza",15
"71","Taking Turns",15
"72","Esper Control",14
"73","White Devotion",12
"74","Selenya Taxes",12
"75","Slivers",12
"76","Primeval Titan",12
"77","Jund Prowess",10
"78","Polymorph",10
"79","Golgari Elves",9
"80","Orzhov Taxes",9
"81","Erayo Prison",9
"82","Golos Tron",8
"83","Selective Oracle",8
"84","Jeskai Taxes",7
"85","Boros Prowess",7
"86","Mardu Prowess",7
"87","Naya Midrange",7
"88","Abzan Taxes",7
"89","Rakdos Shadow",7
"90","Grixis Control",7
"91","G Tron",7
"92","Saheeli Combo",7
"93","Inverter",7
"94","Heliod Devoted",7
"95","WURG Blink",7
"96","UBRG Midrange",5
"97","Tokens",5
"98","Bushwhacker Zoo",5
"99","Kuldotha Red",5
"100","Uroza",5
"101","Snow Saheeli",5
"102","Yawgmoth",5
"103","Esper Shadow",5
"104","Selesnya Eldrazi",5
"105","Naya Prowess",5
"106","Red Prison",5
"107","Dice Factory Tron",5
"108","Jeskai Breach",5
