"","ARCHETYPES","NB_COPIES","NB_PLAYERS","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","MATCHES_PER_PLAYER","WINRATE_ARCH_OUT_PLAYERS"
"1","Goblins",11,10,83,0.686746987951807,0.575574776390818,0.784139001670713,8.3,1.02384334712096
"2","Eldrazi Tron",16,12,126,0.698412698412698,0.61029644554861,0.776945368641742,10.5,1.01262643449065
"3","Dredge",10,8,74,0.662162162162162,0.542824046357877,0.768072819456811,9.25,1.0266203609568
"4","Bant Control",18,15,140,0.742857142857143,0.662198227516842,0.812948931376689,9.33333333333333,1.02164570232608
"5","Blue Tron",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1
"6","Jund Midrange",10,8,83,0.72289156626506,0.613751868061966,0.815543937623594,10.375,1.02469847107316
"7","Azorius Control",2,2,16,0.75,0.476229180103872,0.927337961747118,8,1
"8","Gruul Midrange",14,13,103,0.669902912621359,0.570324991553874,0.759422278581873,7.92307692307692,0.997861866601973
"9","Amulet Titan",9,8,68,0.676470588235294,0.552074756074853,0.784932615261615,8.5,1.0191975381702
"10","Jund Shadow",2,2,14,0.714285714285714,0.418964742816338,0.916110681692872,7,1
"11","Grixis Shadow",3,1,22,0.727272727272727,0.497778798733651,0.892710751629603,22,1
"12","Burn",7,6,52,0.673076923076923,0.528946760547548,0.796702212180897,8.66666666666667,0.993155524154376
"13","Green Tron",7,5,52,0.653846153846154,0.509143920536497,0.780342097786177,10.4,1.00583342404703
"14","Gifts Storm",7,6,54,0.685185185185185,0.544476005127157,0.804760588996809,9,0.997038791827066
"15","Spirits",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,1
"16","Mono Red Prowess",7,6,50,0.68,0.533006159885269,0.804795805337161,8.33333333333333,1.01516587677725
"17","Temur Control",7,6,52,0.692307692307692,0.548976017783368,0.812826630800221,8.66666666666667,1.00530058177117
"18","Scapeshift",4,3,37,0.72972972972973,0.558806366424264,0.862097415586498,12.3333333333333,0.984773086206383
"19","Rakdos Prowess",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,1
"20","Sultai Control",18,14,135,0.711111111111111,0.626876156520498,0.785833484161924,9.64285714285714,1.05550982479632
"21","Infect",3,3,19,0.578947368421053,0.334997844011735,0.797478561022837,6.33333333333333,0.949265054528212
"22","Delver",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"23","Elementals",2,2,14,0.714285714285714,0.418964742816338,0.916110681692872,7,1.00840336134454
"24","WUBG Control",1,1,6,0.666666666666667,0.222778095503512,0.956728131707258,6,1
"25","Elves",2,2,13,0.692307692307692,0.385738338249295,0.909079605427903,6.5,1.0026525198939
"26","Mill",2,1,13,0.538461538461538,0.251345482270304,0.807767558198712,13,1
"27","Thopter Urza",2,2,18,0.833333333333333,0.585822508605226,0.964214916878425,9,1.01010101010101
"28","UBRG Shadow",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"29","Devoted",5,5,39,0.641025641025641,0.471795113625412,0.7879628144392,7.8,1.00911082920078
"30","Ad Nauseam",2,1,15,0.733333333333333,0.448996758963029,0.922128453708956,15,0.977777777777778
"31","Grinding Breach",2,2,14,0.642857142857143,0.351380110615992,0.872401570140841,7,1
"32","Izzet Prowess",2,2,17,0.764705882352941,0.50100672679542,0.931892259562643,8.5,1.08056265984655
"33","UBRG Control",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,1
"34","Izzet Control",2,2,14,0.642857142857143,0.351380110615992,0.872401570140841,7,1
"35","WURG Control",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,1
"36","Selesnya Taxes",1,1,11,0.818181818181818,0.482244147639827,0.97716880170004,11,1
"37","Uroza",2,1,17,0.705882352941177,0.440417281245663,0.89686448562968,17,1
"38","Hardened Scales",2,2,18,0.777777777777778,0.52362723426352,0.935907952282333,9,1.04672897196262
"39","Boros Taxes",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"40","Niv To Light",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"41","Bogles",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
