"","SetCode","NoCopies","Winrate"
"1","MH2",5344,0.698
"2","LEA",2493,0.699
"3","ZEN",2335,0.704
"4","MH1",1736,0.699
"5","ONS",1509,0.702
"6","NEO",1058,0.699
"7","GPT",892,0.707
"8","ELD",736,0.705
"9","SNC",665,0.701
"10","KLD",654,0.688
"11","STX",639,0.713
"12","RAV",588,0.694
"13","CSP",587,0.699
"14","DIS",539,0.706
"15","LRW",519,0.69
"16","MID",474,0.703
"17","WWK",462,0.716
"18","THB",446,0.701
"19","5DN",438,0.692
"20","M20",437,0.703
"21","WAR",435,0.706
"22","NPH",428,0.696
"23","IKO",414,0.706
"24","FUT",384,0.691
"25","SOM",367,0.689
"26","MRD",347,0.687
"27","DKA",340,0.684
"28","DMU",331,0.704
"29","CMD",322,0.709
"30","AER",314,0.705
"31","ICE",314,0.7
"32","ATQ",312,0.683
"33","DRK",311,0.696
"34","EMN",307,0.691
"35","ARB",271,0.695
"36","BRO",270,0.68
"37","TSP",261,0.696
"38","ZNR",234,0.669
"39","KTK",209,0.698
"40","AFR",205,0.696
"41","APC",191,0.731
"42","PC2",184,0.701
"43","AVR",179,0.689
"44","VOW",179,0.679
"45","PLC",172,0.688
"46","M21",170,0.7
"47","ALA",166,0.688
"48","M11",154,0.679
"49","RNA",151,0.689
"50","ORI",150,0.707
"51","DGM",148,0.701
"52","MBS",145,0.689
"53","MIR",133,0.685
"54","AKH",133,0.681
"55","HOU",133,0.681
"56","DST",132,0.691
"57","ROE",126,0.701
"58","PLS",120,0.699
"59","KHM",118,0.702
"60","RTR",116,0.708
"61","CON",116,0.705
"62","SOK",113,0.691
"63","CHK",110,0.679
"64","M19",105,0.701
"65","SHM",100,0.691
"66","OGW",83,0.703
"67","DOM",81,0.709
"68","DTK",72,0.699
"69","BFZ",70,0.665
"70","INV",69,0.681
"71","EVE",65,0.688
"72","STH",63,0.706
"73","GTC",62,0.661
"74","SOI",62,0.703
"75","JUD",55,0.712
"76","M13",52,0.721
"77","MOR",51,0.692
"78","XLN",50,0.686
"79","GRN",50,0.689
"80","JOU",48,0.678
"81","M12",40,0.684
"82","ISD",35,0.704
"83","FRF",28,0.674
"84","M15",17,0.683
"85","ARN",16,0.7
"86","M10",11,0.718
"87","C14",11,0.688
"88","P02",8,0.733
"89","WTH",7,0.75
"90","TMP",7,0.708
"91","BOK",5,0.688
"92","LEG",4,0.733
"93","S99",1,0.778
