"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Amulet Titan - Living End - Shardless Cascade - Yawgmoth,Hardened Scales - Bant Blink - Mill,Amulet Titan - Living End - Mill - Stoneblade - Hardened Scales - Bant Blink - Shardless Cascade,Amulet Titan - Living End - Shardless Cascade,Amulet Titan - Living End - Shardless Cascade
"Tiers 1.5",Izzet Prowess - Humans - Stoneblade - Burn - Food - Heliod Combo - Mill,Niv To Light - Stoneblade - Food - Hammer Time - Esper Control - Jund Midrange - Grixis Shadow - Sultai Shadow - Rakdos Midrange,Food - Yawgmoth - Izzet Prowess - Niv To Light - Humans - Heliod Combo,Stoneblade - Yawgmoth - Izzet Prowess - Mill - Food - Humans - Hardened Scales - Bant Blink - Niv To Light - Heliod Combo,Stoneblade - Yawgmoth - Izzet Prowess - Mill - Food - Humans - Hardened Scales - Bant Blink - Niv To Light - Heliod Combo
"Tiers 2",Niv To Light - Ad Nauseam - Hardened Scales - Bant Blink - Hammer Time - Esper Control - Jund Midrange - Domain Zoo - Enchantress - Grixis Shadow - Sultai Shadow - Rakdos Midrange - Rogues - Taking Turns,Amulet Titan - Living End - Izzet Prowess - Shardless Cascade - Heliod Combo - Yawgmoth - Ad Nauseam - Domain Zoo - Enchantress,Ad Nauseam - Burn - Hammer Time - Esper Control - Jund Midrange - Grixis Shadow - Sultai Shadow - Rakdos Midrange,Burn - Ad Nauseam - Hammer Time - Esper Control - Jund Midrange - Grixis Shadow - Sultai Shadow - Rakdos Midrange,Burn - Ad Nauseam - Hammer Time - Esper Control - Jund Midrange - Grixis Shadow - Sultai Shadow - Rakdos Midrange
"Tiers 2.5",,Humans - Rogues - Taking Turns - Burn,Domain Zoo - Enchantress - Rogues - Taking Turns,Domain Zoo - Enchantress - Rogues - Taking Turns,Domain Zoo - Enchantress - Rogues - Taking Turns
