"","Artist","NoCopies","Winrate"
"1","Rob Alexander",671,0.712
"2","Christopher Rush",281,0.71
"3","Adam Paquette",246,0.716
"4","Eric Deschamps",217,0.704
"5","Mark Poole",212,0.719
"6","John Avon",202,0.7
"7","Ryan Pancoast",154,0.707
"8","Aleksi Briclot",145,0.714
"9","Mark Zug",137,0.717
"10","Shelly Wan",135,0.72
"11","Izzy",131,0.701
"12","Chippy",127,0.705
"13","Kev Walker",126,0.705
"14","Paul Scott Canavan",121,0.724
"15","Vance Kovacs",111,0.704
"16","Philip Straub",109,0.721
"17","Jason Rainville",108,0.704
"18","Terese Nielsen",108,0.718
"19","Tomasz Jedruszek",106,0.704
"20","Titus Lunter",104,0.715
"21","Anastasia Ovchinnikova",103,0.72
"22","Franz Vohwinkel",102,0.706
"23","Cyril Van Der Haegen",98,0.696
"24","Cliff Childs",94,0.725
"25","Ron Spears",93,0.711
"26","Christine Choi",90,0.704
"27","Steve Argyle",90,0.674
"28","Ekaterina Burmak",90,0.692
"29","Jason Chan",88,0.706
"30","Todd Lockwood",87,0.726
"31","Warren Mahy",85,0.689
"32","Anthony S. Waters",81,0.704
"33","John Stanko",79,0.739
"34","Richard Whitters",76,0.71
"35","Lake Hurwitz",75,0.698
"36","Raymond Swanland",72,0.696
"37","Greg Staples",71,0.704
"38","Chris Rallis",68,0.754
"39","Svetlin Velinov",68,0.725
"40","Daarken",68,0.732
"41","Seb McKinnon",68,0.709
"42","Heather Hudson",68,0.704
"43","Jesper Myrfors",67,0.716
"44","Dan Scott",67,0.675
"45","Randy Vargas",67,0.719
"46","Chase Stone",65,0.712
"47","Dave Kendall",64,0.687
"48","Douglas Shuler",62,0.701
"49","Yeong-Hao Han",62,0.712
"50","Johann Bodin",61,0.676
"51","Jonas De Ro",60,0.713
"52","David Martin",60,0.709
"53","Dan Frazier",57,0.715
"54","Volkan Baǵa",57,0.743
"55","Sam Burley",57,0.725
"56","Christopher Moeller",57,0.709
"57","Pete Venters",57,0.713
"58","James Paick",56,0.728
"59","Matt Stewart",54,0.714
"60","Johannes Voss",54,0.681
"61","Simon Dominic",53,0.752
"62","Adam Rex",53,0.695
"63","Darrell Riche",52,0.726
"64","Noah Bradley",50,0.716
"65","Ben Thompson",50,0.689
"66","Craig J Spearing",49,0.711
"67","Greg Hildebrandt",48,0.722
"68","Scott Murphy",48,0.713
"69","Nicholas Gregory",48,0.694
"70","Mike Bierek",47,0.75
"71","Donato Giancola",47,0.716
"72","Michael Komarck",47,0.685
"73","Michael Sutfin",47,0.667
"74","rk post",45,0.68
"75","Wayne England",44,0.741
"76","Dimitar Marinski",44,0.695
"77","Uriah Voth",44,0.707
"78","Howard Lyon",44,0.711
"79","Jeff Miracola",43,0.67
"80","Alayna Danner",42,0.745
"81","Mark Tedin",42,0.667
"82","Daniel Ljunggren",41,0.716
"83","Vincent Proce",40,0.732
"84","Gabor Szikszai",40,0.714
"85","Victor Adame Minguez",40,0.705
"86","Steven Belledin",39,0.74
"87","Igor Kieryluk",39,0.682
"88","Martina Pilcerova",38,0.699
"89","Kieran Yanner",38,0.754
"90","Campbell White",38,0.669
"91","Tom Wänerstrand",37,0.707
"92","Jung Park",36,0.711
"93","Mark Winters",36,0.726
"94","Sidharth Chaturvedi",36,0.674
"95","Martina Fackova",35,0.727
"96","Richard Wright",35,0.702
"97","Jason Felix",34,0.758
"98","Jesper Ejsing",33,0.725
"99","Lius Lasahido",33,0.703
"100","Chris Rahn",32,0.714
"101","Bastien L. Deharme",31,0.75
"102","Charles Urbach",31,0.722
"103","Jana Schirmer & Johannes Voss",31,0.722
"104","Michael C. Hayes",29,0.744
"105","Cynthia Sheppard",27,0.727
"106","John Matson",27,0.691
"107","Wisnu Tan",27,0.692
"108","Evan Shipard",26,0.757
"109","Lars Grant-West",26,0.714
"110","Lindsey Look",26,0.698
"111","Khang Le",25,0.716
"112","Alexander Forssberg",25,0.71
"113","Lucas Graciano",25,0.67
"114","Milivoj Ćeran",24,0.709
"115","Winona Nelson",24,0.686
"116","Caroline Gariba",24,0.702
"117","Zoltan Boros",24,0.667
"118","Nils Hamm",22,0.656
"119","Willian Murai",22,0.66
"120","Slawomir Maniak",22,0.731
"121","Filip Burburan",21,0.692
"122","Justin Murray",20,0.722
"123","Raoul Vitale",20,0.712
"124","Lie Setiawan",20,0.721
"125","Sarah Finnigan",19,0.719
"126","Karl Kopinski",19,0.72
"127","John Howe",19,0.733
"128","Tommy Arnold",19,0.707
"129","Heonhwa Choe",19,0.629
"130","Joe Slucher",17,0.732
"131","James Ryman",17,0.686
"132","Zoltan Boros & Gabor Szikszai",16,0.698
"133","Mark A. Nelson",16,0.69
"134","Dmitry Burmak",16,0.71
"135","Jean-Sébastien Rossbach",16,0.727
"136","Dominick Domingo",15,0.718
"137","Drew Tucker",15,0.762
"138","Brom",15,0.694
"139","David Rapoza",15,0.731
"140","Zack Stella",14,0.732
"141","Anson Maddocks",14,0.692
"142","Pat Morrissey",14,0.649
"143","Richard Kane Ferguson",14,0.7
"144","Tomas Giorello",14,0.674
"145","Magali Villeneuve",14,0.742
"146","Wayne Reynolds",13,0.704
"147","Mitsuaki Sagiri",13,0.633
"148","Livia Prima",13,0.667
"149","Cristi Balanescu",13,0.75
"150","Jeremy Enecio",12,0.75
"151","Yongjae Choi",12,0.684
"152","Kari Christensen",12,0.739
"153","Thomas M. Baxa",12,0.682
"154","Evyn Fong",12,0.667
"155","G-host Lee",11,0.765
"156","Grzegorz Rutkowski",11,0.75
"157","Bryon Wackwitz",10,0.725
"158","Chris Seaman",10,0.76
"159","Iris Compiet",10,0.76
