"","CardNames","NbDecks","WINRATE_95_MIN"
"1","Temple Garden",52,69.7
"2","Plains",106,69.6
"3","Forest",83,69.5
"4","Flooded Strand",63,69.4
"5","Teferi, Hero of Dominaria",22,69.1
"6","Hallowed Fountain",55,69
"7","Dismember",35,68.8
"8","Snow-Covered Plains",43,68.8
"9","Growth Spiral",25,68.7
"10","Marsh Flats",28,68.7
"11","Raugrin Triome",40,68.7
"12","Breeding Pool",59,68.7
"13","Path to Exile",76,68.7
"14","Hour of Promise",20,68.6
"15","Lurrus of the Dream-Den",42,68.5
"16","Teferi, Time Raveler",52,68.5
"17","Uro, Titan of Nature's Wrath",37,68.4
"18","Veil of Summer",40,68.3
"19","Island",83,68.3
"20","Windswept Heath",38,68.2
"21","Godless Shrine",18,68.1
"22","Force of Negation",70,68.1
"23","Cavern of Souls",28,68
"24","Omnath, Locus of Creation",29,68
"25","Jace, the Mind Sculptor",19,67.9
"26","Field of the Dead",32,67.9
"27","Misty Rainforest",61,67.9
"28","Sacred Foundry",28,67.8
"29","Lightning Bolt",86,67.8
"30","Swamp",41,67.7
"31","Mystic Sanctuary",42,67.6
"32","Snow-Covered Forest",36,67.5
"33","Snow-Covered Island",52,67.5
"34","Celestial Purge",26,67.4
"35","Sunbaked Canyon",27,67.4
"36","Engineered Explosives",44,67.4
"37","Fatal Push",39,67.3
"38","Death's Shadow",18,67.1
"39","Blood Crypt",35,67.1
"40","Cryptic Command",37,67.1
"41","Stomping Ground",44,67.1
"42","Thoughtseize",46,67.1
"43","Mystical Dispute",51,67.1
"44","Magus of the Moon",21,67
"45","Silent Clearing",26,67
"46","Aether Vial",31,67
"47","Steam Vents",71,67
"48","Valki, God of Lies",25,66.9
"49","Field of Ruin",28,66.9
"50","Ketria Triome",40,66.9
