"","CardNames","NbDecks","WINRATE_AVERAGE"
"1","Plains",106,72.8
"2","Lightning Bolt",86,71.5
"3","Forest",83,73.2
"4","Island",83,72
"5","Path to Exile",76,72.5
"6","Steam Vents",71,71.2
"7","Force of Negation",70,72.2
"8","Mountain",67,70.2
"9","Flooded Strand",63,73.6
"10","Misty Rainforest",61,72.3
"11","Breeding Pool",59,73.2
"12","Scalding Tarn",58,70.5
"13","Hallowed Fountain",55,73.5
"14","Aether Gust",54,71.5
"15","Snow-Covered Island",52,72.3
"16","Teferi, Time Raveler",52,73.2
"17","Temple Garden",52,74.4
"18","Mystical Dispute",51,71.9
"19","Wooded Foothills",50,71.2
"20","Thoughtseize",46,72.3
"21","Auriok Champion",45,71.6
"22","Engineered Explosives",44,72.6
"23","Stomping Ground",44,72.4
"24","Snow-Covered Plains",43,74.1
"25","Skyclave Apparition",43,71.7
"26","Mystic Sanctuary",42,72.9
"27","Lurrus of the Dream-Den",42,73.8
"28","Swamp",41,73.3
"29","Raugrin Triome",40,74
"30","Veil of Summer",40,73.7
"31","Ketria Triome",40,72.4
"32","Fatal Push",39,72.9
"33","Mishra's Bauble",39,72.4
"34","Simian Spirit Guide",39,71.9
"35","Windswept Heath",38,73.8
"36","Cryptic Command",37,72.8
"37","Uro, Titan of Nature's Wrath",37,74
"38","Snow-Covered Forest",36,73.4
"39","Blood Crypt",35,73.1
"40","Bloodstained Mire",35,72
"41","Dismember",35,74.8
"42","Soul-Guide Lantern",34,71.6
"43","Polluted Delta",33,71.4
"44","Wrenn and Six",33,71.8
"45","Monastery Swiftspear",33,72.2
"46","Field of the Dead",32,74
"47","Arid Mesa",32,72
"48","Aether Vial",31,73.2
"49","Boil",31,73.2
"50","Horizon Canopy",31,71.6
