"CardNames","Artists","Colors","CMC","Types","FirstSet","NbDecks","PercDecks","CardWins","CardMatches","Presence","AvgMdCount","AvgSbCount","PercCopies","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","Archetypes","URL"
"Alrund, God of the Cosmos","Kieran Yanner","U",5,"Creature","KHM",1,0.5,3,4,0.3,3,0,0.375,75,19.4,99.4,"Azorius Taxes","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-30#kiko_-"
"Behold the Multiverse","Magali Villeneuve","U",4,"Instant","KHM",1,0.5,5,7,0.5,3,0,0.375,71.4,29,96.3,"Dimir Control","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#tspjendrek_th_place"
"Cosima, God of the Voyage","Micah Epstein","U",3,"Creature","KHM",3,1.5,14,21,1.5,0.67,0.33,0.375,66.7,43,85.4,"WURG Control; WUBR Turbo Tibalt; Giants","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#katoriarch_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-07#bcs_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-08#slamanscott_th_place"
"Doomskar","Piotr Dura","W",5,"Sorcery","KHM",1,0.5,5,7,0.5,1,0,0.125,71.4,29,96.3,"Enduring Ideal","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-07#rinko_th_place"
"Egon, God of Death","Jason A. Engle","B",3,"Creature","KHM",3,1.5,14,20,1.4,1.67,0,0.62625,70,45.7,88.1,"Rakdos Midrange; Grixis Shadow","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#ozymandias_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#ozymandias_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-02#cntrlfreak_-"
"Glacial Floodplain","Sarah Finnigan","",0,"Land","KHM",1,0.5,7,9,0.6,1,0,0.125,77.8,40,97.2,"Reclamation","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-08#mussie_rd_place"
"Hengegate Pathway","Yeong-Hao Han","",0,"Land","KHM",1,0.5,3,4,0.3,4,0,0.5,75,19.4,99.4,"Azorius Taxes","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-30#kiko_-"
"In Search of Greatness","Ilse Gort","G",2,"Enchantment","KHM",1,0.5,4,7,0.5,4,0,0.5,57.1,18.4,90.1,"Green Devotion","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#curtisaxel_th_place"
"Invasion of the Giants","Jason Felix","R,U",2,"Enchantment","KHM",3,1.5,13,21,1.5,3.67,0,1.37625,61.9,38.4,81.9,"Giants","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#trunks_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#parrotlet_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-08#slamanscott_th_place"
"Realmwalker","Zack Stella","G",3,"Creature","KHM",1,0.5,3,4,0.3,3,0,0.375,75,19.4,99.4,"Humans","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-30#kanister_-"
"Reidane, God of the Worthy","Jason Rainville","W",3,"Creature","KHM",1,0.5,4,7,0.5,3,0,0.375,57.1,18.4,90.1,"Mono White Taxes","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#max_hersch_st_place"
"Rimewood Falls","Piotr Dura","",0,"Land","KHM",1,0.5,7,9,0.6,1,0,0.125,77.8,40,97.2,"Reclamation","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-08#mussie_rd_place"
"Saw It Coming","Randy Vargas","U",3,"Instant","KHM",1,0.5,3,4,0.3,0,1,0.125,75,19.4,99.4,"Grixis Shadow","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-02#cntrlfreak_-"
"Tibalt's Trickery","Anna Podedworna","R",2,"Instant","KHM",6,3,27,39,2.8,2.83,0.17,2.25,69.2,52.4,83,"Trickery Combo","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#houseofmanamtg_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#ryan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#acg_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-07#avb_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-08#draccon_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-06#sourceodin_-"
