"","SetName","Winrate","Presence"
"1","M15",74.9,2
"2","M19",74.7,14
"3","ULG",74.1,5.8
"4","EVE",73.9,8.1
"5","PLC",73.8,26.2
"6","AVR",73.6,16.7
"7","PLS",73.3,11.5
"8","LRW",73.2,59.2
"9","ARB",73.2,34.8
"10","DGM",73.2,13.7
"11","RAV",73,82.5
"12","GTC",73,12.3
"13","DIS",72.9,92.8
"14","ICE",72.9,76.7
"15","ZNR",72.9,97.2
"16","NEM",72.9,3.4
"17","CON",72.8,67.7
"18","M20",72.8,75.3
"19","WWK",72.8,57.4
"20","BFZ",72.8,7.1
"21","HOU",72.7,26.3
"22","C14",72.7,2.3
"23","ALL",72.7,0.8
"24","RNA",72.6,34.1
"25","ONS",72.5,116.5
"26","IKO",72.5,98.5
"27","GRN",72.5,12.1
"28","GPT",72.4,76
"29","ALA",72.4,23.6
"30","MOR",72.4,2.1
"31","WAR",72.3,65.2
"32","XLN",72.3,24.8
"33","FRF",72.3,12.2
"34","THB",72.2,72.1
"35","LEA",72.1,241.1
"36","MBS",72.1,13.7
"37","KTK",72,24.9
"38","DTK",72,23
"39","EMN",72,38.6
"40","M12",72,14.6
"41","ZEN",71.9,146.2
"42","5DN",71.9,80.1
"43","WTH",71.9,10.5
"44","OGW",71.9,28.6
"45","RTR",71.8,32.6
"46","ATQ",71.8,16.3
"47","DKA",71.8,22.8
"48","USG",71.8,2.2
"49","ELD",71.7,101.6
"50","CHK",71.7,10
"51","MH1",71.6,170.4
"52","ROE",71.6,41.3
"53","SOI",71.6,13.3
"54","DST",71.5,30.6
"55","KHM",71.4,23.6
"56","RIX",71.4,1
"57","SCG",71.4,0.5
"58","FUT",71.3,53.6
"59","CSP",71.3,26
"60","DOM",71.1,26.8
"61","NPH",71,70.3
"62","M11",71,16.9
"63","ISD",70.9,16.8
"64","TMP",70.8,28.6
"65","SOM",70.8,45.4
"66","SOK",70.8,17.4
"67","AER",70.7,31.2
"68","DRK",70.5,21.3
"69","STH",70.4,20.7
"70","SHM",70.1,19.6
"71","JOU",69.8,15.9
"72","BNG",69.7,3.7
"73","TSP",69.5,36.5
"74","LEG",69.5,4.2
"75","M10",69.3,12.7
"76","MRD",69.2,16.1
"77","M13",69.1,4
"78","KLD",68.9,29.9
"79","THS",68.8,8.7
"80","AKH",68.8,11.8
"81","ODY",68.8,1.1
"82","JUD",68.6,8.3
"83","ORI",68.6,1.4
"84","M14",68.3,1.6
"85","BOK",67.8,4
"86","CMD",67.4,6.9
"87","M21",66.8,20.6
"88","INV",66.4,9.1
"89","ARN",64.3,4
"90","P02",57.1,1
