"","Artist","NoCopies","Winrate"
"1","Christopher Rush",8671,0.639
"2","Kieran Yanner",7094,0.63
"3","Victor Adame Minguez",6755,0.631
"4","Howard Lyon",6024,0.631
"5","Daarken",5784,0.631
"6","Lie Setiawan",5273,0.631
"7","Titus Lunter",4752,0.635
"8","Johannes Voss",4566,0.625
"9","Chris Rallis",4527,0.633
"10","Tom Wänerstrand",4382,0.625
"11","Mark Poole",4327,0.635
"12","Jason Rainville",4214,0.634
"13","Piotr Dura",4209,0.635
"14","Ryan Pancoast",4166,0.633
"15","Adam Paquette",4104,0.634
"16","Svetlin Velinov",4004,0.63
"17","Matt Stewart",3981,0.636
"18","Steven Belledin",3902,0.63
"19","Douglas Shuler",3673,0.632
"20","Randy Vargas",3481,0.633
"21","Ekaterina Burmak",3386,0.634
"22","Raoul Vitale",3257,0.63
"23","Andreas Rocha",3167,0.635
"24","Kev Walker",3138,0.639
"25","Dan Frazier",3125,0.63
"26","Campbell White",3097,0.627
"27","Daniel Ljunggren",2977,0.636
"28","Eric Deschamps",2907,0.633
"29","Caio Monteiro",2832,0.63
"30","Pat Morrissey",2727,0.626
"31","Anastasia Ovchinnikova",2717,0.642
"32","Jesper Ejsing",2510,0.64
"33","Grzegorz Rutkowski",2465,0.636
"34","Jonas De Ro",2340,0.637
"35","Eytan Zana",2201,0.63
"36","Jeremy Jarvis",2160,0.637
"37","Nicholas Gregory",2128,0.634
"38","Sam Burley",2009,0.634
"39","Andrew Mar",1885,0.631
"40","Magali Villeneuve",1884,0.634
"41","Simon Dominic",1856,0.634
"42","Chris Rahn",1844,0.639
"43","Cliff Childs",1842,0.631
"44","Lawrence Snelly",1795,0.628
"45","Joe Slucher",1757,0.628
"46","Lius Lasahido",1663,0.633
"47","Jakub Kasper",1595,0.642
"48","Raymond Swanland",1566,0.628
"49","Yeong-Hao Han",1446,0.642
"50","Zoltan Boros",1410,0.643
"51","Filip Burburan",1335,0.628
"52","Jesper Myrfors",1313,0.637
"53","Zack Stella",1304,0.63
"54","Anthony Palumbo",1299,0.628
"55","Randy Gallegos",1281,0.625
"56","Suzanne Helmigh",1229,0.625
"57","Chris Cold",1214,0.632
"58","Olena Richards",1206,0.619
"59","John Stanko",1194,0.637
"60","Slawomir Maniak",1185,0.629
"61","Mathias Kollros",1148,0.642
"62","Manuel Castañón",1124,0.638
"63","Yongjae Choi",1079,0.627
