"","ARCHETYPES","WINRATE_95_MIN"
"1","WURG Control",67.9
"2","Shadow Prowess",66.5
"3","KGC Tron",66.2
"4","Heliod Combo",66
"5","Reclaimer Titan",65.7
"6","Obosh Aggro",64.8
"7","Oops All Spells",64.7
"8","Devoted",64.7
"9","Amulet Titan",64.6
"10","Mono White Taxes",64.6
"11","Omnath Saheeli",64
"12","Sultai Control",63.8
"13","Humans",63.4
"14","KGC Amulet Titan",63.4
"15","Belcher",62.7
"16","E Tron",62.7
"17","Ad Nauseam",62.6
"18","Niv To Light",62.4
"19","Jund Midrange",61.4
"20","Dredge",61.4
"21","Hammer Time",61.3
"22","Izzet Prowess",61.3
"23","Bant Blink",61.1
"24","Azorius Taxes",60.3
"25","UBRG Control",60.1
"26","Burn",60.1
"27","Gruul Midrange",60
"28","Temur Control",59.8
"29","Gifts Storm",59.6
"30","Izzet Control",59.5
"31","Orzhov Midrange",59.4
"32","Mill",59.3
"33","Bant Midrange",59.1
"34","Azorius Control",58.4
"35","Dimir Control",57.7
"36","Rakdos Midrange",57.6
"37","Grixis Shadow",56.1
"38","Jeskai Control",55.3
"39","Jund Shadow",54.9
"40","Izzet Restore Balance",54.8
"41","Infect",54.6
"42","Jeskai Ascendancy",54.4
"43","Bant Spirits",54.4
"44","Spirits",54
"45","Mono Red Prowess",53.3
"46","Scapeshift",53
"47","Sultai Shadow",52.8
"48","U Tron",52
"49","Hardened Scales",51.6
"50","Kiki Chord",50.6
"51","Bogles",50.1
"52","Merfolk",49.8
"53","Neobrand",48.2
"54","Sultai Midrange",47.8
"55","Abzan Company",47.6
"56","Boros Land Destruction",47.5
"57","Rogues",47.1
"58","Izzet Living End",46.7
"59","Mardu Midrange",46.5
"60","Crabvine",45.7
"61","Thopter Urza",44.9
"62","Bant Control",44.7
"63","Abzan Midrange",44
"64","Selenya Taxes",42.8
"65","Snoop Goblins",42.7
"66","Rakdos Prowess",42.2
"67","Enduring Ideal",42.1
"68","Golgari Elves",40
"69","Orzhov Taxes",40
"70","Erayo Prison",40
"71","Elementals",38.4
"72","UBRG Shadow",38.3
"73","Esper Control",35.1
"74","Golos Tron",34.9
"75","White Devotion",34.9
"76","Slivers",34.9
"77","Primeval Titan",34.9
"78","Polymorph",34.8
"79","Golgari Midrange",34
"80","Selenya Midrange",33.5
"81","Taking Turns",32.3
"82","Boros Prowess",29
"83","Mardu Prowess",29
"84","Naya Midrange",29
"85","Abzan Taxes",29
"86","Rakdos Shadow",29
"87","Grixis Control",29
"88","Saheeli Combo",29
"89","Inverter",29
"90","Heliod Devoted",29
"91","WURG Blink",29
"92","Naya Prowess",28.4
"93","Jund Prowess",26.2
"94","Selective Oracle",24.5
"95","Jeskai Taxes",18.4
"96","G Tron",18.4
"97","UBRG Midrange",14.7
"98","Tokens",14.7
"99","Bushwhacker Zoo",14.7
"100","Kuldotha Red",14.7
"101","Uroza",14.7
"102","Snow Saheeli",14.7
"103","Yawgmoth",14.7
"104","Esper Shadow",14.7
"105","Selesnya Eldrazi",14.7
"106","Red Prison",14.7
"107","Dice Factory Tron",14.7
"108","Jeskai Breach",14.7
