"CardName","Types","AvgMdCount","AvgSbCount","AlwaysMDPresent","AlwaysSBPresent"
"Aether Gust","Instant",0.4,2.09,FALSE,TRUE
"Celestial Purge","Instant",0,1.78,FALSE,FALSE
"Ceremonious Rejection","Instant",0,0.13,FALSE,FALSE
"Dovin's Veto","Instant",0.04,0.32,FALSE,FALSE
"Elder Gargaroth","Creature",0,0.14,FALSE,FALSE
"Lightning Helix","Instant",0.1,0.08,FALSE,FALSE
"Stony Silence","Enchantment",0,0.27,FALSE,FALSE
"Timely Reinforcements","Sorcery",0,0.6,FALSE,FALSE
"Veil of Summer","Instant",0,1.82,FALSE,FALSE
"Lightning Bolt","Instant",1.67,0.15,FALSE,FALSE
"Cleansing Wildfire","Sorcery",0,2.05,FALSE,FALSE
"Dispel","Instant",0,0.03,FALSE,FALSE
"Firespout","Sorcery",0.05,0.8,FALSE,FALSE
"Kozilek, Butcher of Truth","Creature",0.01,0.09,FALSE,FALSE
"Mystical Dispute","Instant",0.01,0.91,FALSE,FALSE
"Supreme Verdict","Sorcery",0.2,0.8,FALSE,FALSE
"Ashiok, Dream Render","Planeswalker",0,0.96,FALSE,FALSE
"Surgical Extraction","Instant",0,0.26,FALSE,FALSE
"Gaea's Blessing","Sorcery",0,0.15,FALSE,FALSE
"Engineered Explosives","Artifact",0.07,0.16,FALSE,FALSE
"Soul-Guide Lantern","Artifact",0,0.57,FALSE,FALSE
"Snapcaster Mage","Creature",0.02,0.01,FALSE,FALSE
"Containment Priest","Creature",0,0.27,FALSE,FALSE
"Ulamog, the Infinite Gyre","Creature",0.01,0.02,FALSE,FALSE
"Condemn","Instant",0.01,0.07,FALSE,FALSE
"Force of Negation","Instant",2.75,0.05,FALSE,FALSE
"Pithing Needle","Artifact",0,0.02,FALSE,FALSE
"Confounding Conundrum","Enchantment",0,0.01,FALSE,FALSE
"Deafening Clarion","Sorcery",0,0.01,FALSE,FALSE
"Yorion, Sky Nomad","Creature",0,0.01,FALSE,FALSE
"Flusterstorm","Instant",0,0.01,FALSE,FALSE
"Abrade","Instant",0,0.02,FALSE,FALSE
"Shark Typhoon","Enchantment",0.01,0.01,FALSE,FALSE
"Field of Ruin","Land",1.64,0.03,FALSE,FALSE
"Madcap Experiment","Sorcery",0,0.02,FALSE,FALSE
"Nexus of Fate","Instant",0.02,0.01,FALSE,FALSE
"Platinum Emperion","Artifact,Creature",0,0.01,FALSE,FALSE
"Tale's End","Instant",0,0.03,FALSE,FALSE
"Path to Exile","Instant",3.84,0.04,TRUE,FALSE
"Ravenous Trap","Instant",0,0.01,FALSE,FALSE
"Negate","Instant",0,0.02,FALSE,FALSE
"Disdainful Stroke","Instant",0,0.01,FALSE,FALSE
"Narset, Parter of Veils","Planeswalker",0,0.01,FALSE,FALSE
"Nature's Claim","Instant",0,0.02,FALSE,FALSE
"Field of the Dead","Land",1.91,0.02,FALSE,FALSE
"Omnath, Locus of Creation","Creature",2.23,0.01,TRUE,FALSE
"Mindbreak Trap","Instant",0,0.01,FALSE,FALSE
"Life from the Loam","Sorcery",0.05,0.01,FALSE,FALSE
"Rest for the Weary","Instant",0,0.01,FALSE,FALSE
"Deicide","Instant",0,0.01,FALSE,FALSE
"Tectonic Edge","Land",0,0.01,FALSE,FALSE
"Wilt","Instant",0,0.01,FALSE,FALSE
"Spell Pierce","Instant",0,0.01,FALSE,FALSE
