"CardName","CardCount"
"Aether Gust",2
"Cleansing Wildfire",2
"Veil of Summer",2
"Celestial Purge",2
"Ashiok, Dream Render",1
"Mystical Dispute",1
"Firespout",1
"Supreme Verdict",1
"Timely Reinforcements",1
"Soul-Guide Lantern",1
"Total",14
