"","CardNames","Presence","WINRATE_AVERAGE"
"1","Forest",45.6,69.8
"2","Plains",45.1,69.5
"3","Lightning Bolt",42.2,68.9
"4","Path to Exile",40.3,69.7
"5","Mountain",39.9,68.5
"6","Island",37.5,69.2
"7","Veil of Summer",34.3,70.1
"8","Misty Rainforest",28.4,69.6
"9","Temple Garden",27.1,70.3
"10","Snow-Covered Forest",26.7,70.4
"11","Aether Gust",26.6,69.4
"12","Wooded Foothills",26.4,69
"13","Thoughtseize",25.8,69.3
"14","Swamp",25.7,69.1
"15","Dismember",25.3,69.2
"16","Fatal Push",24.7,68.9
"17","Cleansing Wildfire",23.9,69.3
"18","Breeding Pool",23.7,70.3
"19","Scalding Tarn",23.1,69.1
"20","Force of Negation",23.1,69.5
"21","Field of Ruin",22.4,70.2
"22","Field of the Dead",22.1,70.6
"23","Mystical Dispute",21,69.2
"24","Windswept Heath",21,69.4
"25","Snow-Covered Island",21,70.2
"26","Steam Vents",20.9,69
"27","Wrenn and Six",20.8,69.9
"28","Stomping Ground",20.5,68.8
"29","Cryptic Command",20.3,69.5
"30","Uro, Titan of Nature's Wrath",20.1,70.3
"31","Flooded Strand",19.9,69.6
"32","Celestial Purge",19.9,69.9
"33","Bloodstained Mire",19.6,68.5
"34","Skyclave Apparition",19.4,69.2
"35","Mystic Sanctuary",19.3,69.5
"36","Relic of Progenitus",19,69.2
"37","Monastery Swiftspear",18.4,68.9
"38","Lurrus of the Dream-Den",18.2,69.3
"39","Hallowed Fountain",18.2,70.1
"40","Snow-Covered Plains",18.2,69.6
"41","Blood Crypt",18.1,68.8
"42","Teferi, Time Raveler",17.5,70.4
"43","Horizon Canopy",17.2,69.1
"44","Cavern of Souls",16.8,69.7
"45","Mishra's Bauble",16.4,69.4
"46","Sunbaked Canyon",16.4,69.4
"47","Ketria Triome",16.4,70.4
"48","Ashiok, Dream Render",16.2,69.2
"49","Ghost Quarter",15.9,69.3
"50","Polluted Delta",15.5,68.8
