"","Artist","NoCopies","Winrate"
"1","Christopher Rush",10328,0.623
"2","John Avon",8493,0.62
"3","Mark Poole",7327,0.635
"4","Anson Maddocks",6703,0.632
"5","Greg Staples",6048,0.62
"6","Kaja Foglio",5390,0.629
"7","Douglas Shuler",4340,0.617
"8","Dan Scott",3892,0.637
"9","Jonas De Ro",3839,0.635
"10","Richard Thomas",3808,0.629
"11","Rebecca Guay",3792,0.638
"12","Jesper Myrfors",3551,0.617
"13","Svetlin Velinov",3336,0.632
"14","Rob Alexander",3222,0.62
"15","Vance Kovacs",3202,0.631
"16","Alex Horley-Orlandelli",2916,0.613
"17","Bastien L. Deharme",2842,0.633
"18","Slawomir Maniak",2832,0.635
"19","Steven Belledin",2766,0.627
"20","Lawrence Snelly",2505,0.625
"21","Greg Hildebrandt",2487,0.617
"22","Mark Tedin",2364,0.625
"23","Dan Frazier",2286,0.622
"24","Colin Boyer",2075,0.639
"25","Marc Simonetti",1917,0.611
"26","Lindsey Look",1856,0.633
"27","Mike Ploog",1700,0.632
"28","Magali Villeneuve",1574,0.633
"29","Ben Wootten",1555,0.624
"30","Matt Stewart",1510,0.632
"31","Thomas M. Baxa",1496,0.615
"32","Sandra Everingham",1477,0.612
"33","David Gaillet",1470,0.622
"34","Howard Lyon",1453,0.623
"35","Jim Nelson",1395,0.624
"36","Randy Gallegos",1325,0.623
"37","Ben Thompson",1317,0.624
"38","Christopher Moeller",1298,0.624
"39","Raymond Swanland",1286,0.626
"40","Joseph Meehan",1275,0.615
"41","Eric Fortune",1269,0.632
"42","Sidharth Chaturvedi",1263,0.626
"43","Dany Orizio",1263,0.619
"44","Jesper Ejsing",1235,0.613
"45","Ron Spencer",1204,0.622
"46","Johannes Voss",1184,0.632
"47","Kev Walker",1171,0.605
"48","YW Tang",1164,0.635
"49","Mathias Kollros",1151,0.617
"50","Ron Spears",1133,0.639
"51","Pete Venters",1063,0.598
"52","Lius Lasahido",1045,0.616
"53","Glen Angus",1037,0.622
"54","Tom Kyffin",1034,0.615
"55","Nils Hamm",1032,0.619
