"","Artist","NoCopies","Winrate"
"1","Christopher Rush",710,0.813
"2","Dan Frazier",638,0.809
"3","Jesper Myrfors",576,0.808
"4","Douglas Shuler",559,0.814
"5","Mark Poole",553,0.808
"6","Cristi Balanescu",164,0.807
"7","Nicholas Gregory",154,0.808
"8","Svetlin Velinov",152,0.828
"9","Randy Vargas",148,0.813
"10","Campbell White",147,0.82
"11","Zoltan Boros",132,0.818
"12","Andrey Kuzinskiy",118,0.813
"13","Ilse Gort",116,0.808
"14","Slawomir Maniak",115,0.819
"15","Manuel Castañón",112,0.809
"16","Bryan Sola",107,0.814
"17","Yeong-Hao Han",104,0.811
"18","Lie Setiawan",98,0.814
"19","Matt Stewart",95,0.802
"20","Joe Slucher",94,0.81
"21","Izzy",85,0.818
"22","Raoul Vitale",83,0.798
"23","Piotr Dura",83,0.815
"24","Andrew Mar",80,0.821
"25","Dan Scott",78,0.811
"26","Marta Nael",77,0.827
"27","Titus Lunter",77,0.811
"28","Jason A. Engle",76,0.801
"29","Jesper Ejsing",74,0.815
"30","Mathias Kollros",74,0.81
"31","Caio Monteiro",74,0.814
"32","Filip Burburan",73,0.811
"33","Josu Hernaiz",73,0.818
"34","Bastien L. Deharme",72,0.814
"35","Kev Walker",71,0.804
"36","Scott Murphy",70,0.812
"37","Anastasia Ovchinnikova",67,0.818
"38","Igor Kieryluk",67,0.82
"39","Zezhou Chen",65,0.805
"40","Lius Lasahido",63,0.813
"41","Craig J Spearing",63,0.823
"42","Aaron Miller",63,0.808
"43","Caroline Gariba",62,0.811
"44","Daniel Ljunggren",62,0.803
"45","Livia Prima",62,0.82
"46","Lucas Graciano",61,0.803
"47","Alayna Danner",59,0.813
"48","Grzegorz Rutkowski",56,0.812
"49","Colin Boyer",55,0.816
"50","Johan Grenier",55,0.805
"51","Chris Cold",51,0.812
"52","Wisnu Tan",51,0.819
"53","Lorenzo Mastroianni",51,0.814
"54","Paul Scott Canavan",50,0.809
"55","Volkan Baǵa",50,0.806
"56","Billy Christian",50,0.811
"57","Randy Gallegos",49,0.797
