"","SetCode","NoCopies","Winrate"
"1","NEO",1410,0.711
"2","ELD",1375,0.699
"3","MID",1358,0.708
"4","LEA",1301,0.696
"5","ZNR",1055,0.693
"6","AFR",968,0.703
"7","WAR",893,0.711
"8","VOW",786,0.712
"9","KHM",691,0.693
"10","M20",649,0.696
"11","KLD",631,0.701
"12","AKH",596,0.71
"13","IKO",553,0.697
"14","SOI",534,0.718
"15","STX",514,0.686
"16","DIS",476,0.708
"17","RTR",430,0.706
"18","THS",420,0.695
"19","RNA",397,0.702
"20","GPT",346,0.702
"21","AER",327,0.695
"22","KTK",317,0.711
"23","GRN",299,0.711
"24","INV",285,0.73
"25","LRW",285,0.689
"26","DTK",284,0.676
"27","RAV",282,0.688
"28","DGM",277,0.688
"29","XLN",270,0.725
"30","DOM",243,0.701
"31","JOU",241,0.676
"32","THB",238,0.692
"33","GTC",211,0.691
"34","M21",207,0.693
"35","M14",202,0.699
"36","M10",195,0.698
"37","M19",187,0.711
"38","ORI",177,0.718
"39","EMN",177,0.691
"40","FRF",173,0.729
"41","MRD",166,0.711
"42","OGW",155,0.697
"43","HOU",153,0.718
"44","USG",152,0.695
"45","TSP",143,0.742
"46","ICE",119,0.725
"47","RIX",92,0.704
"48","APC",79,0.679
"49","MOR",78,0.7
"50","PLC",53,0.711
"51","DKA",53,0.675
"52","BFZ",48,0.687
"53","ZEN",42,0.736
"54","ISD",38,0.698
"55","M13",36,0.717
"56","BNG",33,0.628
"57","M15",20,0.662
"58","CMD",14,0.705
"59","PTK",4,0.762
"60","TOR",2,0.667
