"","SetCode","NoCopies","Winrate"
"1","LEA",6979,0.793
"2","ICE",4924,0.791
"3","ZEN",3727,0.796
"4","MH1",3356,0.795
"5","MH2",3272,0.786
"6","TMP",3239,0.79
"7","ONS",2737,0.796
"8","LRW",2588,0.796
"9","ALL",2296,0.795
"10","NEM",1569,0.798
"11","USG",1444,0.794
"12","ELD",1255,0.789
"13","NPH",1181,0.793
"14","LEG",1126,0.784
"15","FUT",1125,0.788
"16","MRD",1087,0.78
"17","LEB",1051,0.796
"18","ISD",934,0.801
"19","THB",920,0.789
"20","WAR",920,0.787
"21","ULG",809,0.781
"22","M20",779,0.786
"23","DKA",765,0.791
"24","AVR",697,0.799
"25","GPT",665,0.789
"26","STX",657,0.795
"27","WWK",656,0.782
"28","EXO",634,0.775
"29","ZNR",623,0.773
"30","DST",587,0.779
"31","PLC",542,0.788
"32","M11",520,0.801
"33","ALA",507,0.792
"34","MBS",497,0.792
"35","RTR",479,0.797
"36","MMQ",469,0.77
"37","CSP",460,0.788
"38","SOM",446,0.786
"39","ROE",445,0.799
"40","HOU",444,0.799
"41","SCG",435,0.782
"42","DRK",428,0.782
"43","MIR",426,0.784
"44","CMR",394,0.794
"45","CON",390,0.79
"46","CMD",383,0.802
"47","WTH",383,0.791
"48","GRN",380,0.797
"49","AER",368,0.788
"50","CN2",357,0.786
"51","JUD",345,0.802
"52","IKO",343,0.794
"53","STH",341,0.776
"54","GTC",329,0.769
"55","TSP",315,0.782
"56","RAV",305,0.79
"57","ODY",296,0.803
"58","OGW",273,0.767
"59","5DN",262,0.78
"60","EVE",240,0.783
"61","M19",238,0.799
"62","VIS",230,0.79
"63","C20",211,0.801
"64","M15",211,0.787
"65","PLS",199,0.8
"66","TOR",198,0.783
"67","SOK",190,0.789
"68","AKH",190,0.797
"69","C14",184,0.773
"70","CHK",179,0.773
"71","PC2",171,0.806
"72","SHM",166,0.783
"73","JMP",156,0.783
"74","M14",155,0.808
"75","DIS",155,0.754
"76","C13",146,0.784
"77","MOR",139,0.808
"78","BNG",134,0.754
"79","FRF",129,0.792
"80","XLN",126,0.785
"81","KLD",122,0.791
"82","C18",111,0.801
"83","KHM",104,0.795
"84","ORI",103,0.779
"85","KTK",91,0.796
"86","EMN",90,0.782
"87","C15",88,0.776
"88","CNS",84,0.78
"89","DOM",84,0.799
"90","POR",77,0.797
"91","BOK",75,0.776
"92","M21",68,0.809
"93","RNA",67,0.759
"94","ARB",63,0.756
"95","BBD",62,0.798
"96","MID",62,0.765
"97","DGM",62,0.789
"98","BFZ",61,0.79
"99","ATQ",60,0.772
"100","INV",60,0.767
"101","M13",56,0.825
"102","FEM",51,0.812
"103","C19",51,0.795
"104","JOU",45,0.776
"105","SOI",42,0.838
"106","APC",40,0.785
"107","RIX",32,0.775
"108","AFR",32,0.773
"109","PTK",31,0.829
"110","VOW",28,0.785
"111","ARN",26,0.792
"112","M10",16,0.72
"113","DTK",13,0.788
"114","C16",12,0.786
"115","UDS",11,0.844
"116","HML",8,0.75
"117","M12",7,0.765
"118","THS",6,0.875
"119","P02",6,0.75
"120","SLD",2,0.875
"121","LGN",1,0.75
