"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Unknown - Izzet Delver - Death  &  Taxes - Bant Control - Mono Red Prison - Elves,Yorion   Zenith - Sneak  &  Show - Karn   Post - WUBG Control,Unknown - Izzet Delver - Bant Control - Yorion   Zenith,Unknown - Izzet Delver - Bant Control - Death  &  Taxes - Mono Red Prison,Unknown - Izzet Delver - Bant Control - Death  &  Taxes - Mono Red Prison
"Tiers 1.5",Doomsday - Artifacts   Blue - WURG Control - UW   Control - Sneak  &  Show - Izzet Tempo,Izzet Tempo - Birgi   Storm - WURG Control - Unknown - Doomsday - Bant Control - Slow   Depths - Karn   Echoes - Madness - TES - Izzet Delver - Elves - Conflict(Jeskai Mentor,Jeskai Standstill) - UW   Control,Doomsday - Elves - WURG Control - Mono Red Prison - Sneak  &  Show - Death  &  Taxes - Izzet Tempo - Artifacts   Blue - UW   Control - Karn   Echoes - Slow   Depths - Madness - TES - Birgi   Storm - Karn   Post,Elves - Doomsday - WURG Control - Artifacts   Blue - Sneak  &  Show - Izzet Tempo - Yorion   Zenith - UW   Control - Karn   Echoes - Slow   Depths,Elves - Doomsday - WURG Control - Artifacts   Blue - Sneak  &  Show - Izzet Tempo - Yorion   Zenith - UW   Control - Karn   Echoes - Slow   Depths
"Tiers 2",Karn   Echoes - Slow   Depths - Madness - TES - Oops !  All   Spells - Gruul Lands - Conflict(Slow   Depths,Gruul Lands) - Yorion   Zenith - Jeskai Mentor - Conflict(Jeskai Mentor,Jeskai Standstill) - Birgi   Storm - Karn   Post - Mono Green Post - Mardu Reanimator - WURG Lands - Maverick,Mono Red Prison - Death  &  Taxes - Artifacts   Blue - Mardu Reanimator - Temur Cascade - Jeskai Mentor - Conflict(Slow   Depths,Gruul Lands) - Gruul Lands,Conflict(Jeskai Mentor,Jeskai Standstill) - Gruul Lands - Oops !  All   Spells - Conflict(Slow   Depths,Gruul Lands) - Jeskai Mentor - Mardu Reanimator - Mono Green Post,Madness - TES - Birgi   Storm - Karn   Post - Oops !  All   Spells - Gruul Lands - Conflict(Jeskai Mentor,Jeskai Standstill) - Conflict(Slow   Depths,Gruul Lands) - Jeskai Mentor - Mardu Reanimator - Mono Green Post,Madness - TES - Birgi   Storm - Karn   Post - Oops !  All   Spells - Gruul Lands - Conflict(Jeskai Mentor,Jeskai Standstill) - Conflict(Slow   Depths,Gruul Lands) - Jeskai Mentor - Mardu Reanimator - Mono Green Post
"Tiers 2.5",Bant Stoneblade - Jeskai Tempo - Temur Cascade - WUBG Control - 5 Color Cascade,Oops !  All   Spells - Mono Green Post - Bant Stoneblade - Jeskai Tempo - 5 Color Cascade - WURG Lands - Maverick,WUBG Control - WURG Lands - Bant Stoneblade - Jeskai Tempo - Maverick - Temur Cascade - 5 Color Cascade,WURG Lands - WUBG Control - Bant Stoneblade - Jeskai Tempo - Maverick - Temur Cascade - 5 Color Cascade,WURG Lands - WUBG Control - Bant Stoneblade - Jeskai Tempo - Maverick - Temur Cascade - 5 Color Cascade
