"","CardNames","DeckCount","WinrateAverage"
"1","Surgical Extraction",408,79.4
"2","Pyroblast",394,79
"3","Red Elemental Blast",223,78.6
"4","Abrade",201,80.4
"5","Force of Negation",195,79.7
"6","Flusterstorm",193,79.6
"7","Force of Vigor",182,77.9
"8","Leyline of the Void",165,79.3
"9","Grafdigger's Cage",162,78.8
"10","Submerge",160,79.9
"11","Carpet of Flowers",154,80.2
"12","Karakas",133,79.1
"13","Containment Priest",131,77.4
"14","Blazing Volley",129,80.2
"15","Hydroblast",128,79.7
"16","Ethersworn Canonist",126,79.3
"17","Veil of Summer",120,79.4
"18","Null Rod",117,80.5
"19","Collector Ouphe",109,80
"20","Plague Engineer",103,81.7
"21","Thoughtseize",102,80.6
"22","Engineered Explosives",97,78.8
"23","Meltdown",94,79.2
"24","Endurance",94,78
"25","Torpor Orb",92,80.1
"26","Deafening Silence",81,77.1
"27","Tormod's Crypt",78,77.4
"28","Mindbreak Trap",77,76.8
"29","Back to Basics",77,79.7
"30","Klothys, God of Destiny",76,78.1
"31","Meddling Mage",75,79.5
"32","Pithing Needle",75,78.6
"33","Ensnaring Bridge",74,78
"34","Narset, Parter of Veils",72,78.7
"35","Court of Cunning",72,79.9
"36","Abrupt Decay",69,81.4
"37","Rest in Peace",68,77.8
"38","Relic of Progenitus",67,79.9
"39","Mycosynth Lattice",67,77.5
"40","Sylvan Library",63,79.1
"41","Walking Ballista",62,77.3
"42","Assassin's Trophy",57,79.4
"43","Blood Moon",54,80.8
"44","Path to Exile",54,78.1
"45","Soul-Guide Lantern",51,78.1
"46","Liquimetal Coating",51,78.2
"47","Choke",50,76.8
"48","Wilt",49,80.9
"49","Faerie Macabre",49,78.8
"50","Yorion, Sky Nomad",47,79.6
