"","Artist","NoCopies","Winrate"
"1","Christopher Rush",3746,0.791
"2","Rob Alexander",3209,0.797
"3","Terese Nielsen",2942,0.792
"4","Mark Tedin",2361,0.797
"5","Jesper Myrfors",1879,0.793
"6","Una Fricker",1587,0.792
"7","Shelly Wan",1407,0.797
"8","Brian Snõddy",1258,0.792
"9","Matthew D. Wilson",1251,0.797
"10","Kaja Foglio",1187,0.792
"11","Svetlin Velinov",1142,0.801
"12","Jeff A. Menges",1127,0.788
"13","Philip Straub",1112,0.8
"14","Anson Maddocks",946,0.789
"15","Steven Belledin",928,0.796
"16","Anastasia Ovchinnikova",923,0.789
"17","Paul Scott Canavan",908,0.798
"18","Nils Hamm",896,0.799
"19","Vincent Proce",837,0.796
"20","Mark Zug",800,0.781
"21","Kev Walker",778,0.785
"22","Randy Vargas",748,0.785
"23","April Lee",693,0.787
"24","Donato Giancola",643,0.784
"25","Colin MacNeil",616,0.787
"26","Nicola Leonard",601,0.779
"27","Douglas Shuler",600,0.8
"28","Adam Rex",581,0.792
"29","Simon Dominic",574,0.788
"30","Mark Poole",568,0.8
"31","John Stanko",567,0.785
"32","Aleksi Briclot",555,0.794
"33","Christopher Moeller",555,0.78
"34","Magali Villeneuve",544,0.788
"35","Filip Burburan",530,0.8
"36","Eric Deschamps",524,0.799
"37","Igor Kieryluk",523,0.792
"38","Lucas Graciano",502,0.791
"39","Scott M. Fischer",481,0.798
"40","John Avon",468,0.781
"41","Jonas De Ro",468,0.801
"42","Pat Morrissey",465,0.793
"43","Victor Adame Minguez",463,0.774
"44","Martina Fackova",451,0.788
"45","Vance Kovacs",447,0.798
"46","Jason Chan",444,0.791
"47","Volkan Baǵa",442,0.799
"48","Sandra Everingham",440,0.799
"49","Anthony S. Waters",427,0.781
"50","Pete Venters",422,0.786
"51","Greg Hildebrandt",417,0.77
"52","Daniel Ljunggren",414,0.78
"53","Izzy",409,0.796
"54","Harold McNeill",405,0.787
"55","Rebecca Guay",400,0.803
"56","David Rapoza",397,0.798
"57","Titus Lunter",393,0.778
"58","Nicholas Gregory",385,0.811
"59","Dan Frazier",382,0.789
"60","Tom Wänerstrand",378,0.787
"61","Sam Burley",358,0.784
"62","Richard Thomas",357,0.792
"63","Chippy",351,0.785
"64","Margaret Organ-Kean",351,0.781
"65","Jerry Tiritilli",342,0.768
"66","Erica Yang",329,0.799
"67","Gabor Szikszai",319,0.792
"68","Daarken",317,0.792
"69","Mike Bierek",312,0.788
"70","Dave DeVries",303,0.782
"71","Kieran Yanner",303,0.783
"72","Lake Hurwitz",299,0.793
"73","Cliff Childs",288,0.788
"74","Dany Orizio",278,0.783
"75","Jesper Ejsing",276,0.791
"76","DiTerlizzi",273,0.767
"77","Ron Spears",273,0.787
"78","Raymond Swanland",271,0.795
"79","Wisnu Tan",265,0.772
"80","Matt Stewart",261,0.776
"81","Adam Paquette",259,0.783
"82","Jason Rainville",258,0.777
