"","CardNames","DeckCount","Winrate95Min"
"1","Plague Engineer",103,77.7
"2","Abrade",201,77.5
"3","Surgical Extraction",408,77.4
"4","Carpet of Flowers",154,76.9
"5","Pyroblast",394,76.9
"6","Force of Negation",195,76.8
"7","Submerge",160,76.7
"8","Null Rod",117,76.6
"9","Flusterstorm",193,76.6
"10","Blazing Volley",129,76.5
"11","Thoughtseize",102,76.4
"12","Abrupt Decay",69,76.3
"13","Leyline of the Void",165,76.1
"14","Collector Ouphe",109,76
"15","Hydroblast",128,76
"16","Red Elemental Blast",223,75.8
"17","Torpor Orb",92,75.7
"18","Veil of Summer",120,75.5
"19","Ethersworn Canonist",126,75.5
"20","Grafdigger's Cage",162,75.5
"21","Karakas",133,75.4
"22","Blood Moon",54,75
"23","Court of Cunning",72,74.9
"24","Back to Basics",77,74.9
"25","Meltdown",94,74.9
"26","Wilt",49,74.7
"27","Relic of Progenitus",67,74.7
"28","Force of Vigor",182,74.7
"29","Gut Shot",31,74.6
"30","Meddling Mage",75,74.6
"31","Engineered Explosives",97,74.4
"32","Brazen Borrower",35,74.2
"33","Pyroclasm",46,74
"34","Narset, Parter of Veils",72,73.7
"35","Assassin's Trophy",57,73.6
"36","Sylvan Library",63,73.6
"37","Pithing Needle",75,73.6
"38","Endurance",94,73.6
"39","Containment Priest",131,73.6
"40","Liliana, the Last Hope",15,73.4
"41","Terminus",29,73.4
"42","Cabal Therapy",12,73.3
"43","Fatal Push",42,73.3
"44","Ancient Grudge",43,73.3
"45","Yorion, Sky Nomad",47,73.2
"46","Klothys, God of Destiny",76,73.1
"47","Defense Grid",40,73
"48","Ensnaring Bridge",74,72.9
"49","Trinisphere",31,72.8
"50","Blue Elemental Blast",40,72.6
