"","SetCode","NoCopies","Winrate"
"1","MH2",37189,0.702
"2","ZEN",15703,0.702
"3","LEA",15190,0.701
"4","MH1",13961,0.703
"5","ONS",11328,0.701
"6","NEO",6359,0.705
"7","ELD",6220,0.704
"8","WWK",5125,0.699
"9","GPT",5119,0.703
"10","RAV",4633,0.698
"11","WAR",4558,0.697
"12","DIS",4379,0.704
"13","STX",4136,0.703
"14","LRW",4128,0.698
"15","KLD",4089,0.7
"16","M20",4008,0.702
"17","ZNR",3823,0.7
"18","SOM",3449,0.689
"19","FUT",3336,0.704
"20","ICE",3203,0.703
"21","5DN",3201,0.702
"22","CSP",3182,0.702
"23","NPH",3060,0.692
"24","SNC",3005,0.705
"25","MRD",2986,0.691
"26","THB",2826,0.697
"27","IKO",2740,0.699
"28","ATQ",2706,0.693
"29","MID",2664,0.7
"30","EMN",2539,0.703
"31","AVR",2427,0.707
"32","TSP",2343,0.696
"33","AER",2303,0.694
"34","ARB",2049,0.705
"35","DKA",1780,0.709
"36","M11",1724,0.699
"37","DRK",1694,0.703
"38","AFR",1676,0.69
"39","CMD",1636,0.705
"40","ROE",1588,0.688
"41","PLS",1565,0.706
"42","ALA",1531,0.695
"43","M21",1484,0.706
"44","CHK",1319,0.696
"45","RNA",1283,0.697
"46","DST",1266,0.688
"47","KTK",1257,0.683
"48","MBS",1238,0.696
"49","PC2",1216,0.709
"50","APC",1204,0.699
"51","SHM",1166,0.691
"52","DMU",1117,0.688
"53","PLC",982,0.7
"54","RTR",980,0.698
"55","SOK",921,0.69
"56","AKH",918,0.71
"57","HOU",899,0.706
"58","CON",890,0.696
"59","OGW",875,0.69
"60","GTC",858,0.68
"61","DOM",744,0.69
"62","SOI",717,0.698
"63","M19",675,0.694
"64","JOU",652,0.678
"65","MIR",629,0.71
"66","VOW",621,0.712
"67","DTK",619,0.7
"68","ISD",558,0.697
"69","ORI",552,0.681
"70","GRN",529,0.704
"71","INV",516,0.692
"72","STH",515,0.696
"73","MOR",440,0.687
"74","DGM",437,0.685
"75","BFZ",412,0.687
"76","XLN",381,0.681
"77","EVE",362,0.711
"78","BRO",249,0.709
"79","KHM",243,0.699
"80","M13",220,0.69
"81","M12",194,0.663
"82","JUD",193,0.678
"83","ARN",185,0.684
"84","FRF",180,0.684
"85","ULG",177,0.696
"86","WTH",160,0.672
"87","M15",136,0.706
"88","M10",124,0.672
"89","NEM",108,0.678
"90","TMP",107,0.689
"91","P02",106,0.695
"92","THS",94,0.695
"93","C14",79,0.7
"94","BOK",60,0.688
"95","LEG",44,0.684
"96","TOR",43,0.67
"97","PTK",37,0.718
"98","ALL",33,0.67
"99","RIX",25,0.685
"100","BNG",24,0.651
"101","VIS",11,0.595
"102","M14",8,0.6
"103","SCG",7,0.608
"104","EXO",7,0.647
"105","CN2",5,0.613
"106","ODY",3,0.714
"107","S99",2,0.714
