"","PLAYERS","NO_APPEARANCES","ARCHETYPE_NAMES","ARCHETYPE_COUNT","URL"
"104","drVendigo",1,"Jund Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-05#drvendigo_th_place"
"105","Jaberwocki",1,"Jund Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-11#jaberwocki_nd_place"
"106","WorstNewbEver",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-11#worstnewbever_rd_place"
"107","fried-liver-attack",1,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-11#fried-liver-attack_th_place"
"108","jacobricher",1,"Humans","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-11#jacobricher_th_place"
"109","Munich_Casual",1,"Spirits","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-11#munich_casual_th_place"
"110","taruto1212",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-12#taruto_nd_place"
"111","NosonosaN",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-12#nosonosan_rd_place"
"112","Danker",1,"Azorius Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-12#danker_th_place"
"113","pmk",1,"Humans","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-12#pmk_th_place"
"114","Wyern",1,"Belcher","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-12#wyern_th_place"
"115","NHA37",1,"Heliod Combo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-18#nha_st_place"
"116","FreakNightmare",1,"Oops All Spells","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-18#freaknightmare_nd_place"
"117","Darkiundsa",1,"Humans","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-19#darkiundsa_st_place"
"118","stayrospet",1,"Omnath Saheeli","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-19#stayrospet_nd_place"
"119","Nekonii",1,"Elves","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-19#nekonii_rd_place"
"120","azax",1,"Reclaimer Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-19#azax_th_place"
"121","Jositoshekel",1,"Heliod Combo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-19#jositoshekel_th_place"
"122","JustJack",1,"Humans","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-19#justjack_th_place"
"123","coliobeware",1,"Jund Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-25#coliobeware_st_place"
"124","Erik157751",1,"Crabvine","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-25#erik_nd_place"
"125","Ma7x",1,"Niv To Light","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-25#max_rd_place"
"126","MiguelCaster",1,"Orzhov Eldrazi Taxes","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-25#miguelcaster_th_place"
"127","guiyote",1,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-25#guiyote_th_place"
"128","Exoline",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-25#exoline_th_place"
"129","fingers1991",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-25#fingers_th_place"
"130","Rav104",1,"Oops All Spells","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-25#rav_th_place"
"131","PietroSas",1,"Devoted","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-26#pietrosas_st_place"
"132","coomback",1,"Mill","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-26#coomback_th_place"
"133","FeeltheRush",1,"Bant Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-26#feeltherush_th_place"
"134","6argamel",1,"Mono White Taxes","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-01#argamel_st_place"
"135","pbarrrgh",1,"Reclamation","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-01#pbarrrgh_nd_place"
"136","bamzing",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-01#bamzing_rd_place"
"137","FedeG",1,"Heliod Combo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-01#fedeg_th_place"
"138","Vagabond87",1,"Selective Oracle","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-01#vagabond_th_place"
"139","yamakiller",1,"Gruul Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-01#yamakiller_th_place"
"140","ZYURYO",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-02#zyuryo_nd_place"
"141","Mogged",1,"Mono Red Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-02#mogged_th_place"
"142","shoktroopa",1,"Blue Tron","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-02#shoktroopa_th_place"
"143","BERNASTORRES",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#bernastorres_st_place"
"144","FreedMania",1,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#freedmania_nd_place"
"145","_Stream",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#_stream_rd_place"
"146","ChironTheMage",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#chironthemage_th_place"
"147","Chrhey",1,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#chrhey_th_place"
"148","Ennuixd",1,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#ennuixd_th_place"
"149","oskiyaa",1,"Blue Scapeshift","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#oskiyaa_th_place"
"150","PieGonti",1,"Heliod Combo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-11-08#piegonti_rd_place"
"151","Martin_Dominguez",1,"Heliod Combo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-11-08#martin_dominguez_th_place"
"152","Brunister",1,"Azorius Taxes","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-11-08#brunister_th_place"
"153","Zar0s",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-11-08#zars_th_place"
"154","Jenara19",1,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-09#jenara_th_place"
"155","Moniz0801",1,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-09#moniz_th_place"
"156","marcofabrizi",1,"Stoneblade","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#marcofabrizi_st_place"
"157","Eaglov",1,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#eaglov_rd_place"
"158","lordavery",1,"Stoneblade","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#lordavery_th_place"
"159","cntrlfreak",1,"Grixis Shadow","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#cntrlfreak_th_place"
"160","Bayesta_93",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#bayesta__st_place"
"161","bigjc00",1,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-16#bigjc_st_place"
"162","nekonekoneko",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-16#nekonekoneko_th_place"
"163","Oderus Urungus",1,"Obosh Aggro","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-16#oderus_urungus_th_place"
"164","Mulldrifter",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-16#mulldrifter_th_place"
"165","Kazuga",1,"Heliod Combo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-22#kazuga_th_place"
"166","Nikachu",1,"Merfolk","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-22#nikachu_th_place"
"167","Kr0k39",1,"Oops All Spells","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-22#krk_th_place"
"168","DcNo",1,"Humans","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-22#dcno_th_place"
"169","Samlg01",1,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-23#samlg_th_place"
"170","SvenSveeterSven",1,"Mardu Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-23#svensveetersven_th_place"
"171","otakkun",1,"Eldrazi Tron","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-29#otakkun_rd_place"
"172","HNSDMPF",1,"Hardened Scales","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-29#hnsdmpf_th_place"
"173","Selami",1,"Ad Nauseam","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-29#selami_th_place"
"174","Rulleboren",1,"Mill","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-30#rulleboren_nd_place"
"175","LordAbyss",1,"Eldrazi Tron","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-30#lordabyss_th_place"
"176","mechint",1,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-30#mechint_th_place"
"177","kaktusowysmok",1,"Goblins","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-05#kaktusowysmok_st_place"
"178","Redgy819",1,"Green Tron","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-05#redgy_th_place"
"179","Ryan_39",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-05#ryan__th_place"
"180","lsmguys",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-05#lsmguys_th_place"
"181","EdB",1,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-05#edb_th_place"
"182","cws",1,"Gifts Storm","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-12-06#cws_rd_place"
"183","AnneLivleysD3ath",1,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-07#annelivleysdath_nd_place"
"184","hugeomanyte",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-07#hugeomanyte_th_place"
"185","FerMTG",1,"Rakdos Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-07#fermtg_th_place"
"186","EmErgy",1,"Mill","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-07#emergy_th_place"
"187","Lucabireskusku",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-13#lucabireskusku_st_place"
"188","Tarrasque1",1,"Mono White Taxes","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-13#tarrasque_nd_place"
"189","sleightofhand94",1,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-13#sleightofhand_rd_place"
"190","NuBlkAu",1,"Temur Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-13#nublkau_th_place"
"191","Hamuda",1,"Hammer Time","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-14#hamuda_st_place"
"192","Edel",1,"Rakdos Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-14#edel_nd_place"
"193","dough_shack",1,"Blue Scapeshift","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-20#dough_shack_st_place"
"194","MaxCapone",1,"Oops All Spells","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-20#maxcapone_nd_place"
"195","bolov0",1,"Rakdos Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-20#bolov_th_place"
"196","MastaHorus",1,"Electro End","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-20#mastahorus_th_place"
"197","Boucha",1,"Belcher","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-21#boucha_st_place"
"198","ElYallo",1,"Heliod Combo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-21#elyallo_th_place"
"199","Benkill",1,"Spirits","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-21#benkill_th_place"
"200","Beekeeper",1,"Dredge","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-21#beekeeper_th_place"
"201","Gobo2009",1,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-21#gobo_st_place"
"202","Graciasportanto",1,"Sultai Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-21#graciasportanto_nd_place"
"203","im2g00t4ubarn",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-21#imgtubarn_rd_place"
"204","kaikalbuquerque",1,"Reclaimer Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-21#kaikalbuquerque_th_place"
"205","Borjillamtg10",1,"Gruul Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-21#borjillamtg_th_place"
"206","Comebackkid",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-21#comebackkid_th_place"
"207","omgitztommy",1,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-27#omgitztommy_st_place"
"208","vini_torres",1,"Gifts Storm","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-27#vini_torres_rd_place"
"209","toondoslav",1,"Infect","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-27#toondoslav_th_place"
"210","KnightOfSuri",1,"Infect","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-27#knightofsuri_th_place"
"211","abethemage",1,"Thopter Urza","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-27#abethemage_th_place"
"212","ichi-roku",1,"Ad Nauseam","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#ichi-roku_nd_place"
"213","Traft",1,"Rogues","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#traft_th_place"
"214","mikeleee",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#mikeleee_th_place"
"215","oinkmage",1,"Sultai Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-03#oinkmage_st_place"
"216","SickWorld",1,"Obosh Aggro","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-03#sickworld_nd_place"
"217","colomo1",1,"Spirits","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-03#colomo_rd_place"
"218","ishul",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-03#ishul_th_place"
"219","triosk",1,"Hammer Time","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-04#triosk_nd_place"
"220","masongrode",1,"Heliod Combo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#masongrode_rd_place"
"221","PuntThenWhine",1,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#puntthenwhine_th_place"
"222","Shadowz2005",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#shadowz_th_place"
"223","remf",1,"Spirits","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-21#remf_st_place"
"224","dm95",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-21#dm_nd_place"
"225","MaxMagicer",1,"Humans","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-21#maxmagicer_th_place"
"226","sokos13",1,"Infect","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-21#sokos_th_place"
"227","Mazzu93",1,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-21#mazzu_th_place"
"228","Ryan100495",1,"Dredge","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-01-17#ryan_st_place"
"229","DoctorQueller",1,"Spirits","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-01-17#doctorqueller_nd_place"
"230","Pmizz",1,"Hammer Time","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-01-17#pmizz_rd_place"
"231","SknerusMcKwacz",1,"Oops All Spells","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-01-17#sknerusmckwacz_th_place"
"232","GR_DONKIN",1,"Ad Nauseam","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-01-17#gr_donkin_th_place"
"233","SanPop",1,"Mill","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-01-17#sanpop_th_place"
"234","fpawlusz",1,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-01-17#fpawlusz_th_place"
"235","IPlayBadDecks",1,"Twiddle Storm","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-18#iplaybaddecks_st_place"
"236","MrRaeb",1,"UBRG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-18#mrraeb_th_place"
"237","Magic_Dan",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-18#magic_dan_th_place"
"238","brunocaffaro",1,"Belcher","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-01-19#brunocaffaro_st_place"
"239","Skrown",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-01-19#skrown_rd_place"
"240","CanadianBac0nz",1,"Heliod Combo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-01-19#canadianbacnz_th_place"
"241","Violent_Outburst",1,"BTL Scapeshift","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-01-19#violent_outburst_th_place"
"242","edward40hands",1,"Golgari Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-01-19#edwardhands_th_place"
"243","FestiFan",1,"Reclamation","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-01-19#festifan_th_place"
"244","Aardos",1,"Ad Nauseam","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-24#aardos_st_place"
"245","Destraschul",1,"Ad Nauseam","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-24#destraschul_rd_place"
"246","quinniac",1,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-24#quinniac_th_place"
"247","ice_nine_",1,"Land Destruction","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-24#ice_nine__th_place"
"248","nsroller",1,"Heliod Combo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-24#nsroller_th_place"
"249","kefka27",1,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-24#kefka_th_place"
"250","jvidarte",1,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-01-24#jvidarte_rd_place"
"251","yuyan",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-01-24#yuyan_th_place"
"252","taraaasyk",1,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-01-24#taraaasyk_th_place"
"253","rastaf",1,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-01-24#rastaf_th_place"
"254","Usama96",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-25#usama_st_place"
"255","O_danielakos",1,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-25#o_danielakos_rd_place"
"256","NorrathDecay",1,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-25#norrathdecay_th_place"
"257","SwordHunter",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-25#swordhunter_th_place"
