"","CardNames","DeckCount","Winrate95Min"
"1","Veil of Summer",25,63.3
"2","Damping Sphere",22,63.1
"3","Aether Gust",13,63
"4","Lurrus of the Dream-Den",18,62.7
"5","Path to Exile",25,62.3
"6","Anger of the Gods",6,62.2
"7","Soul-Guide Lantern",6,61.4
"8","Thoughtseize",11,60.9
"9","Deafening Silence",5,60.7
"10","Vanishing Verse",6,60.4
"11","Rest in Peace",8,60.3
"12","Deicide",14,60.2
"13","Pithing Needle",13,59.5
"14","Kor Firewalker",10,59.3
"15","Auriok Champion",16,59.2
"16","Force of Negation",9,59.1
"17","Assassin's Trophy",5,58.8
"18","Gaea's Blessing",2,58.6
"19","Engineered Explosives",8,58.6
"20","Kozilek's Return",8,58.5
"21","Kaya's Guile",7,58.3
"22","Mystical Dispute",10,58.1
"23","Leyline of the Void",5,58
"24","Tale's End",6,57.9
"25","Fatal Push",8,57.9
"26","Abrupt Decay",3,57.7
"27","Plague Engineer",7,57.7
"28","Relic of Progenitus",13,57
"29","Ancient Grudge",4,56.7
"30","Blast Zone",4,56.7
"31","Darkblast",4,56.7
"32","Leyline of Sanctity",4,56.7
"33","Lightning Axe",4,56.7
"34","Yixlid Jailer",5,56.6
"35","Phyrexian Revoker",4,56.5
"36","Celestial Purge",4,56.4
"37","Rip Apart",3,56.4
"38","Cleansing Wildfire",5,55.6
"39","Madcap Experiment",1,55.5
"40","Platinum Emperion",1,55.5
"41","Sigarda, Host of Herons",1,55.5
"42","Unmoored Ego",1,55.5
"43","Burrenton Forge-Tender",8,55.5
"44","Dovin's Veto",5,55.4
"45","Kalitas, Traitor of Ghet",5,55.4
"46","Nature's Claim",5,55.4
"47","Grafdigger's Cage",9,54.9
"48","Shrine of Burning Rage",2,54.6
"49","Timely Reinforcements",3,54.6
"50","Tormod's Crypt",9,54.6
