"","SetName","Winrate","Presence"
"1","RAV",NA,0
"2","LEA",NA,0
"3","GPT",NA,0
"4","DIS",NA,0
"5","AER",NA,0
"6","ONS",NA,0
"7","CSP",NA,0
"8","ZEN",NA,0
"9","ISD",NA,0
"10","LRW",NA,0
"11","WAR",NA,0
"12","CON",NA,0
"13","IKO",NA,0
"14","ZNR",NA,0
"15","XLN",NA,0
"16","MH1",NA,0
"17","FUT",NA,0
"18","ROE",NA,0
"19","WWK",NA,0
"20","RTR",NA,0
"21","M10",NA,0
"22","ELD",NA,0
"23","KTK",NA,0
"24","NPH",NA,0
"25","AVR",NA,0
"26","THB",NA,0
"27","STH",NA,0
"28","DST",NA,0
"29","SOI",NA,0
"30","GRN",NA,0
"31","DTK",NA,0
"32","DKA",NA,0
"33","FRF",NA,0
"34","5DN",NA,0
"35","KHM",NA,0
"36","BFZ",NA,0
"37","SHM",NA,0
"38","KLD",NA,0
"39","INV",NA,0
"40","TSP",NA,0
"41","STX",NA,0
"42","MBS",NA,0
"43","SOM",NA,0
"44","WTH",NA,0
"45","JOU",NA,0
"46","M20",NA,0
"47","GTC",NA,0
"48","ICE",NA,0
"49","M21",NA,0
"50","DOM",NA,0
"51","LEG",NA,0
"52","ULG",NA,0
"53","RNA",NA,0
"54","JUD",NA,0
"55","AKH",NA,0
"56","OGW",NA,0
"57","HOU",NA,0
"58","ATQ",NA,0
"59","EVE",NA,0
"60","MRD",NA,0
"61","MOR",NA,0
"62","M15",NA,0
"63","PLC",NA,0
"64","ORI",NA,0
"65","ALA",NA,0
"66","M14",NA,0
"67","NEM",NA,0
"68","TMP",NA,0
"69","EMN",NA,0
"70","M19",NA,0
"71","CHK",NA,0
"72","CMD",NA,0
"73","ARB",NA,0
"74","M11",NA,0
"75","M12",NA,0
"76","PLS",NA,0
"77","MIR",NA,0
"78","DRK",NA,0
"79","DGM",NA,0
"80","SOK",NA,0
"81","M13",NA,0
"82","HML",NA,0
"83","P02",NA,0
"84","APC",NA,0
