"","CardNames","DeckCount","Winrate95Min"
"1","Overgrown Tomb",15,66.2
"2","Mountain",24,66.1
"3","Lightning Bolt",25,65.8
"4","Island",18,65.7
"5","Swamp",25,65.4
"6","Sacred Foundry",14,65.1
"7","Steam Vents",14,64.8
"8","Stomping Ground",16,64.8
"9","Blood Crypt",15,64.7
"10","Fatal Push",21,64.7
"11","Plains",23,64.5
"12","Wooded Foothills",32,64.5
"13","Bloodstained Mire",22,64.4
"14","Mishra's Bauble",14,64.2
"15","Arid Mesa",10,63.7
"16","Snapcaster Mage",13,63.4
"17","Cryptic Command",13,63.4
"18","Verdant Catacombs",22,63.4
"19","Teferi, Time Raveler",6,63.2
"20","Scalding Tarn",12,63.1
"21","Path to Exile",7,62.9
"22","Forest",27,62.8
"23","Raugrin Triome",3,62.6
"24","Polluted Delta",13,62.6
"25","Watery Grave",13,62.6
"26","Temple Garden",18,62.4
"27","Omnath, Locus of Creation",5,62.1
"28","Ketria Triome",5,62.1
"29","Field of Ruin",10,62.1
"30","Nurturing Peatland",8,62.1
"31","Force of Negation",11,61.9
"32","Misty Rainforest",18,61.9
"33","Archmage's Charm",12,61.8
"34","Logic Knot",6,61.5
"35","Inquisition of Kozilek",10,61.4
"36","Thoughtseize",10,61.4
"37","Windswept Heath",19,61.3
"38","Skyclave Apparition",16,61.1
"39","Jace, the Mind Sculptor",10,60.9
"40","Godless Shrine",9,60.9
"41","Supreme Verdict",7,60.5
"42","Breeding Pool",7,60.4
"43","Drowned Catacomb",10,60.4
"44","Drown in the Loch",8,60.3
"45","Walking Ballista",20,59.9
"46","Hexdrinker",6,59.7
"47","Spell Snare",9,59.7
"48","Tarmogoyf",8,59.7
"49","Monastery Swiftspear",11,59.7
"50","Dismember",12,59.4
