"","CardNames","DeckCount","WinrateAverage"
"1","Lightning Bolt",193,71.1
"2","Wooded Foothills",186,71
"3","Mountain",175,71.2
"4","Forest",144,71
"5","Steam Vents",122,70.9
"6","Bloodstained Mire",116,70.8
"7","Windswept Heath",114,71.7
"8","Stomping Ground",97,71.7
"9","Monastery Swiftspear",94,71
"10","Plains",93,70.3
"11","Misty Rainforest",88,71
"12","Verdant Catacombs",87,71.1
"13","Sacred Foundry",85,70.4
"14","Island",83,70.7
"15","Opt",80,71.6
"16","Lava Dart",79,71.3
"17","Temple Garden",78,70.7
"18","Soul-Scar Mage",76,71.3
"19","Scalding Tarn",75,70.5
"20","Swamp",74,70.4
"21","Breeding Pool",73,72.2
"22","Mishra's Bauble",72,71
"23","Walking Ballista",70,68.4
"24","Manamorphose",69,70.8
"25","Mutagenic Growth",68,71.7
"26","Arid Mesa",67,70.7
"27","Fatal Push",67,70.2
"28","Karn, the Great Creator",64,70.6
"29","Spirebluff Canal",64,71.6
"30","Cavern of Souls",62,70.7
"31","Utopia Sprawl",62,71.3
"32","Fiery Islet",61,70.5
"33","Overgrown Tomb",60,71.2
"34","Dismember",56,69.9
"35","Wrenn and Six",56,71.9
"36","Blood Crypt",54,69.6
"37","Blast Zone",53,69.9
"38","Snapcaster Mage",52,70.7
"39","Archmage's Charm",52,71
"40","Ketria Triome",52,71.5
"41","Sprite Dragon",50,71.5
"42","Cryptic Command",49,70.6
"43","Arbor Elf",49,70.9
"44","Polluted Delta",47,69.8
"45","Teferi, Time Raveler",47,71.1
"46","Stormwing Entity",46,71.6
"47","Expedition Map",44,68.4
"48","Urza's Mine",44,68.4
"49","Urza's Power Plant",44,68.4
"50","Urza's Tower",44,68.4
