"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Rakdos Midrange - Phoenix - Azorius Control,Conflict(Abzan Grease Fang,Abzan Vehicles) - Boros Aggro,Azorius Control - Rakdos Midrange,Rakdos Midrange - Azorius Control - Phoenix,Rakdos Midrange - Azorius Control - Phoenix
"Tiers 1.5",Devotion Walkers - Rakdos Sacrifice - Boros Prowess - Mono Red Burn - Mono White Humans,Simic Lotus Field - Jund Sacrifice - Rakdos Sacrifice - Mono White Humans - Azorius Control - Mono Red Burn,Phoenix - Rakdos Sacrifice - Conflict(Abzan Grease Fang,Abzan Vehicles) - Mono White Humans - Simic Lotus Field - Devotion Walkers - Mono Red Burn - Boros Prowess,Rakdos Sacrifice - Conflict(Abzan Grease Fang,Abzan Vehicles) - Simic Lotus Field - Mono White Humans - Devotion Walkers - Mono Red Burn - Boros Prowess,Rakdos Sacrifice - Conflict(Abzan Grease Fang,Abzan Vehicles) - Simic Lotus Field - Mono White Humans - Devotion Walkers - Mono Red Burn - Boros Prowess
"Tiers 2",Mono Blue Spirits - Simic Lotus Field - Bant Spirits - Conflict(Abzan Grease Fang,Abzan Vehicles) - Jund Sacrifice - Niv To Light,Phoenix - Rakdos Midrange - Devotion Walkers - Boros Prowess - Gruul Stompy - Mono Blue Spirits,Jund Sacrifice - Mono Blue Spirits - Boros Aggro - Bant Spirits,Jund Sacrifice - Boros Aggro - Mono Blue Spirits,Jund Sacrifice - Boros Aggro - Mono Blue Spirits
"Tiers 2.5",Bant Humans - Gruul Stompy - Boros Aggro,Bant Humans - Bant Spirits - Niv To Light,Gruul Stompy - Niv To Light - Bant Humans,Bant Spirits - Gruul Stompy - Bant Humans - Niv To Light,Bant Spirits - Gruul Stompy - Bant Humans - Niv To Light
