"","SetCode","NoCopies","Winrate"
"1","MH2",5464,0.725
"2","LEA",2707,0.723
"3","MH1",2604,0.724
"4","ZEN",2038,0.718
"5","ONS",1603,0.721
"6","ELD",1103,0.727
"7","5DN",887,0.722
"8","GPT",872,0.724
"9","WWK",868,0.725
"10","LRW",826,0.716
"11","SOM",796,0.727
"12","KLD",796,0.716
"13","M20",744,0.728
"14","CSP",645,0.718
"15","DIS",631,0.724
"16","NPH",617,0.721
"17","STX",612,0.721
"18","RAV",607,0.722
"19","ZNR",578,0.716
"20","WAR",573,0.726
"21","ATQ",560,0.727
"22","IKO",549,0.732
"23","FUT",544,0.719
"24","THB",536,0.729
"25","MRD",532,0.723
"26","ROE",514,0.718
"27","ICE",464,0.708
"28","ARB",414,0.719
"29","TSP",388,0.715
"30","CON",352,0.715
"31","MBS",337,0.737
"32","EMN",337,0.739
"33","DKA",334,0.722
"34","DRK",320,0.73
"35","AER",305,0.717
"36","ISD",303,0.712
"37","OGW",293,0.728
"38","SHM",264,0.7
"39","PC2",263,0.735
"40","HOU",260,0.71
"41","DTK",233,0.712
"42","SOK",212,0.722
"43","APC",197,0.733
"44","AKH",195,0.711
"45","AVR",177,0.726
"46","NEM",177,0.74
"47","M21",172,0.703
"48","RTR",169,0.731
"49","DST",163,0.71
"50","AFR",159,0.739
"51","PLS",159,0.711
"52","CMD",159,0.727
"53","KTK",153,0.699
"54","DGM",136,0.714
"55","ALA",133,0.72
"56","CHK",127,0.697
"57","BFZ",122,0.741
"58","INV",105,0.693
"59","M11",104,0.73
"60","XLN",99,0.695
"61","PLC",90,0.745
"62","M12",88,0.704
"63","GRN",81,0.712
"64","RNA",78,0.698
"65","TMP",75,0.727
"66","SOI",72,0.733
"67","M10",68,0.709
"68","STH",67,0.71
"69","GTC",63,0.687
"70","MOR",60,0.717
"71","EVE",60,0.728
"72","JOU",59,0.69
"73","THS",56,0.747
"74","DOM",55,0.711
"75","WTH",50,0.706
"76","JUD",50,0.683
"77","ULG",45,0.717
"78","FRF",44,0.702
"79","P02",44,0.667
"80","KHM",39,0.729
"81","CN2",39,0.669
"82","PTK",34,0.68
"83","M15",25,0.732
"84","ORI",19,0.833
"85","MIR",15,0.789
"86","LEG",13,0.765
"87","M13",13,0.711
"88","ARN",11,0.696
"89","ALL",10,0.75
"90","C14",9,0.727
"91","TOR",5,0.708
"92","BNG",4,0.735
"93","SCG",4,0.625
"94","ODY",3,0.778
