"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Unknown - Sultai Control - Temur Stompy,WUBR Control - Mono White Control - Jeskai Control - Naya Stompy,Naya Stompy - Temur Stompy - WUBR Control,Unknown - Sultai Control - Temur Stompy,Unknown - Sultai Control - Temur Stompy
"Tiers 1.5",Gruul Stompy - Dimir Rogue - Naya Stompy - Izzet Control - Mono Green Stompy - Rakdos Control - Dimir Control,WUBG Control - Temur Stompy - Esper Control - Rakdos Control - Mono Green Stompy - Sultai Control,Sultai Control - Unknown - Gruul Stompy - Mono Green Stompy - Rakdos Control - Dimir Rogue - Esper Control - Dimir Control - Rakdos Midrange,Naya Stompy - Gruul Stompy - Dimir Rogue - Mono Green Stompy - Rakdos Control - Izzet Control - WUBR Control,Naya Stompy - Gruul Stompy - Dimir Rogue - Mono Green Stompy - Rakdos Control - Izzet Control - WUBR Control
"Tiers 2",Esper Control - Rakdos Midrange - WUBR Control - Jund Stompy - Orzhov Control - Mono Green Midrange - Jeskai Control,Gruul Stompy - Rakdos Midrange - Azorius Control - Dimir Rogue - Mono Green Midrange - Dimir Control - Unknown,Izzet Control - Jeskai Control - Mono White Control - Mono Green Midrange - Jund Stompy,Esper Control - Dimir Control - Rakdos Midrange - Jeskai Control - Mono White Control - Jund Stompy - Mono Green Midrange - Orzhov Control,Esper Control - Dimir Control - Rakdos Midrange - Jeskai Control - Mono White Control - Jund Stompy - Mono Green Midrange - Orzhov Control
"Tiers 2.5",Mono White Control - Mardu Control - WUBG Control - Azorius Control,Orzhov Control - Izzet Control - Jund Stompy - Mardu Control,Orzhov Control - WUBG Control - Azorius Control - Mardu Control,WUBG Control - Azorius Control - Mardu Control,WUBG Control - Azorius Control - Mardu Control
