"","Artist","NoCopies","Winrate"
"1","Dan Frazier",10715,0.641
"2","Terese Nielsen",9417,0.641
"3","Rob Alexander",9362,0.648
"4","Erica Yang",7440,0.644
"5","Christopher Rush",6786,0.643
"6","Kaja Foglio",6242,0.637
"7","Una Fricker",6123,0.64
"8","Mark Tedin",5740,0.64
"9","Svetlin Velinov",5491,0.649
"10","Mark Poole",5282,0.645
"11","Adam Rex",5137,0.647
"12","Jesper Myrfors",4262,0.643
"13","Kev Walker",4125,0.645
"14","Randy Vargas",4000,0.643
"15","Shelly Wan",3795,0.646
"16","Philip Straub",3362,0.648
"17","Jeff A. Menges",3273,0.648
"18","Cyril Van Der Haegen",3033,0.65
"19","Daniel Ljunggren",2985,0.646
"20","Magali Villeneuve",2948,0.641
"21","Nicola Leonard",2900,0.639
"22","Brian Snõddy",2774,0.637
"23","Christopher Moeller",2663,0.639
"24","Eric Deschamps",2586,0.642
"25","Titus Lunter",2479,0.629
"26","Steve Argyle",2392,0.639
"27","Colin MacNeil",2326,0.638
"28","Paul Scott Canavan",2318,0.64
"29","Daarken",2285,0.653
"30","Ron Spencer",2246,0.634
"31","Doug Chaffee",2244,0.638
"32","Pete Venters",2233,0.631
"33","Chippy",2231,0.64
"34","Steven Belledin",2222,0.646
"35","Amy Weber",2028,0.643
"36","Heather Hudson",1988,0.629
"37","Matt Stewart",1921,0.643
"38","Cliff Childs",1896,0.648
"39","Daniel Gelon",1837,0.638
"40","Yongjae Choi",1802,0.645
"41","Anson Maddocks",1799,0.635
"42","Douglas Shuler",1730,0.649
"43","Pat Lee",1696,0.652
"44","Joseph Meehan",1659,0.63
"45","NéNé Thomas",1576,0.642
"46","Raymond Swanland",1543,0.638
"47","Anthony Palumbo",1476,0.64
"48","Mark Zug",1438,0.64
"49","Filip Burburan",1436,0.649
"50","Matthew D. Wilson",1434,0.654
"51","Ryan Yee",1422,0.647
"52","Justin Murray",1412,0.65
"53","Wisnu Tan",1359,0.634
"54","Matt Thompson",1358,0.637
"55","Vance Kovacs",1284,0.642
"56","Jonas De Ro",1199,0.637
"57","Sandra Everingham",1170,0.654
"58","Igor Kieryluk",1134,0.637
"59","John Avon",1133,0.635
"60","Cynthia Sheppard",1125,0.64
"61","Liz Danforth",1117,0.649
"62","rk post",1083,0.648
"63","Volkan Baǵa",1056,0.642
"64","Adrian Smith",1044,0.662
"65","John Stanko",1035,0.629
"66","Seb McKinnon",1027,0.635
"67","Tim Hildebrandt",981,0.647
"68","Stephen Daniele",966,0.637
"69","Chris Rahn",961,0.641
"70","Anastasia Ovchinnikova",959,0.622
"71","Jason Felix",943,0.635
"72","G-host Lee",941,0.656
"73","Mike Raabe",899,0.639
"74","Nils Hamm",896,0.64
"75","Ryan Pancoast",889,0.651
"76","Gary Leach",844,0.657
"77","Edward P. Beard, Jr.",831,0.641
"78","Sidharth Chaturvedi",806,0.641
"79","Joel Thomas",805,0.642
"80","Matt Cavotta",767,0.641
"81","Greg Hildebrandt & Tim Hildebrandt",764,0.638
"82","Karl Kopinski",707,0.631
"83","Lake Hurwitz",704,0.636
"84","Carl Critchlow",694,0.639
"85","Michael Sutfin",690,0.636
"86","Kieran Yanner",680,0.638
"87","Chase Stone",677,0.625
"88","David O'Connor",670,0.652
"89","Jean-Sébastien Rossbach",659,0.621
"90","Greg Hildebrandt",626,0.633
"91","Vincent Proce",613,0.643
"92","Lie Setiawan",608,0.663
"93","Anthony S. Waters",590,0.634
"94","Chuck Lukacs",588,0.642
"95","Jesper Ejsing",562,0.659
"96","Scott Murphy",546,0.655
"97","Jason A. Engle",518,0.658
"98","Kaja Foglio & Phil Foglio",489,0.649
"99","Dan Scott",489,0.635
"100","Daren Bader",479,0.63
"101","Simon Dominic",465,0.61
"102","Craig J Spearing",435,0.641
"103","Dany Orizio",427,0.629
"104","Sung Choi",364,0.667
"105","Howard Lyon",361,0.639
"106","Jana Schirmer & Johannes Voss",360,0.626
"107","David Martin",354,0.653
"108","Stephan Martiniere",350,0.637
"109","Nicholas Gregory",349,0.618
"110","Ekaterina Burmak",341,0.66
"111","Harold McNeill",338,0.645
"112","David Monette",334,0.633
"113","Jason Chan",326,0.603
"114","Chris Seaman",321,0.656
"115","Grzegorz Rutkowski",291,0.631
"116","Martina Pilcerova",291,0.63
"117","April Lee",288,0.65
"118","Mads Ahm",260,0.636
"119","Jokubas Uogintas",256,0.613
"120","Lawrence Snelly",252,0.658
"121","Greg Staples",243,0.621
"122","Raoul Vitale",243,0.619
"123","Jim Nelson",222,0.631
"124","Chris Rallis",216,0.661
"125","Livia Prima",210,0.629
"126","Todd Lockwood",210,0.638
"127","Gabor Szikszai",202,0.666
"128","Chris Cold",189,0.667
"129","Jung Park",184,0.653
"130","Franz Vohwinkel",183,0.626
"131","Scott M. Fischer",182,0.616
"132","Adam Paquette",178,0.627
"133","Martina Fackova",163,0.598
"134","Aleksi Briclot",162,0.638
"135","Donato Giancola",161,0.651
"136","Wayne England",151,0.62
"137","Slawomir Maniak",150,0.639
"138","Tom Wänerstrand",147,0.64
"139","Lucas Graciano",139,0.627
"140","Ron Spears",135,0.615
"141","Jason Rainville",135,0.652
"142","David Rapoza",133,0.629
"143","Glen Angus",132,0.646
"144","Jaime Jones",127,0.619
"145","Cliff Nielsen",120,0.673
"146","Iain McCaig",101,0.571
"147","Eric Fortune",100,0.649
"148","Rebecca Guay",96,0.616
"149","Dmitry Burmak",93,0.617
"150","Ken Meyer, Jr.",76,0.645
"151","Richard Thomas",76,0.639
"152","Paolo Parente",71,0.614
"153","Pat Morrissey",65,0.651
"154","Lius Lasahido",60,0.664
"155","Stephen Tappin",55,0.642
"156","Izzy",54,0.591
"157","Dave DeVries",53,0.646
"158","Zack Stella",51,0.632
"159","David Palumbo",46,0.623
"160","Greg Simanson",46,0.579
"161","Michael C. Hayes",45,0.66
"162","Austin Hsu",45,0.591
"163","Andrey Kuzinskiy",44,0.597
"164","Michael Komarck",43,0.619
"165","Mike Dringenberg",43,0.583
"166","Jeremy Jarvis",42,0.624
"167","Kari Christensen",42,0.626
"168","Winona Nelson",41,0.668
"169","DiTerlizzi",38,0.67
"170","Colin Boyer",38,0.551
"171","Brom",37,0.619
"172","Zoltan Boros & Gabor Szikszai",37,0.652
"173","Evan Shipard",36,0.649
"174","Dimitar Marinski",36,0.661
"175","Johannes Voss",33,0.662
"176","Jeff Miracola",33,0.545
"177","Don Hazeltine",31,0.611
"178","Caio Monteiro",30,0.608
"179","Julie Baroh",29,0.583
"180","Scott Kirschner",28,0.652
"181","Johann Bodin",28,0.576
"182","Margaret Organ-Kean",25,0.628
"183","Zoltan Boros",24,0.711
"184","Andrew Mar",21,0.676
"185","Mike Ploog",21,0.662
"186","Richard Wright",21,0.638
"187","Jerry Tiritilli",20,0.739
"188","Yeong-Hao Han",20,0.583
"189","Mike Bierek",20,0.613
"190","E. M. Gist",19,0.596
"191","Melissa A. Benson",19,0.452
"192","Mark Behm",18,0.586
"193","Warren Mahy",18,0.5
"194","Alex Horley-Orlandelli",17,0.643
"195","Randy Gallegos",17,0.545
"196","Dave Kendall",16,0.596
"197","Victor Adame Minguez",15,0.598
"198","Zezhou Chen",14,0.556
"199","Mark Brill",14,0.559
"200","Charles Urbach",14,0.548
"201","Iris Compiet",13,0.652
"202","Jehan Choo",13,0.609
"203","YW Tang",13,0.753
"204","Jeff Laubenstein",13,0.661
"205","Denman Rooke",13,0.667
"206","James Paick",12,0.705
"207","Sam Burley",12,0.617
"208","Bastien L. Deharme",10,0.667
"209","Robert Bliss",10,0.6
"210","Chris Ostrowski",9,0.561
"211","Eric Peterson",8,0.579
"212","Anthony Francisco",8,0.632
"213","Milivoj Ćeran",7,0.818
