"","Artist","NoCopies","Winrate"
"1","Rob Alexander",29450,0.731
"2","Christopher Rush",14507,0.73
"3","Mark Poole",8067,0.729
"4","Eric Deschamps",6896,0.727
"5","Chippy",6219,0.728
"6","Adam Paquette",5963,0.73
"7","Anastasia Ovchinnikova",5152,0.728
"8","Shelly Wan",4959,0.732
"9","Aleksi Briclot",4910,0.727
"10","Philip Straub",4816,0.729
"11","Ron Spears",4672,0.728
"12","Steve Argyle",4658,0.728
"13","Tomasz Jedruszek",4542,0.728
"14","Jason Chan",4329,0.731
"15","Svetlin Velinov",4256,0.731
"16","Raymond Swanland",4242,0.729
"17","Douglas Shuler",4230,0.728
"18","Franz Vohwinkel",4221,0.729
"19","Chris Rallis",4212,0.736
"20","John Stanko",4197,0.728
"21","John Avon",4065,0.731
"22","Todd Lockwood",4058,0.729
"23","Terese Nielsen",3948,0.731
"24","Jonas De Ro",3925,0.733
"25","Seb McKinnon",3811,0.727
"26","Mark Zug",3806,0.725
"27","Ryan Pancoast",3703,0.731
"28","Vance Kovacs",3672,0.731
"29","Paul Scott Canavan",3611,0.731
"30","Jung Park",3514,0.725
"31","Chase Stone",3512,0.733
"32","Jesper Myrfors",3438,0.728
"33","Howard Lyon",3358,0.725
"34","Anthony S. Waters",3263,0.733
"35","Vincent Proce",3216,0.728
"36","Izzy",3192,0.726
"37","Cyril Van Der Haegen",3189,0.724
"38","Alayna Danner",3160,0.724
"39","Mark Tedin",3133,0.725
"40","Kev Walker",3129,0.728
"41","Simon Dominic",3110,0.728
"42","Dave Kendall",3103,0.73
"43","Ekaterina Burmak",3074,0.731
"44","Yeong-Hao Han",3034,0.724
"45","Titus Lunter",2972,0.725
"46","Randy Vargas",2964,0.729
"47","Cliff Childs",2960,0.732
"48","Sam Burley",2834,0.734
"49","Daarken",2823,0.729
"50","Chris Rahn",2790,0.732
"51","Martina Fackova",2707,0.727
"52","Lake Hurwitz",2700,0.729
"53","Tom Wänerstrand",2690,0.724
"54","Pete Venters",2687,0.728
"55","Jason Rainville",2632,0.728
"56","Dmitry Burmak",2598,0.724
"57","James Paick",2516,0.731
"58","Mike Bierek",2514,0.723
"59","Michael Sutfin",2340,0.724
"60","Kari Christensen",2302,0.725
"61","Raoul Vitale",2210,0.73
"62","Anson Maddocks",2205,0.733
"63","Warren Mahy",2184,0.727
