"","ARCHETYPES","NB_COPIES","NB_PLAYERS","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","MATCHES_PER_PLAYER","WINRATE_ARCH_OUT_PLAYERS"
"1","Mill",7,7,53,0.69811320754717,0.556565984160423,0.816597983817848,7.57142857142857,0.993113906679525
"2","Reclaimer Titan",7,6,59,0.728813559322034,0.597306453444172,0.836367273351304,9.83333333333333,1.02147395411097
"3","Gruul Midrange",12,11,92,0.673913043478261,0.568239439752384,0.768036177770712,8.36363636363636,1.03770283489567
"4","Mono White Taxes",19,13,151,0.721854304635762,0.643169395163987,0.791613549288689,11.6153846153846,1.03623347871866
"5","Jund Midrange",11,9,85,0.670588235294118,0.560160141033587,0.768740165913637,9.44444444444444,0.996001386802265
"6","Temur Control",4,3,29,0.655172413793103,0.456694272332057,0.820616350764888,9.66666666666667,1.0067283431455
"7","Azorius Control",6,6,44,0.681818181818182,0.524218578502791,0.81390116282513,7.33333333333333,1.00039698292973
"8","Humans",27,22,201,0.676616915422886,0.607206069751159,0.740726371057063,9.13636363636364,0.99618267544448
"9","Dredge",7,6,52,0.692307692307692,0.548976017783368,0.812826630800221,8.66666666666667,1.0064955269926
"10","Shadow Prowess",29,24,227,0.713656387665198,0.650112499072443,0.771523843321739,9.45833333333333,1.01446176174559
"11","Badzan",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"12","Sultai Shadow",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1.15384615384615
"13","Rakdos Prowess",4,3,28,0.607142857142857,0.405768206487563,0.784957170839039,9.33333333333333,0.996913580246913
"14","WURG Control",23,17,177,0.694915254237288,0.621390269265585,0.761777649710911,10.4117647058824,0.986001681335356
"15","Bogles",5,4,35,0.6,0.4211177218821,0.761291889546658,8.75,1.008
"16","Sultai Control",8,7,59,0.661016949152542,0.526070885548076,0.77918830136558,8.42857142857143,1.0008874663563
"17","Jeskai Taxes",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,0.80672268907563
"18","Mono Red Prowess",2,2,16,0.6875,0.413379363548641,0.889830045282883,8,1.01911764705882
"19","Grixis Shadow",4,4,30,0.6,0.406034930051819,0.773442351171406,7.5,1.008
"20","Golgari Midrange",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,1
"21","Heliod Combo",8,4,65,0.784615384615385,0.665112685452448,0.87694692475782,16.25,1.05501955671447
"22","Spirits",8,5,66,0.696969696969697,0.571483485422635,0.804100353393526,13.2,0.982781582054309
"23","UBRG Shadow",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1
"24","Amulet Titan",11,8,83,0.674698795180723,0.563001461169269,0.773513612946118,10.375,1.03334215474615
"25","Bant Blink",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"26","Boros Prowess",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"27","Infect",3,2,21,0.666666666666667,0.430324517095876,0.854123057656903,10.5,0.982456140350877
"28","White Devotion",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"29","Burn",8,6,61,0.672131147540984,0.539980851560462,0.78693366418863,10.1666666666667,0.992443647540984
"30","Eldrazi Tron",8,6,58,0.672413793103448,0.536593781326833,0.789946151369536,9.66666666666667,1.00463404661306
"31","Merfolk",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,1
