"","PLAYERS","NB_APPEARANCES","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","TOTAL_POINTS","ARCHETYPE_NAMES","ARCHETYPE_COUNT","URL"
"1","Sodeq",28,239,0.761506276150628,0.702323293570845,0.814078275964083,546,"Dredge; Amulet Titan; Ad Nauseam; Oops All Spells; Belcher","15; 1; 7; 2; 3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#sodeq_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-19#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-09#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-23#sodeq_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-05#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#sodeq_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#sodeq_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-28#sodeq_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-05#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-06#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-08-09#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-16#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-07#sodeq_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-13#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-27#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-18#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-11-08#sodeq_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-09#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-22#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-23#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-07#sodeq_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-13#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-14#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-03#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#sodeq_th_place"
"2","TSPJendrek",28,227,0.722466960352423,0.659353809239917,0.77966706894541,492,"Azorius Control; Bant Control; WUBG Control; Dimir Control; Esper Control; UBRG Control; Sultai Control; Jeskai Control","4; 4; 3; 3; 1; 1; 10; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-16#tspjendrek_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-15#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-22#tspjendrek_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-17#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#tspjendrek_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-06-07#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-08#tspjendrek_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-14#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-05#tspjendrek_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-12#tspjendrek_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-last-chance-2020-08-11#tspjendrek_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-17#tspjendrek_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-06#tspjendrek_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-13#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-27#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-11#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-26#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-01#tspjendrek_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-07#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-14#tspjendrek_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-20#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-03#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-04#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#tspjendrek_th_place"
"3","Laplasjan",24,194,0.716494845360825,0.647505994864826,0.778735163680923,417,"Eldrazi Tron; Gruul Midrange; Devoted; Amulet Titan; Hammer Time","5; 1; 14; 1; 3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-08#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-15#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-29#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-05#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#laplasjan_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-04#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-25#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-08#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-14#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-06#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-10#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-16#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-14#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-27#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-02#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-09#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-22#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-20#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-21#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-04#laplasjan_rd_place"
"4","musasabi",23,189,0.714285714285714,0.644207798356387,0.7775050401508,405,"Jund Midrange; Smallpox; Amulet Titan; Hardened Scales; Heliod Combo; Humans; Reclaimer Titan; Orzhov Midrange; Omnath Saheeli; Shadow Prowess; WURG Control","3; 1; 4; 2; 1; 1; 4; 1; 2; 3; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#musasabi_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-23#musasabi_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-08#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#musasabi_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#musasabi_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-15#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-07-12#musasabi_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-07-20#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-16#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-17#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-07#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-14#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-27#musasabi_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-19#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-26#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-02#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#musasabi_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-23#musasabi_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-30#musasabi_nd_place"
"5","SebastianStueckl",24,181,0.679558011049724,0.60627601046695,0.746844099663973,369,"Merfolk; Dredge; Humans; Jund Midrange; WURG Control; Gruul Midrange; Green Tron; Boros Prowess; Goblins; Bogles; Obosh Aggro; Sultai Control; Belcher; Mono White Taxes","1; 3; 1; 1; 1; 6; 2; 2; 1; 1; 2; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-02#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#sebastianstueckl_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-06-07#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-14#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-15#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-28#sebastianstueckl_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-26#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-10#sebastianstueckl_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-06#sebastianstueckl_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-07#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-13#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-14#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-20#sebastianstueckl_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-21#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-09-21#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-12#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-01#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#sebastianstueckl_st_place"
"6","McWinSauce",20,163,0.742331288343558,0.66807701682951,0.80755422310309,363,"Bant Control; WURG Control; Azorius Control; UBRG Control; WUBG Control","6; 11; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-16#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#mcwinsauce_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-02#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-08#mcwinsauce_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#mcwinsauce_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-06-07#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-29#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-07#mcwinsauce_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-21#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-05#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-19#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-11-08#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-22#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-23#mcwinsauce_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-21#mcwinsauce_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#mcwinsauce_th_place"
"7","kanister",17,138,0.760869565217391,0.68088454139419,0.829319955449468,315,"Amulet Titan; Rakdos Prowess; Humans; Temur Control; Bant Control; Sultai Control; Oops All Spells; Omnath Saheeli; Dimir Control; Shadow Prowess; Bant Blink; Primeval Titan","2; 1; 3; 1; 1; 1; 1; 1; 2; 1; 1; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-19#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-17#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-21#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-19#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-16#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-07#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-14#kanister_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-27#kanister_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-10-04#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-12#kanister_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-29#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-13#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-14#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-21#kanister_nd_place"
"8","Tiemuuu",18,143,0.713286713286713,0.631757957201084,0.785750416308603,306,"Izzet Control","18","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#tiemuuu_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-02#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-16#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-23#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-15#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-21#tiemuuu_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-13#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-12#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-12#tiemuuu_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-09#tiemuuu_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-30#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-12-06#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-21#tiemuuu_th_place"
"9","patheus_84",18,137,0.708029197080292,0.624299192365608,0.782526294622013,291,"Izzet Control; Ad Nauseam; Belcher","1; 15; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-16#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-08#patheus__st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-04#patheus__st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-12-0#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-30#patheus__st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-09-14#patheus__nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-26#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-02#patheus__st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-23#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-30#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-20#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#patheus__th_place"
"10","NorrathDecay",19,144,0.666666666666667,0.583360872497212,0.742954557849799,288,"Burn; Green Tron; Eldrazi Tron","12; 5; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#norrathdecay_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-04#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-25#norrathdecay_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-15#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-28#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-12-0#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-08-09#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-16#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-21#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-10-04#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-05#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-12#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-02#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#norrathdecay_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-23#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-13#norrathdecay_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-21#norrathdecay_th_place"
