"","SetCode","NoCopies","Winrate"
"1","MH2",22373,0.707
"2","LEA",18503,0.71
"3","MH1",17219,0.709
"4","ZEN",14769,0.711
"5","ONS",12190,0.711
"6","WWK",7173,0.71
"7","ELD",6971,0.712
"8","RAV",6372,0.71
"9","ZNR",5902,0.71
"10","WAR",5477,0.712
"11","5DN",5458,0.709
"12","LRW",5428,0.71
"13","DIS",5291,0.714
"14","NPH",5232,0.71
"15","KLD",5137,0.709
"16","M20",5014,0.713
"17","THB",4673,0.71
"18","GPT",4667,0.712
"19","SOM",4531,0.711
"20","FUT",4436,0.709
"21","IKO",4269,0.713
"22","ROE",3670,0.705
"23","CON",3667,0.71
"24","CSP",3612,0.712
"25","ICE",3436,0.713
"26","ATQ",3325,0.708
"27","TSP",3178,0.706
"28","STX",3128,0.706
"29","AER",3091,0.709
"30","MRD",2765,0.706
"31","OGW",2732,0.712
"32","EMN",2630,0.715
"33","SHM",2589,0.709
"34","KTK",2464,0.705
"35","ARB",2305,0.716
"36","DKA",2296,0.707
"37","RTR",2208,0.712
"38","DRK",2101,0.707
"39","MBS",1978,0.706
"40","M21",1864,0.711
"41","AKH",1838,0.713
"42","ISD",1748,0.701
"43","M11",1665,0.71
"44","AVR",1638,0.714
"45","RNA",1635,0.708
"46","ALA",1576,0.707
"47","DST",1527,0.706
"48","HOU",1468,0.715
"49","CHK",1455,0.699
"50","DOM",1366,0.712
"51","DTK",1363,0.714
"52","XLN",1315,0.707
"53","GTC",1275,0.697
"54","INV",1266,0.704
"55","SOK",1238,0.709
"56","M19",1226,0.707
"57","STH",1224,0.712
"58","PLC",1082,0.714
"59","SOI",1031,0.712
"60","CMD",994,0.707
"61","MID",983,0.707
"62","JOU",966,0.705
"63","PC2",962,0.712
"64","BFZ",958,0.713
"65","JUD",954,0.712
"66","AFR",881,0.706
"67","GRN",880,0.71
"68","APC",863,0.697
"69","PLS",817,0.713
"70","M12",784,0.708
"71","TMP",691,0.711
"72","FRF",643,0.709
"73","DGM",627,0.711
"74","KHM",598,0.71
"75","M10",595,0.712
"76","EVE",583,0.713
"77","MOR",501,0.705
"78","NEM",463,0.712
"79","WTH",432,0.712
"80","M15",399,0.721
"81","THS",352,0.705
"82","ULG",350,0.697
"83","MIR",340,0.709
"84","ALL",246,0.712
"85","ORI",214,0.705
"86","ARN",196,0.698
"87","M13",169,0.702
"88","LEG",162,0.718
"89","ODY",161,0.716
"90","BNG",156,0.703
"91","P02",153,0.712
"92","VOW",103,0.664
"93","PTK",100,0.667
"94","BOK",76,0.713
"95","M14",73,0.732
"96","CN2",55,0.653
"97","C14",36,0.718
"98","TOR",32,0.714
"99","RIX",26,0.688
"100","SCG",18,0.692
"101","POR",16,0.746
"102","FEM",8,0.571
"103","HML",4,0.765
"104","VIS",2,0.714
