"","CardNames","DeckCount","Winrate95Min"
"1","Force of Negation",111,64.6
"2","Fury",27,64.3
"3","Meltdown",73,64.1
"4","Counterbalance",46,63.9
"5","Surgical Extraction",114,63.6
"6","Unchained Berserker",36,63
"7","Hydroblast",89,62.9
"8","Pyroblast",102,62.9
"9","Tormod's Crypt",4,62.1
"10","Blood Moon",12,61.8
"11","Leyline of the Void",56,61.6
"12","Subtlety",10,61.4
"13","Swords to Plowshares",35,61.2
"14","Brazen Borrower",17,61
"15","True-Name Nemesis",26,61
"16","Grafdigger's Cage",43,60.9
"17","Abrade",27,60.8
"18","Walking Ballista",37,60.2
"19","Faerie Macabre",51,60
"20","Show and Tell",11,59.6
"21","Empty-Shrine Kannushi",27,59.6
"22","Price of Progress",13,59
"23","Containment Priest",52,59
"24","Pithing Needle",21,58.9
"25","Trinisphere",10,58.7
"26","Prismatic Ending",21,58.7
"27","Carpet of Flowers",32,58.7
"28","Red Elemental Blast",50,58.7
"29","Plague Engineer",40,58.6
"30","Force of Vigor",8,58.2
"31","Loran of the Third Path",34,58.2
"32","Magus of the Moon",20,57.8
"33","Serenity",22,57.8
"34","Wear // Tear",12,57.7
"35","Flusterstorm",30,57.7
"36","Dismember",10,57.5
"37","Chalice of the Void",26,57.4
"38","Ethersworn Canonist",8,57.3
"39","Archon of Absolution",23,57.3
"40","Mindbreak Trap",17,57.2
"41","Touch the Spirit Realm",10,57.1
"42","Snuff Out",22,56.8
"43","Blue Elemental Blast",28,56.8
"44","Null Rod",14,56.7
"45","Brotherhood's End",18,56.7
"46","Thoughtseize",24,56.7
"47","Ensnaring Bridge",4,56.5
"48","Aven Mindcensor",17,56.4
"49","Endurance",19,55
"50","Iona, Shield of Emeria",7,54.9
