"","SetCode","NoCopies","Winrate"
"1","LEA",2112,0.657
"2","MH2",1861,0.666
"3","TMP",1291,0.663
"4","ICE",1241,0.664
"5","ZEN",832,0.669
"6","LRW",753,0.662
"7","ONS",750,0.67
"8","ALL",598,0.665
"9","CLB",544,0.645
"10","MRD",541,0.66
"11","MH1",530,0.661
"12","STX",457,0.669
"13","NEO",450,0.656
"14","USG",442,0.668
"15","AVR",428,0.648
"16","ELD",400,0.673
"17","NEM",374,0.671
"18","ZNR",352,0.652
"19","NPH",337,0.667
"20","LEB",316,0.668
"21","CSP",311,0.683
"22","ISD",281,0.669
"23","EXO",280,0.655
"24","MMQ",277,0.66
"25","GPT",262,0.678
"26","DKA",231,0.665
"27","SHM",201,0.659
"28","FUT",188,0.657
"29","THB",171,0.669
"30","AER",169,0.659
"31","M20",158,0.666
"32","WWK",143,0.658
"33","SOM",137,0.661
"34","PLC",133,0.645
"35","LEG",129,0.663
"36","CN2",128,0.645
"37","BRO",126,0.66
"38","PC2",125,0.637
"39","WTH",108,0.672
"40","TOR",104,0.675
"41","ULG",101,0.648
"42","BOK",96,0.67
"43","ODY",89,0.641
"44","WAR",78,0.688
"45","STH",78,0.68
"46","DST",75,0.654
"47","C13",71,0.654
"48","MIR",66,0.68
"49","DMU",65,0.64
"50","RAV",64,0.652
"51","TSP",62,0.651
"52","JUD",56,0.662
"53","CMD",55,0.642
"54","CMR",53,0.618
"55","MBS",52,0.649
"56","SCG",50,0.64
"57","ROE",48,0.616
"58","VIS",46,0.638
"59","HOU",46,0.68
"60","IKO",44,0.634
"61","SOK",43,0.677
"62","AFR",42,0.659
"63","DRK",41,0.707
"64","SNC",38,0.637
"65","M11",36,0.61
"66","ALA",35,0.682
"67","ATQ",35,0.628
"68","JMP",34,0.653
"69","RTR",32,0.659
"70","EMN",31,0.674
"71","EVE",31,0.646
"72","M13",31,0.592
"73","GTC",27,0.643
"74","POR",27,0.679
"75","GRN",27,0.676
"76","5DN",27,0.64
"77","PLS",22,0.667
"78","MOR",22,0.611
"79","C18",21,0.64
"80","CON",20,0.664
"81","CHK",19,0.59
"82","M15",18,0.628
"83","NEC",17,0.719
"84","M10",17,0.68
"85","BNG",16,0.68
"86","FEM",16,0.632
"87","DOM",16,0.568
"88","DIS",15,0.681
"89","MID",14,0.653
"90","M14",12,0.661
"91","M12",12,0.526
"92","M19",10,0.727
"93","M21",10,0.686
"94","CNS",9,0.649
"95","C19",8,0.647
"96","KHM",7,0.615
"97","BFZ",7,0.6
"98","THS",6,0.605
"99","FRF",4,0.583
"100","BBD",4,0.5
"101","KTK",3,0.6
"102","PTK",2,0.889
"103","ORI",2,0.75
"104","C21",2,0.615
"105","DTK",2,0.583
"106","KLD",2,0.643
"107","ARN",2,0.667
"108","RNA",2,0.5
"109","AKH",1,0.667
