"","SetName","Winrate","Presence"
"1","LEA",NA,0
"2","ONS",NA,0
"3","ELD",NA,0
"4","MH1",NA,0
"5","DRK",NA,0
"6","CSP",NA,0
"7","GPT",NA,0
"8","KTK",NA,0
"9","ZEN",NA,0
"10","DIS",NA,0
"11","AKH",NA,0
"12","JUD",NA,0
"13","RAV",NA,0
"14","WWK",NA,0
"15","ODY",NA,0
"16","THB",NA,0
"17","ROE",NA,0
"18","RNA",NA,0
"19","NPH",NA,0
"20","IKO",NA,0
"21","WAR",NA,0
"22","M20",NA,0
"23","TSP",NA,0
"24","AVR",NA,0
"25","ZNR",NA,0
"26","SHM",NA,0
"27","KHM",NA,0
"28","BFZ",NA,0
"29","DTK",NA,0
"30","KLD",NA,0
"31","M15",NA,0
"32","LRW",NA,0
"33","AER",NA,0
"34","ALL",NA,0
"35","INV",NA,0
"36","CHK",NA,0
"37","ISD",NA,0
"38","SOM",NA,0
"39","ATQ",NA,0
"40","5DN",NA,0
"41","EMN",NA,0
"42","M11",NA,0
"43","FUT",NA,0
"44","CON",NA,0
"45","ARB",NA,0
"46","M21",NA,0
"47","RTR",NA,0
"48","MOR",NA,0
"49","SOI",NA,0
"50","ICE",NA,0
"51","STH",NA,0
"52","ULG",NA,0
"53","JOU",NA,0
"54","OGW",NA,0
"55","STX",NA,0
"56","GRN",NA,0
"57","MBS",NA,0
"58","WTH",NA,0
"59","PLS",NA,0
"60","GTC",NA,0
"61","LEG",NA,0
"62","M10",NA,0
"63","HOU",NA,0
"64","MRD",NA,0
"65","FRF",NA,0
"66","EVE",NA,0
"67","DST",NA,0
"68","NEM",NA,0
"69","TMP",NA,0
"70","XLN",NA,0
"71","ORI",NA,0
"72","M14",NA,0
"73","ALA",NA,0
"74","CMD",NA,0
"75","DKA",NA,0
"76","PLC",NA,0
"77","DOM",NA,0
"78","ARN",NA,0
"79","THS",NA,0
"80","M13",NA,0
"81","SOK",NA,0
"82","M12",NA,0
"83","MIR",NA,0
"84","P02",NA,0
"85","TOR",NA,0
"86","M19",NA,0
"87","DGM",NA,0
"88","APC",NA,0
"89","BNG",NA,0
"90","HML",NA,0
