"","PLAYERS","NO_APPEARANCES","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","TOTAL_POINTS","ARCHETYPE_NAMES","ARCHETYPE_COUNT","URL"
"1","Oscar_Franco",3,27,0.777777777777778,0.577416939955621,0.913783060052433,63,"Azorius Control","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#oscar_franco_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#oscar_franco_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#oscar_franco_th_place"
"2","Heibing",3,24,0.708333333333333,0.489052186142167,0.873847911476309,51,"Living End","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#heibing_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#heibing_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#heibing_th_place"
"3","moksha",4,23,0.739130434782609,0.515948029597562,0.897713866084642,51,"BTL Scapeshift; Slivers","3; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#moksha_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#moksha_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-18#moksha_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-25#moksha_-"
"4","Laplasjan",3,27,0.62962962962963,0.423679572504296,0.805992841284865,51,"Hammer Time","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#laplasjan_st_place; "
"5","xfile",4,25,0.68,0.464999282502628,0.85050457738643,51,"Burn","4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#xfile_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#xfile_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-23#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-26#xfile_-"
"6","_titoWii_96",3,20,0.8,0.563385997003332,0.942666002949967,48,"Blue Scapeshift; Polymorph; Titan Shift","1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#_titowii__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#_titowii__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-27#_titowii__-"
"7","Lollopollo2001",3,23,0.652173913043478,0.427343963036494,0.83623640162505,45,"Bogles","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#lollopollo_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#lollopollo_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#lollopollo_th_place"
"8","katoriarch123",3,24,0.625,0.405936384007944,0.812007071803998,45,"Esper Control","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#katoriarch_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#katoriarch_th_place; "
"9","paucr5",2,19,0.736842105263158,0.487970654654127,0.908534215092333,42,"Heliod Combo; Shadow Prowess","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#paucr_nd_place; "
"10","Mateusf34",3,23,0.608695652173913,0.38541895738885,0.802923576030986,42,"Eldrazi Tron","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#mateusf_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#mateusf_th_place; "
"11","toondoslav",3,19,0.736842105263158,0.487970654654127,0.908534215092333,42,"Infect","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#toondoslav_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#toondoslav_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-26#toondoslav_-"
"12","Xwhale",3,17,0.823529411764706,0.565682127155716,0.962014931929374,42,"Eldrazi Tron","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-19#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-26#xwhale_-; "
"13","mchlpp",2,18,0.722222222222222,0.465198034416944,0.903050787474441,39,"Shadow Prowess","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#mchlpp_rd_place; "
"14","adebevoise",2,17,0.705882352941177,0.440417281245663,0.89686448562968,36,"Humans; Izzet Prowess","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#adebevoise_rd_place; "
"15","remf",2,16,0.75,0.476229180103872,0.927337961747118,36,"Spirits","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#remf_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#remf_th_place"
"16","JustBurn420",3,15,0.8,0.519108866193147,0.956687994894163,36,"Slivers","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#justburn_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-24#justburn_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-25#justburn_-"
"17","idutra",2,16,0.6875,0.413379363548641,0.889830045282883,33,"Mill","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#idutra_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#idutra_th_place"
"18","Samcaster-Mage",2,15,0.733333333333333,0.448996758963029,0.922128453708956,33,"Eldrazi Tron","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#samcaster-mage_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#samcaster-mage_th_place"
"19","pedrogush",3,24,0.458333333333333,0.255530201994746,0.671791924304822,33,"Hammer Time","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#pedrogush_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#pedrogush_th_place; "
"20","kolbej",2,17,0.647058823529412,0.383283663443403,0.857902516889779,33,"Titan Shift; Heliod Combo","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#kolbej_th_place; "
"21","ArchaeusDota",2,15,0.733333333333333,0.448996758963029,0.922128453708956,33,"Jund Midrange; Thopter Urza","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#archaeusdota_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#archaeusdota_th_place"
"22","JUJUBEAN__2004",2,20,0.5,0.271957849560792,0.728042150439208,30,"Heliod Combo","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#jujubean___nd_place; "
"23","scipios",2,14,0.714285714285714,0.418964742816338,0.916110681692872,30,"Dredge; Boros Prowess","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#scipios_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#scipios_nd_place"
"24","zecarlonxo",2,16,0.625,0.354346094302078,0.848016324918878,30,"Izzet Prowess","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#zecarlonxo_th_place; "
"25","MaxMagicer",2,15,0.666666666666667,0.383803732541154,0.881758896633119,30,"Green Tron","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#maxmagicer_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#maxmagicer_th_place"
"26","penips",3,12,0.833333333333333,0.515862251314033,0.979137474539908,30,"Mono White Taxes","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-18#penips_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-19#penips_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-24#penips_-"
"27","solaec0501",2,13,0.769230769230769,0.461868460765959,0.949618926508848,30,"Hammer Time","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-20#solaec_-; "
"28","MrRaeb",1,10,0.9,0.554983882971805,0.997471421455538,27,"Heliod Combo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#mrraeb_st_place"
"29","Rosencrantz_920",1,11,0.818181818181818,0.482244147639827,0.97716880170004,27,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#rosencrantz__st_place"
"30","Golgarburr",1,10,0.9,0.554983882971805,0.997471421455538,27,"Jund Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#golgarburr_rd_place"
"31","Moniz0801",2,12,0.75,0.428141538121811,0.945139355472007,27,"Amulet Titan","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#moniz_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-25#moniz_-"
"32","iDaveW",3,12,0.75,0.428141538121811,0.945139355472007,27,"5 Color Turbo Tibalt; Jund Midrange; Elves","1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-16#idavew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-17#idavew_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-20#idavew_-"
"33","musasabi",1,9,1,0.663732883120057,1,27,"Mardu Midrange","1",""
"34","fingers1991",1,10,0.8,0.443904537692359,0.974789273673167,24,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#fingers_rd_place"
"35","quinniac",1,9,0.888888888888889,0.517503485082663,0.997190863253401,24,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#quinniac_th_place"
"36","kthanakit26",2,16,0.5,0.246510111490575,0.753489888509425,24,"Izzet Prowess","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#kthanakit_st_place; "
"37","Sanitoeter",1,11,0.727272727272727,0.390257440427579,0.939782265827093,24,"Jund Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#sanitoeter_nd_place"
"38","Meltiin",2,12,0.666666666666667,0.348875506418814,0.900753908850417,24,"BTL Scapeshift; Titan Shift","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#meltiin_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-16#meltiin_-"
"39","BERNASTORRES",1,10,0.8,0.443904537692359,0.974789273673167,24,"Mill","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#bernastorres_nd_place"
"40","ZYURYO",1,9,0.888888888888889,0.517503485082663,0.997190863253401,24,"Azorius Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#zyuryo_rd_place"
"41","hcook725",2,11,0.727272727272727,0.390257440427579,0.939782265827093,24,"Shadow Prowess","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#hcook_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-25#hcook_-"
"42","joker10289",2,16,0.5,0.246510111490575,0.753489888509425,24,"Mill; Azorius Control","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#joker_th_place; "
"43","Karatedom",1,9,0.888888888888889,0.517503485082663,0.997190863253401,24,"Izzet Prowess","1",""
"44","spiderspace",1,9,0.888888888888889,0.517503485082663,0.997190863253401,24,"Mono White Taxes","1",""
"45","powery",1,9,0.888888888888889,0.517503485082663,0.997190863253401,24,"Heliod Combo","1",""
"46","Phill_Hellmuth",1,9,0.888888888888889,0.517503485082663,0.997190863253401,24,"Shadow Prowess","1",""
"47","SickWorld",1,10,0.7,0.347547149940003,0.933260488822266,21,"Obosh Aggro","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#sickworld_th_place"
"48","AstralPlane",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#astralplane_th_place"
"49","NAKISHIMA",2,16,0.4375,0.197534140532668,0.701223100916823,21,"Oops All Spells","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#nakishima_rd_place; "
"50","Giaws",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#giaws_th_place"
"51","albert62",2,16,0.4375,0.197534140532668,0.701223100916823,21,"WURG Control","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#albert_th_place; "
"52","Shadowz2005",2,8,0.875,0.473490329124793,0.996840276468748,21,"Stoneblade; Heliod Combo","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-18#shadowz_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-26#shadowz_-"
"53","bcs8995",2,13,0.538461538461538,0.251345482270304,0.807767558198712,21,"Titan Shift; Eldrazi Tron","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-18#bcs_-; "
"54","pokerswizard",2,8,0.875,0.473490329124793,0.996840276468748,21,"Shadow Prowess","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-25#pokerswizard_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-26#pokerswizard_-"
"55","_Shatun_",2,13,0.538461538461538,0.251345482270304,0.807767558198712,21,"Obosh Aggro","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-27#_shatun__-; "
"56","Promidnightz",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"WURG Midrange","1",""
"57","Elfkid",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Mill","1",""
"58","CitrusD",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Yawgmoth","1",""
"59","coert",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Heliod Combo","1",""
"60","schnda",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Azorius Control","1",""
"61","noesmitipo",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Green Tron","1",""
"62","darius89",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Gruul Midrange","1",""
"63","mrichi",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Azorius Control","1",""
"64","CordoTwin",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Shadow Prowess","1",""
"65","FreedMania",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Amulet Titan","1",""
"66","Game_Night",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Heliod Combo","1",""
"67","Jiobimbo",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Azorius Taxes","1",""
"68","Meumeunome",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Heliod Combo","1",""
"69","golphinus",1,8,0.75,0.349144205587176,0.968145973750056,18,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#golphinus_th_place"
"70","benchsummer",1,8,0.75,0.349144205587176,0.968145973750056,18,"UBRG Shadow","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#benchsummer_th_place"
"71","Usama96",1,8,0.75,0.349144205587176,0.968145973750056,18,"Dredge","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#usama_th_place"
"72","Lord_of_Puntlantis",1,8,0.75,0.349144205587176,0.968145973750056,18,"Yawgmoth","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#lord_of_puntlantis_th_place"
"73","joetru",1,8,0.75,0.349144205587176,0.968145973750056,18,"Oops All Spells","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#joetru_th_place"
"74","HouseOfManaMTG",2,17,0.352941176470588,0.142097483110221,0.616716336556597,18,"Dredge; Amulet Titan","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#houseofmanamtg_th_place; "
"75","LORiWWA",1,8,0.75,0.349144205587176,0.968145973750056,18,"Eldrazi Tron","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#loriwwa_th_place"
"76","MentalMisstep",1,8,0.75,0.349144205587176,0.968145973750056,18,"Hammer Time","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#mentalmisstep_th_place"
"77","gazmon48",1,8,0.75,0.349144205587176,0.968145973750056,18,"Gruul Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#gazmon_th_place"
"78","Stompy45",1,8,0.75,0.349144205587176,0.968145973750056,18,"Heliod Combo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#stompy_th_place"
"79","bamzing",1,8,0.75,0.349144205587176,0.968145973750056,18,"BTL Scapeshift","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#bamzing_st_place"
"80","Genxim",1,8,0.75,0.349144205587176,0.968145973750056,18,"Green Tron","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#genxim_nd_place"
"81","unagieel",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#unagieel_th_place"
"82","Xerk",1,8,0.75,0.349144205587176,0.968145973750056,18,"Dredge","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#xerk_th_place"
"83","Benkill",1,8,0.75,0.349144205587176,0.968145973750056,18,"Spirits","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#benkill_th_place"
"84","Pmizz",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Hammer Time","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#pmizz_th_place"
"85","daibloXSC",2,17,0.352941176470588,0.142097483110221,0.616716336556597,18,"Grixis Shadow; Grinding Breach","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#daibloxsc_th_place; "
