"","SetCode","NoCopies","Winrate"
"1","MH2",3731,0.715
"2","LEA",1991,0.717
"3","MH1",1676,0.718
"4","ZEN",1391,0.716
"5","ONS",1017,0.713
"6","ELD",716,0.72
"7","GPT",639,0.718
"8","LRW",615,0.708
"9","KLD",595,0.717
"10","5DN",594,0.721
"11","SOM",573,0.716
"12","WWK",573,0.719
"13","CSP",520,0.722
"14","M20",488,0.717
"15","THB",435,0.719
"16","DIS",423,0.71
"17","FUT",423,0.704
"18","STX",412,0.716
"19","NPH",407,0.717
"20","RAV",376,0.704
"21","WAR",346,0.71
"22","ROE",340,0.698
"23","ZNR",336,0.7
"24","IKO",335,0.721
"25","ATQ",334,0.719
"26","ICE",327,0.706
"27","MRD",314,0.71
"28","ARB",280,0.723
"29","AER",280,0.711
"30","DKA",255,0.717
"31","SHM",250,0.703
"32","DRK",245,0.727
"33","EMN",241,0.728
"34","CON",238,0.708
"35","HOU",233,0.72
"36","MBS",230,0.719
"37","TSP",229,0.705
"38","OGW",226,0.712
"39","AKH",209,0.72
"40","ISD",184,0.71
"41","PC2",180,0.734
"42","DTK",175,0.712
"43","SOK",167,0.715
"44","M21",153,0.71
"45","KTK",150,0.701
"46","DST",137,0.69
"47","AVR",124,0.696
"48","APC",115,0.732
"49","PLS",115,0.716
"50","NEM",110,0.731
"51","XLN",105,0.702
"52","RTR",103,0.709
"53","M11",102,0.71
"54","ALA",101,0.711
"55","DGM",98,0.708
"56","CHK",92,0.686
"57","JUD",90,0.711
"58","AFR",80,0.733
"59","CMD",78,0.721
"60","M12",77,0.71
"61","PLC",70,0.723
"62","BFZ",62,0.708
"63","TMP",61,0.726
"64","SOI",59,0.713
"65","INV",56,0.664
"66","DOM",53,0.7
"67","RNA",51,0.68
"68","EVE",47,0.693
"69","STH",46,0.697
"70","THS",41,0.737
"71","MOR",40,0.702
"72","M10",40,0.697
"73","P02",39,0.691
"74","PTK",39,0.674
"75","ULG",37,0.719
"76","GRN",36,0.667
"77","WTH",34,0.682
"78","KHM",29,0.71
"79","M15",23,0.715
"80","JOU",23,0.658
"81","CN2",22,0.682
"82","FRF",20,0.671
"83","ORI",15,0.736
"84","GTC",14,0.595
"85","MIR",12,0.756
"86","ODY",11,0.652
"87","ALL",11,0.706
"88","ARN",10,0.667
"89","LEG",8,0.769
"90","BOK",7,0.732
"91","M13",5,0.667
"92","TOR",4,0.765
"93","C14",4,0.625
"94","SCG",4,0.625
"95","BNG",2,0.667
