"","SetCode","NoCopies","Winrate"
"1","ELD",2103,0.694
"2","LEA",1339,0.685
"3","AFR",1316,0.698
"4","MID",1316,0.684
"5","ZNR",1273,0.682
"6","WAR",952,0.688
"7","NEO",880,0.691
"8","KHM",818,0.686
"9","VOW",797,0.702
"10","IKO",769,0.685
"11","AER",765,0.707
"12","KLD",756,0.696
"13","M20",724,0.696
"14","THS",723,0.704
"15","STX",682,0.684
"16","KTK",635,0.699
"17","RAV",581,0.684
"18","THB",560,0.701
"19","SOI",547,0.698
"20","RTR",528,0.66
"21","LRW",521,0.713
"22","AKH",495,0.691
"23","GPT",470,0.693
"24","DIS",416,0.68
"25","GRN",407,0.691
"26","XLN",296,0.674
"27","APC",275,0.718
"28","DOM",274,0.67
"29","M10",269,0.662
"30","INV",262,0.677
"31","M21",262,0.711
"32","RIX",232,0.73
"33","GTC",221,0.716
"34","DTK",206,0.691
"35","MOR",198,0.697
"36","ORI",189,0.694
"37","DGM",178,0.685
"38","OGW",169,0.707
"39","FRF",164,0.715
"40","RNA",152,0.713
"41","M14",144,0.668
"42","TSP",136,0.702
"43","JOU",133,0.658
"44","DKA",131,0.688
"45","EMN",120,0.662
"46","HOU",116,0.675
"47","MRD",104,0.718
"48","M15",101,0.712
"49","ISD",101,0.674
"50","USG",97,0.728
"51","ATQ",92,0.705
"52","BFZ",91,0.669
"53","DST",90,0.707
"54","M19",88,0.691
"55","PLC",48,0.73
"56","ICE",43,0.654
"57","CMD",38,0.647
"58","M11",38,0.729
"59","BNG",28,0.654
"60","C14",24,0.685
"61","M13",17,0.743
"62","TOR",15,0.714
"63","PTK",5,0.545
"64","ZEN",4,0.632
"65","FUT",4,0.5
"66","WWK",1,0.75
