"","SetName","Winrate","Presence"
"1","RTR",NA,0
"2","CN2",NA,0
"3","ELD",NA,0
"4","LEA",NA,0
"5","ATQ",NA,0
"6","TMP",NA,0
"7","ALL",NA,0
"8","ZEN",NA,0
"9","NPH",NA,0
"10","LRW",NA,0
"11","ICE",NA,0
"12","CMD",NA,0
"13","LEG",NA,0
"14","FUT",NA,0
"15","M11",NA,0
"16","MH1",NA,0
"17","MMQ",NA,0
"18","WAR",NA,0
"19","NEM",NA,0
"20","ONS",NA,0
"21","KTK",NA,0
"22","MIR",NA,0
"23","PHPR",NA,0
"24","MRD",NA,0
"25","USG",NA,0
"26","HML",NA,0
"27","VIS",NA,0
"28","AER",NA,0
"29","LEB",NA,0
"30","DST",NA,0
"31","WWK",NA,0
"32","EXO",NA,0
"33","CNS",NA,0
"34","MBS",NA,0
"35","CMR",NA,0
"36","M20",NA,0
"37","RNA",NA,0
"38","FRF",NA,0
"39","DOM",NA,0
"40","ORI",NA,0
"41","KLD",NA,0
"42","THB",NA,0
"43","XLN",NA,0
"44","GPT",NA,0
"45","ULG",NA,0
"46","CHK",NA,0
"47","SOM",NA,0
"48","WTH",NA,0
"49","ISD",NA,0
"50","HOU",NA,0
"51","ARN",NA,0
"52","DKA",NA,0
"53","5DN",NA,0
"54","CSP",NA,0
"55","GTC",NA,0
"56","PLC",NA,0
"57","DIS",NA,0
"58","AVR",NA,0
"59","GRN",NA,0
"60","TOR",NA,0
"61","RAV",NA,0
"62","SOI",NA,0
"63","SCG",NA,0
"64","ODY",NA,0
"65","ALA",NA,0
"66","M19",NA,0
"67","ROE",NA,0
"68","ZNR",NA,0
"69","BNG",NA,0
"70","CON",NA,0
"71","JUD",NA,0
"72","STX",NA,0
"73","C14",NA,0
"74","EMN",NA,0
"75","SOK",NA,0
"76","LGN",NA,0
"77","OGW",NA,0
"78","APC",NA,0
"79","IKO",NA,0
"80","KHM",NA,0
"81","M14",NA,0
"82","BOK",NA,0
