"","SetCode","NoCopies","Winrate"
"1","LEA",35014,0.631
"2","ICE",20132,0.636
"3","MRD",16334,0.625
"4","ROE",8361,0.632
"5","MH2",7134,0.619
"6","TSP",7101,0.632
"7","LRW",7074,0.639
"8","MH1",6920,0.64
"9","ATQ",5573,0.643
"10","DST",5042,0.626
"11","M11",4583,0.639
"12","WWK",4464,0.631
"13","MMQ",4183,0.633
"14","DOM",4163,0.633
"15","USG",4089,0.631
"16","SOM",3959,0.624
"17","KHM",3562,0.632
"18","VIS",3430,0.621
"19","M13",3293,0.642
"20","DKA",3286,0.636
"21","BOK",3213,0.644
"22","MBS",3130,0.63
"23","C16",3110,0.639
"24","JUD",3014,0.632
"25","CMR",2902,0.631
"26","TOR",2768,0.632
"27","XLN",2621,0.635
"28","IKO",2544,0.634
"29","NPH",2358,0.614
"30","INV",2352,0.633
"31","KTK",2349,0.652
"32","ONS",2161,0.616
"33","ULG",2128,0.638
"34","SHM",2124,0.614
"35","ZEN",2087,0.626
"36","STX",2087,0.622
"37","ISD",2079,0.629
"38","CSP",1986,0.63
"39","CN2",1971,0.631
"40","C20",1892,0.642
"41","RAV",1859,0.643
"42","GPT",1849,0.613
"43","RTR",1788,0.629
"44","DIS",1734,0.638
"45","FRF",1604,0.631
"46","ALA",1564,0.638
"47","AFR",1433,0.627
"48","ZNR",1414,0.62
"49","ALL",1396,0.64
"50","JMP",1338,0.642
"51","DRK",1277,0.619
"52","SOI",1272,0.637
"53","HOU",1235,0.639
"54","M12",1206,0.644
"55","TMP",1192,0.629
"56","SCG",1139,0.629
"57","ODY",1134,0.648
"58","AVR",1128,0.646
"59","5DN",1114,0.623
"60","EVE",1099,0.626
"61","STH",1072,0.627
"62","RNA",1066,0.611
"63","MOR",1034,0.635
"64","ELD",1013,0.616
"65","AKH",941,0.613
"66","M10",876,0.619
"67","CHK",874,0.612
"68","GTC",861,0.635
"69","LEG",808,0.61
"70","PLC",791,0.61
"71","M21",785,0.612
"72","OGW",747,0.64
"73","LGN",713,0.612
"74","EMN",675,0.6
"75","KLD",673,0.605
"76","VOW",647,0.637
"77","APC",548,0.628
"78","THB",505,0.61
"79","FUT",500,0.634
"80","CON",437,0.616
"81","ORI",430,0.644
"82","M15",361,0.622
"83","M14",305,0.618
"84","MID",300,0.604
"85","THS",279,0.586
"86","MIR",224,0.616
"87","PLS",223,0.637
"88","ARB",201,0.622
"89","BFZ",198,0.637
"90","JOU",189,0.59
"91","NEM",184,0.616
"92","HML",181,0.604
"93","BNG",164,0.602
"94","P02",157,0.622
"95","ARN",133,0.577
"96","WAR",130,0.63
"97","SOK",98,0.632
"98","RIX",94,0.604
"99","DTK",90,0.615
"100","FEM",85,0.605
"101","PCY",84,0.636
"102","WTH",66,0.594
"103","EXO",66,0.563
"104","CNS",55,0.61
"105","GRN",43,0.579
"106","M19",36,0.585
"107","AER",30,0.547
"108","M20",27,0.615
"109","DGM",16,0.542
"110","UDS",15,0.525
