"","CardNames","DeckCount","WinrateAverage"
"1","Ash Barrens",1286,63.9
"2","Counterspell",1041,64.2
"3","Dispel",1011,63.2
"4","Preordain",979,63.9
"5","Prophetic Prism",852,63.4
"6","Lightning Bolt",835,63.1
"7","Chromatic Star",815,62.8
"8","Cast Down",805,63.4
"9","Brainstorm",800,64
"10","Augur of Bolas",784,64.2
"11","Swamp",770,62.8
"12","Spellstutter Sprite",765,64.5
"13","Ninja of the Deep Hours",764,64.5
"14","Snow-Covered Island",758,64.1
"15","Faerie Seer",754,64.5
"16","Galvanic Blast",733,62.3
"17","Island",693,64.2
"18","Great Furnace",691,62.6
"19","Thorn of the Black Rose",659,62.8
"20","Mountain",632,62.1
"21","Darksteel Citadel",614,62.7
"22","Evolving Wilds",612,63.6
"23","Myr Enforcer",606,62.7
"24","Forest",600,61.9
"25","Atog",600,62.7
"26","Fling",590,62.7
"27","Seat of the Synod",585,62.2
"28","Snuff Out",567,63.7
"29","Ichor Wellspring",567,63
"30","Thoughtcast",566,62
"31","Silverbluff Bridge",549,61.8
"32","Gurmag Angler",545,63.9
"33","Plains",536,62.9
"34","Bonder's Ornament",517,63.8
"35","Echoing Decay",484,63.4
"36","Mulldrifter",470,64.1
"37","Ice Tunnel",463,63.7
"38","Abrade",462,64.8
"39","Mistvault Bridge",454,63
"40","Vault of Whispers",449,63.8
"41","Snow-Covered Mountain",386,63.4
"42","Disciple of the Vault",378,63.8
"43","Ephemerate",375,64.7
"44","Makeshift Munitions",371,64.2
"45","Cave of Temptation",366,64.7
"46","Drossforge Bridge",356,63.5
"47","Faithless Looting",354,64.6
"48","Ponder",352,64.9
"49","Deadly Dispute",351,63.8
"50","Bojuka Bog",349,63.1
