"","SetCode","NoCopies","Winrate"
"1","MH2",4347,0.705
"2","LEA",1969,0.709
"3","ZEN",1770,0.708
"4","MH1",1377,0.708
"5","ONS",1230,0.713
"6","NEO",858,0.705
"7","GPT",640,0.717
"8","ELD",612,0.707
"9","SNC",539,0.716
"10","KLD",511,0.7
"11","STX",476,0.718
"12","LRW",446,0.69
"13","DIS",442,0.71
"14","CSP",429,0.707
"15","RAV",422,0.701
"16","MID",366,0.715
"17","5DN",359,0.699
"18","WWK",354,0.713
"19","WAR",346,0.716
"20","M20",344,0.697
"21","THB",336,0.7
"22","FUT",312,0.698
"23","IKO",311,0.718
"24","SOM",307,0.695
"25","NPH",298,0.693
"26","DMU",273,0.728
"27","MRD",273,0.704
"28","ICE",265,0.698
"29","DKA",252,0.678
"30","AER",250,0.704
"31","DRK",243,0.705
"32","EMN",242,0.682
"33","CMD",238,0.714
"34","BRO",235,0.684
"35","ATQ",232,0.677
"36","ZNR",206,0.688
"37","TSP",204,0.714
"38","ARB",198,0.729
"39","AFR",175,0.702
"40","M21",153,0.705
"41","VOW",148,0.695
"42","APC",140,0.726
"43","KTK",135,0.707
"44","ORI",130,0.728
"45","PC2",128,0.722
"46","MBS",127,0.685
"47","PLC",126,0.677
"48","AVR",125,0.692
"49","PLS",123,0.712
"50","ALA",120,0.683
"51","M11",117,0.687
"52","DGM",117,0.703
"53","RTR",113,0.728
"54","HOU",111,0.704
"55","RNA",110,0.689
"56","MIR",98,0.673
"57","KHM",96,0.713
"58","DST",94,0.691
"59","SOK",90,0.689
"60","ROE",88,0.71
"61","AKH",83,0.69
"62","M19",82,0.715
"63","CHK",81,0.692
"64","SHM",76,0.716
"65","CON",71,0.693
"66","DOM",69,0.718
"67","DTK",65,0.715
"68","INV",61,0.702
"69","BFZ",58,0.703
"70","EVE",50,0.675
"71","STH",46,0.692
"72","GTC",46,0.674
"73","SOI",46,0.705
"74","OGW",42,0.708
"75","MOR",41,0.738
"76","XLN",37,0.667
"77","JOU",36,0.7
"78","M13",35,0.761
"79","GRN",32,0.717
"80","M12",29,0.699
"81","ISD",23,0.732
"82","JUD",22,0.679
"83","FRF",20,0.7
"84","ARN",12,0.708
"85","M10",9,0.725
"86","M15",8,0.698
"87","TMP",7,0.696
"88","BOK",6,0.72
"89","LEG",4,0.733
"90","P02",4,0.75
"91","WTH",3,0.9
"92","ODY",2,0.714
"93","S99",1,0.778
