"","ARCHETYPES","NB_COPIES","NB_PLAYERS","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","MATCHES_PER_PLAYER","WINRATE_ARCH_OUT_PLAYERS"
"1","Jund Shadow",9,7,73,0.726027397260274,0.609058639562123,0.823940797837445,10.4285714285714,1.10049773308015
"2","Gifts Storm",9,3,65,0.707692307692308,0.581741324161224,0.813971048163201,21.6666666666667,1.04519843214111
"3","Green Tron",34,29,271,0.708487084870849,0.65045509151372,0.76189326863541,9.3448275862069,1.01628660959653
"4","Jund Midrange",25,17,193,0.699481865284974,0.629486746766939,0.763231153704635,11.3529411764706,1.02138362021537
"5","Ad Nauseam",17,12,146,0.726027397260274,0.646134905585481,0.796506964072931,12.1666666666667,1.00543707513987
"6","Azorius Control",16,15,140,0.721428571428571,0.639416596731401,0.793819590150779,9.33333333333333,1.00922372083581
"7","Bant Control",22,20,184,0.695652173913043,0.623671587568893,0.761203290591815,9.2,0.973546271883457
"8","Temur Control",17,15,148,0.756756756756757,0.679493226647664,0.823451896341198,9.86666666666667,1.03538396265464
"9","Gruul Midrange",37,30,283,0.699646643109541,0.642575302868222,0.752480429749164,9.43333333333333,1.00150687688838
"10","Mono Red Prowess",6,5,45,0.644444444444444,0.487801005148146,0.781315989264414,9,1.03630294195879
"11","Sultai Control",19,14,159,0.748427672955975,0.673565970904342,0.813789654302235,11.3571428571429,1.01429340239826
"12","Goblins",11,10,93,0.698924731182796,0.595023341206401,0.789740647327674,9.3,1.01797990481227
"13","Titan Shift",2,2,14,0.642857142857143,0.351380110615992,0.872401570140841,7,1.02857142857143
"14","Devoted",11,7,89,0.662921348314607,0.554922711472133,0.759734846221913,12.7142857142857,1.00255191120409
"15","Eldrazi Tron",31,23,246,0.735772357723577,0.676004433698141,0.789761167362225,10.695652173913,1.02546233021683
"16","Izzet Prowess",51,42,405,0.701234567901235,0.654065581903418,0.745434002148755,9.64285714285714,0.999300030528715
"17","Burn",27,19,216,0.694444444444444,0.628325851010171,0.755134236305531,11.3684210526316,0.996463942774699
"18","Mono White Taxes",3,3,25,0.72,0.506123178193745,0.879283311495933,8.33333333333333,0.983371880706026
"19","Boros Prowess",4,4,33,0.666666666666667,0.481732527512418,0.82039486506744,8.25,0.997638167217761
"20","Humans",17,13,132,0.712121212121212,0.626907679663897,0.787555034646352,10.1538461538462,1.0088281307593
"21","UBRG Shadow",4,4,32,0.71875,0.532528900357065,0.862543096704498,8,1.00124378109453
"22","Amulet Titan",17,11,132,0.712121212121212,0.626907679663897,0.787555034646352,12,0.992194550781421
"23","Gruul Prowess",1,1,11,0.818181818181818,0.482244147639827,0.97716880170004,11,1
"24","Electro Balance",3,2,24,0.75,0.532887197577331,0.902269590525467,12,0.990566037735849
"25","Scapeshift",7,7,59,0.711864406779661,0.579230188695647,0.822351783950181,8.42857142857143,1.02266374587452
"26","Grixis Shadow",15,12,126,0.746031746031746,0.660793154401807,0.819349872088843,10.5,0.985525500828326
"27","Dredge",16,14,123,0.650406504065041,0.559232688350194,0.734151399357043,8.78571428571429,1.0491423558229
"28","Hardened Scales",3,3,25,0.64,0.425206349553849,0.820283179416345,8.33333333333333,1.01242937853107
"29","Tokens",1,1,10,0.7,0.347547149940003,0.933260488822266,10,1
"30","Rakdos Prowess",28,23,215,0.702325581395349,0.636381507628938,0.762592211787853,9.34782608695652,1.01331968405276
"31","Crabvine",6,4,48,0.6875,0.537486421894564,0.813403716903988,12,0.988097452110843
"32","Saheeli Combo",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,0.952380952380952
"33","Hammer Time",3,1,19,0.631578947368421,0.383577923314405,0.8371141278449,19,1
"34","Izzet Control",2,2,13,0.615384615384615,0.315777602914063,0.861420661109839,6.5,0.994082840236686
"35","Dimir Control",2,1,15,0.666666666666667,0.383803732541154,0.881758896633119,15,1
"36","Mardu Prowess",6,5,53,0.754716981132076,0.617175341773127,0.862448824447684,10.6,0.992881453624092
"37","Taking Turns",1,1,9,0.666666666666667,0.29929505620854,0.925145368580308,9,1
"38","Bant Blink",3,2,25,0.76,0.548711982183314,0.906435560668257,12.5,1.02
"39","Niv To Light",5,5,34,0.647058823529412,0.464886370891042,0.802541352087658,6.8,1.00134379470285
"40","Elementals",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1
"41","Infect",3,3,22,0.636363636363636,0.406576668825647,0.828020562353668,7.33333333333333,1.00857632933105
"42","Neobrand",5,3,33,0.666666666666667,0.481732527512418,0.82039486506744,11,1.01111111111111
"43","Yawgmoth",5,3,38,0.710526315789474,0.540967933075708,0.84575371321209,12.6666666666667,0.9688995215311
"44","Bogles",4,4,32,0.65625,0.468068963719731,0.814280908283434,8,0.977634534622522
"45","Reclaimer Titan",10,8,84,0.702380952380952,0.592723646087301,0.797270818207111,10.5,0.999459835014468
"46","Orzhov Taxes",1,1,9,0.777777777777778,0.399906426283688,0.971855026522102,9,1
"47","Merfolk",4,3,35,0.742857142857143,0.567441150305962,0.875106028083238,11.6666666666667,1.01555153707052
"48","Soulflayer",1,1,9,0.666666666666667,0.29929505620854,0.925145368580308,9,1
"49","Kiki Chord",3,1,23,0.652173913043478,0.427343963036494,0.83623640162505,23,1
"50","Mill",4,3,26,0.653846153846154,0.44332807395761,0.827855861994334,8.66666666666667,0.997392438070404
"51","Slivers",2,2,11,0.636363636363636,0.307904715011677,0.890736556180902,5.5,1.00478468899522
"52","Faeries",1,1,5,0.6,0.146632799634673,0.947255049473683,5,1
"53","Golgari Midrange",1,1,9,0.777777777777778,0.399906426283688,0.971855026522102,9,1
"54","Blue Tron",3,1,22,0.681818181818182,0.45127557242623,0.861353478446202,22,1
"55","Ascendancy Combo",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,0.86734693877551
"56","Azorius Midrange",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,1
"57","Heliod Combo",2,2,13,0.538461538461538,0.251345482270304,0.807767558198712,6.5,0.957264957264957
"58","Uroza",4,3,34,0.735294117647059,0.556384631694893,0.871182608416492,11.3333333333333,1.03308326159144
"59","Obosh Aggro",8,7,64,0.765625,0.643065889603734,0.862484521559404,9.14285714285714,1.03358176505374
"60","Bant Midrange",2,2,15,0.8,0.519108866193147,0.956687994894163,7.5,1.00674157303371
"61","Rakdos Midrange",1,1,6,0.666666666666667,0.222778095503512,0.956728131707258,6,1
"62","Valakut Field",1,1,6,0.666666666666667,0.222778095503512,0.956728131707258,6,1
"63","Sunforger Toolbox",1,1,6,0.666666666666667,0.222778095503512,0.956728131707258,6,1
"64","Naya Midrange",1,1,8,0.625,0.244863216366552,0.914766585862746,8,0.922619047619048
