"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Grixis Affinity - Dimir Faeries - Boros Monarch - Izzet Faeries - Bogles - Boros Bully / Flashback - Black   Burn - Mono Red Kiln   Fiend - Azorius Familiars,Black   Control - Tireless   Tribe - Azorius Gates - Esper Familiars,Grixis Affinity - Izzet Faeries - Azorius Familiars - Mono Red Kiln   Fiend - Mono   Blue - Dimir Faeries - Rakdos Goblins - Boros Bully / Flashback,Grixis Affinity - Izzet Faeries - Dimir Faeries - Azorius Familiars - Boros Monarch - Boros Bully / Flashback - Mono Red Kiln   Fiend - Mono   Blue,Grixis Affinity - Izzet Faeries - Dimir Faeries - Azorius Familiars - Boros Monarch - Boros Bully / Flashback - Mono Red Kiln   Fiend - Mono   Blue
"Tiers 1.5",Burn - Rakdos Goblins - Mono   Blue - Mono Blue Faeries - Rakdos Affinity - Atog   Affinity - Boros Gates - Cycle   Storm - Fog,Mono   Blue - Izzet Faeries - Rakdos Goblins - Azorius Familiars - Grixis Affinity - Mono Red Kiln   Fiend - Orzhov Pestilence - Mono Black Devotion - Conflict(Grixis Affinity,Grixis Control) - Fog - Pinger   Storm - Boros Bully / Flashback - Rakdos Affinity - Dimir Faeries - Jeskai Ephemerate - Boros Monarch - Atog   Affinity - Serpentine   Curve - Boros Gates - Black   Burn,Boros Monarch - Black   Burn - Azorius Gates - Tireless   Tribe - Rakdos Affinity - Bogles - Fog - Mono Black Devotion - Atog   Affinity - Mono Blue Faeries - Burn - Boros Gates - Pinger   Storm - Cycle   Storm - Black   Control - Jeskai Ephemerate - Orzhov Pestilence,Rakdos Goblins - Black   Burn - Bogles - Rakdos Affinity - Azorius Gates - Tireless   Tribe - Burn - Atog   Affinity - Fog - Mono Black Devotion - Mono Blue Faeries - Boros Gates - Black   Control - Pinger   Storm,Rakdos Goblins - Black   Burn - Bogles - Rakdos Affinity - Azorius Gates - Tireless   Tribe - Burn - Atog   Affinity - Fog - Mono Black Devotion - Mono Blue Faeries - Boros Gates - Black   Control - Pinger   Storm
"Tiers 2",Temur Ramp - Mono Black Devotion - Mono Green Elves - Pinger   Storm - Jeskai Ephemerate - Azorius Gates - Gruul Ramp - Unknown - Mono   Green   Aggro - Tireless   Tribe - Ephemerate   Tron - Dimir Control - Tron - Mono Red Goblins - Orzhov Pestilence - Mardu Monarch - Esper Familiars,Jund Ramp - Ephemerate   Tron - Cycle   Storm - Mono Blue Faeries - Temur Ramp - Bogles - Unknown - Burn - Mono Red Goblins - Mardu Monarch - Mono   Green   Aggro - Tron - Gruul Ramp,Esper Familiars - Temur Ramp - Ephemerate   Tron - Unknown - Conflict(Grixis Affinity,Grixis Control) - Mono   Green   Aggro - Gruul Ramp - Mono Red Goblins - Tron - Mono Green Elves - Jund Ramp - Serpentine   Curve - Dimir Control - Mardu Monarch,Cycle   Storm - Jeskai Ephemerate - Esper Familiars - Orzhov Pestilence - Temur Ramp - Ephemerate   Tron - Unknown - Conflict(Grixis Affinity,Grixis Control) - Mono   Green   Aggro - Gruul Ramp - Mono Red Goblins - Tron - Jund Ramp - Serpentine   Curve - Mono Green Elves - Mardu Monarch - Dimir Control,Cycle   Storm - Jeskai Ephemerate - Esper Familiars - Orzhov Pestilence - Temur Ramp - Ephemerate   Tron - Unknown - Conflict(Grixis Affinity,Grixis Control) - Mono   Green   Aggro - Gruul Ramp - Mono Red Goblins - Tron - Jund Ramp - Serpentine   Curve - Mono Green Elves - Mardu Monarch - Dimir Control
"Tiers 2.5",Jund Ramp - Conflict(Grixis Affinity,Grixis Control) - Serpentine   Curve - Mono   White   Heroic - Simic Elves - Mono   White   Aggro - Walls   Combo - Black   Control,Dimir Control - Mono   White   Aggro - Mono Green Elves - Walls   Combo - Mono   White   Heroic - Simic Elves,Mono   White   Aggro - Walls   Combo - Mono   White   Heroic - Simic Elves,Mono   White   Aggro - Walls   Combo - Mono   White   Heroic - Simic Elves,Mono   White   Aggro - Walls   Combo - Mono   White   Heroic - Simic Elves
