"","SetCode","NoCopies","Winrate"
"1","LEA",3074,0.695
"2","MH2",2554,0.698
"3","TMP",1946,0.708
"4","ICE",1575,0.699
"5","CLB",1165,0.704
"6","ZEN",1027,0.698
"7","ONS",968,0.695
"8","MRD",963,0.712
"9","LRW",887,0.694
"10","MH1",766,0.697
"11","NEO",750,0.701
"12","ALL",736,0.701
"13","STX",685,0.708
"14","AVR",665,0.701
"15","ZNR",656,0.706
"16","ELD",621,0.707
"17","EXO",537,0.716
"18","USG",503,0.695
"19","NEM",489,0.702
"20","CSP",445,0.704
"21","DKA",434,0.706
"22","GPT",432,0.71
"23","LEB",425,0.707
"24","ISD",386,0.707
"25","NPH",370,0.683
"26","SHM",326,0.705
"27","LEG",295,0.701
"28","FUT",287,0.696
"29","MMQ",262,0.682
"30","BRO",249,0.701
"31","CN2",216,0.697
"32","AER",213,0.72
"33","M20",204,0.696
"34","ULG",199,0.702
"35","THB",195,0.705
"36","DMU",195,0.701
"37","WWK",171,0.672
"38","BOK",155,0.695
"39","STH",152,0.712
"40","C14",139,0.699
"41","SOM",136,0.725
"42","MBS",131,0.684
"43","PLC",129,0.699
"44","PC2",118,0.676
"45","WAR",116,0.686
"46","CON",112,0.671
"47","TOR",109,0.71
"48","SCG",106,0.687
"49","WTH",106,0.696
"50","TSP",103,0.711
"51","DST",97,0.697
"52","ODY",89,0.657
"53","HOU",89,0.708
"54","VIS",80,0.67
"55","MIR",78,0.739
"56","RTR",74,0.654
"57","JUD",73,0.706
"58","C13",70,0.668
"59","CMR",70,0.677
"60","EVE",69,0.672
"61","ALA",68,0.694
"62","CMD",64,0.668
"63","GTC",62,0.689
"64","RAV",61,0.703
"65","MOR",61,0.677
"66","JMP",57,0.66
"67","CHK",52,0.681
"68","DRK",50,0.704
"69","SNC",45,0.658
"70","ROE",42,0.633
"71","SOK",40,0.709
"72","M11",38,0.706
"73","IKO",35,0.64
"74","EMN",30,0.708
"75","MID",29,0.663
"76","AFR",27,0.724
"77","GRN",26,0.651
"78","ATQ",26,0.663
"79","BNG",26,0.632
"80","POR",25,0.675
"81","VOW",25,0.706
"82","PLS",24,0.708
"83","C18",24,0.683
"84","KHM",24,0.635
"85","M10",22,0.714
"86","M13",21,0.708
"87","C19",21,0.652
"88","5DN",21,0.633
"89","DOM",17,0.806
"90","NEC",15,0.659
"91","M12",14,0.741
"92","M19",14,0.679
"93","JOU",14,0.633
"94","FEM",12,0.667
"95","AFC",12,0.761
"96","CNS",12,0.612
"97","DIS",11,0.676
"98","M14",10,0.687
"99","M15",10,0.667
"100","RIX",9,0.696
"101","KTK",8,0.786
"102","ORI",8,0.682
"103","FRF",8,0.6
"104","XLN",8,0.556
"105","RNA",6,0.615
"106","AKH",4,0.778
"107","DTK",4,0.625
"108","SOI",4,0.571
"109","ARN",3,0.615
"110","INV",3,0.714
"111","P02",2,0.75
"112","C17",1,0.75
"113","BFZ",1,0.75
"114","BBD",1,0.571
