"","SetCode","NoCopies","Winrate"
"1","LEA",1556,0.807
"2","ICE",388,0.831
"3","ROE",286,0.794
"4","MRD",280,0.792
"5","LRW",276,0.83
"6","OGW",248,0.818
"7","M11",174,0.819
"8","MH1",174,0.806
"9","TSP",172,0.784
"10","ATQ",168,0.8
"11","C16",162,0.802
"12","KTK",148,0.818
"13","DIS",146,0.812
"14","MH2",134,0.778
"15","ULG",130,0.78
"16","KHM",122,0.836
"17","VIS",120,0.797
"18","JUD",110,0.829
"19","CMR",108,0.855
"20","M13",106,0.806
"21","HOU",100,0.81
"22","DOM",98,0.765
"23","WWK",94,0.8
"24","RAV",92,0.827
"25","DKA",88,0.809
"26","INV",84,0.782
"27","ZEN",80,0.8
"28","AVR",80,0.786
"29","GPT",76,0.786
"30","TOR",74,0.786
"31","SOI",72,0.821
"32","C20",68,0.775
"33","JMP",68,0.788
"34","PLS",64,0.765
"35","MBS",62,0.818
"36","ISD",60,0.8
"37","SOM",56,0.765
"38","M21",56,0.821
"39","RTR",54,0.867
"40","CN2",54,0.8
"41","MMQ",54,0.781
"42","CHK",54,0.75
"43","RNA",54,0.786
"44","CSP",48,0.88
"45","BOK",48,0.88
"46","ONS",48,0.815
"47","DST",44,0.783
"48","IKO",44,0.775
"49","EVE",40,0.8
"50","EMN",40,0.75
"51","LEG",40,0.75
"52","STX",40,0.786
"53","M12",38,0.821
"54","AFR",32,0.765
"55","ODY",28,0.8
"56","USG",28,0.76
"57","ZNR",28,0.812
"58","GTC",26,0.724
"59","BFZ",22,0.826
"60","LGN",22,0.812
"61","TMP",22,0.75
"62","XLN",20,0.788
"63","DRK",20,0.722
"64","5DN",20,0.75
"65","STH",18,0.81
"66","VOW",18,0.824
"67","AKH",16,0.833
"68","ELD",16,0.875
"69","ORI",16,0.875
"70","M14",14,0.917
"71","KLD",12,0.875
"72","PLC",12,0.875
"73","ALA",12,0.75
"74","NPH",10,0.75
"75","MOR",8,1
"76","FUT",8,0.6
"77","SOK",8,0.75
"78","JOU",8,0.75
"79","SHM",8,0.75
"80","P02",8,0.75
"81","M15",6,0.833
"82","M10",6,0.75
"83","THB",4,0.875
"84","FRF",4,0.75
"85","WAR",2,1
"86","APC",2,0.8
