"","CardNames","DeckCount","Winrate95Min"
"1","Oblivion Ring",3,75.3
"2","Lightning Bolt",23,73.2
"3","Abrade",16,72.1
"4","Plains",22,72.1
"5","Ash Barrens",29,71.9
"6","Forest",17,71.2
"7","Mountain",21,70.6
"8","Skred",5,69.6
"9","Volatile Fjord",5,69.6
"10","Counterspell",14,69.1
"11","Preordain",15,69.1
"12","Guardian of the Guildpact",8,68.9
"13","Faerie Seer",6,68.8
"14","Ninja of the Deep Hours",6,68.8
"15","Spellstutter Sprite",6,68.8
"16","Electrickery",6,68.8
"17","Ponder",12,68.6
"18","Snow-Covered Island",12,68.6
"19","Augur of Bolas",7,68.3
"20","Snow-Covered Mountain",8,68.1
"21","Brainstorm",9,68
"22","Mulldrifter",15,66.8
"23","Thraben Inspector",9,66.5
"24","Crimson Fleet Commodore",2,66.4
"25","Prismatic Strands",8,66.4
"26","Palace Sentinels",7,66.3
"27","Seeker of the Way",7,66.3
"28","Squadron Hawk",7,66.3
"29","Battle Screech",7,66.3
"30","Faithless Looting",7,66.3
"31","Journey to Nowhere",7,66.3
"32","Boros Garrison",7,66.3
"33","Wind-Scarred Crag",7,66.3
"34","Prophetic Prism",11,65.4
"35","Rally the Peasants",6,65.1
"36","Ephemerate",14,64.7
"37","Ghostly Flicker",13,64.4
"38","Prohibit",13,64.4
"39","Dispel",6,63.9
"40","Island",13,63.8
"41","Cave of Temptation",8,63.6
"42","Evolving Wilds",11,63.6
"43","Elvish Mystic",2,63.1
"44","Fyndhorn Elves",2,63.1
"45","Valakut Invoker",2,63.1
"46","Deep Analysis",7,63.1
"47","Boarding Party",7,63.1
"48","Mortuary Mire",9,62.7
"49","Annoyed Altisaur",6,62.6
"50","Compulsive Research",6,62.6
