"","CardNames","DeckCount","Winrate95Min"
"1","Duergar Hedge-Mage",2,68.3
"2","Court of Cunning",103,66.6
"3","Null Rod",281,66.5
"4","Abrade",470,66.3
"5","Gut Shot",63,66.2
"6","Submerge",351,66.2
"7","Thassa's Oracle",32,66.1
"8","Force of Negation",403,66
"9","Pyroblast",929,66
"10","Karakas",275,65.9
"11","Surgical Extraction",1097,65.9
"12","Blazing Volley",325,65.8
"13","Relic of Progenitus",148,65.7
"14","Klothys, God of Destiny",193,65.6
"15","Grafdigger's Cage",474,65.6
"16","Wilt",98,65.5
"17","Hydroblast",218,65.5
"18","Red Elemental Blast",585,65.5
"19","Engineered Explosives",215,65.4
"20","Veil of Summer",311,65.4
"21","Narset, Parter of Veils",166,65.3
"22","Carpet of Flowers",363,65.2
"23","Mystical Dispute",68,65.1
"24","Sylvan Library",193,65.1
"25","Containment Priest",269,65.1
"26","Pyroclasm",117,65
"27","Ethersworn Canonist",260,64.9
"28","Counterbalance",4,64.8
"29","Grim Lavamancer",34,64.8
"30","Rough // Tumble",103,64.8
"31","Meddling Mage",134,64.8
"32","Blood Moon",149,64.8
"33","Collector Ouphe",300,64.8
"34","Flusterstorm",455,64.8
"35","Massacre",83,64.7
"36","Back to Basics",134,64.7
"37","Hurkyl's Recall",24,64.6
"38","Spell Pierce",34,64.6
"39","Defense Grid",111,64.6
"40","Prismatic Ending",149,64.6
"41","Meltdown",137,64.5
"42","Deafening Silence",213,64.5
"43","Rest in Peace",162,64.4
"44","Force of Vigor",441,64.4
"45","Plague Engineer",337,64.3
"46","Leyline of the Void",390,64.3
"47","Torpor Orb",158,64.2
"48","Ancient Grudge",161,64.2
"49","Mindbreak Trap",190,64.2
"50","Pithing Needle",221,64.2
