"","SetCode","NoCopies","Winrate"
"1","LEA",16961,0.667
"2","ICE",11482,0.671
"3","ZEN",9051,0.67
"4","MH1",7687,0.668
"5","TMP",7654,0.667
"6","MH2",7074,0.667
"7","ONS",6927,0.67
"8","LRW",6811,0.67
"9","ALL",5657,0.672
"10","NEM",3879,0.679
"11","USG",3609,0.666
"12","ELD",3413,0.669
"13","NPH",3104,0.669
"14","FUT",2992,0.664
"15","LEG",2896,0.668
"16","LEB",2491,0.677
"17","MRD",2464,0.653
"18","ISD",2217,0.674
"19","WAR",2196,0.664
"20","M20",2114,0.664
"21","ULG",2107,0.664
"22","THB",2089,0.671
"23","DKA",1799,0.67
"24","WWK",1715,0.664
"25","AVR",1638,0.662
"26","GPT",1540,0.662
"27","ZNR",1522,0.656
"28","M11",1520,0.673
"29","DST",1503,0.66
"30","EXO",1487,0.657
"31","MBS",1466,0.654
"32","RTR",1434,0.662
"33","ROE",1384,0.669
"34","SCG",1324,0.676
"35","PLC",1313,0.664
"36","ALA",1207,0.669
"37","STX",1166,0.678
"38","CON",1117,0.661
"39","TSP",1111,0.665
"40","HOU",1087,0.673
"41","CSP",1054,0.663
"42","JUD",1033,0.659
"43","SOM",1023,0.651
"44","MMQ",1020,0.662
"45","GTC",989,0.654
"46","DRK",980,0.663
"47","CMD",963,0.663
"48","WTH",961,0.679
"49","VIS",924,0.644
"50","GRN",900,0.658
"51","AER",868,0.662
"52","STH",860,0.656
"53","OGW",807,0.655
"54","MIR",789,0.662
"55","CN2",742,0.672
"56","EVE",737,0.66
"57","CMR",719,0.67
"58","RAV",710,0.661
"59","ODY",705,0.67
"60","IKO",656,0.672
"61","SOK",641,0.668
"62","CHK",595,0.647
"63","TOR",556,0.675
"64","PC2",517,0.668
"65","5DN",507,0.668
"66","AKH",507,0.67
"67","MOR",501,0.647
"68","JMP",495,0.648
"69","C20",488,0.679
"70","M15",451,0.649
"71","PLS",433,0.676
"72","M19",420,0.67
"73","M14",412,0.682
"74","SHM",395,0.664
"75","C14",385,0.672
"76","M13",373,0.658
"77","C13",362,0.682
"78","BNG",335,0.667
"79","KTK",326,0.67
"80","DIS",307,0.654
"81","EMN",284,0.666
"82","ORI",278,0.664
"83","C18",276,0.673
"84","FRF",269,0.674
"85","XLN",258,0.656
"86","M21",253,0.667
"87","DOM",209,0.664
"88","ARB",198,0.668
"89","POR",197,0.679
"90","KLD",195,0.654
"91","ATQ",193,0.675
"92","C15",192,0.653
"93","CNS",178,0.68
"94","BOK",174,0.666
"95","C19",174,0.654
"96","BFZ",174,0.653
"97","DGM",163,0.652
"98","KHM",161,0.683
"99","AFR",154,0.639
"100","APC",140,0.659
"101","BBD",140,0.645
"102","FEM",135,0.666
"103","RNA",130,0.677
"104","JOU",129,0.664
"105","SOI",83,0.647
"106","M10",78,0.632
"107","ARN",75,0.67
"108","PTK",69,0.698
"109","P02",68,0.669
"110","INV",62,0.652
"111","DTK",60,0.665
"112","RIX",58,0.638
"113","UDS",40,0.645
"114","MID",38,0.602
"115","HML",28,0.654
"116","THS",23,0.652
"117","LGN",20,0.696
"118","C16",19,0.652
"119","C21",12,0.694
"120","S99",2,0.688
"121","SLD",1,0.714
"122","M12",1,0.5
