"","CardNames","DeckCount","Winrate95Min"
"1","Stifle",188,67.3
"2","Daze",818,66.8
"3","Scalding Tarn",934,66.6
"4","Flooded Strand",972,66.6
"5","Volcanic Island",953,66.6
"6","Brainstorm",1288,66.6
"7","Ponder",1250,66.6
"8","Ragavan, Nimble Pilferer",285,66.5
"9","Force of Negation",751,66.5
"10","Force of Will",1288,66.5
"11","Polluted Delta",1014,66.5
"12","Soul-Guide Lantern",79,66.4
"13","True-Name Nemesis",152,66.4
"14","Lightning Bolt",617,66.4
"15","Wasteland",1024,66.4
"16","Expressive Iteration",270,66.3
"17","Murktide Regent",270,66.3
"18","Misty Rainforest",1245,66.3
"19","Delver of Secrets",478,66.2
"20","Preordain",473,66.2
"21","Ethereal Forager",105,66
"22","Brazen Borrower",294,66
"23","Swords to Plowshares",580,66
"24","Tropical Island",672,66
"25","Charming Prince",45,65.8
"26","Snow-Covered Island",655,65.8
"27","Snow-Covered Mountain",272,65.7
"28","Unholy Heat",84,65.6
"29","Uro, Titan of Nature's Wrath",399,65.6
"30","Sylvan Library",475,65.6
"31","Tundra",422,65.6
"32","Forked Bolt",158,65.5
"33","Underground Sea",427,65.5
"34","Island",406,65.4
"35","Young Pyromancer",131,65.2
"36","Retrofitter Foundry",161,65.2
"37","Dragon's Rage Channeler",178,65.2
"38","Giver of Runes",18,65.1
"39","Teferi, Time Raveler",205,65.1
"40","Snow-Covered Plains",328,65.1
"41","Wooded Foothills",426,65
"42","Karakas",673,65
"43","Standstill",56,64.9
"44","Tarmogoyf",140,64.9
"45","Narset, Parter of Veils",136,64.9
"46","Pyroblast",106,64.8
"47","Chain Lightning",195,64.8
"48","Prismatic Ending",242,64.8
"49","Lotus Petal",417,64.8
"50","Prismatic Vista",301,64.7
