"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Izzet Delver - Elves - Selesnya   Depths,Esper Stoneblade - Mono Red Painter,Izzet Delver - Lands,Izzet Delver - Lands,Izzet Delver - Lands
"Tiers 1.5",Lands - Mono Red Prison - Mardu Reanimator - Conflict(Bant  control,Yorion   Zenith) - Dimir Death 's   Shadow - Jeskai Control - Izzet Counter Top - Mono Red Painter,Jeskai Control - Lands - Mono Red Prison - Bant  control - Jeskai Mentor - Izzet Counter Top - Dimir Death 's   Shadow - 8-cast - Izzet Delver - Riddlesmith  combo - Elves,Mono Red Prison - Mono Red Painter - Elves - Jeskai Control - Izzet Counter Top - Esper Stoneblade - Selesnya   Depths - Dimir Death 's   Shadow - Bant  control - Mardu Reanimator - 8-cast,Mono Red Prison - Mono Red Painter - Jeskai Control - Elves - Esper Stoneblade - Izzet Counter Top - Selesnya   Depths - Dimir Death 's   Shadow - Bant  control - Jeskai Mentor - 8-cast,Mono Red Prison - Mono Red Painter - Jeskai Control - Elves - Esper Stoneblade - Izzet Counter Top - Selesnya   Depths - Dimir Death 's   Shadow - Bant  control - Jeskai Mentor - 8-cast
"Tiers 2",Esper Stoneblade - 8-cast - Bant  control - The   Epic   Storm - Riddlesmith  combo - Jeskai Mentor - Death  &  Taxes - WUBR Reanimator,Selesnya   Depths - Death  &  Taxes - Mono Blue Painter - Mardu Reanimator,Conflict(Bant  control,Yorion   Zenith) - Jeskai Mentor - Riddlesmith  combo - Death  &  Taxes,Mardu Reanimator - Riddlesmith  combo - Conflict(Bant  control,Yorion   Zenith) - Death  &  Taxes,Mardu Reanimator - Riddlesmith  combo - Conflict(Bant  control,Yorion   Zenith) - Death  &  Taxes
"Tiers 2.5",Sneak  &  Show - Mono White Hammer - Mono Blue Painter,The   Epic   Storm - Conflict(Bant  control,Yorion   Zenith) - WUBR Reanimator - Sneak  &  Show - Mono White Hammer,The   Epic   Storm - WUBR Reanimator - Mono Blue Painter - Sneak  &  Show - Mono White Hammer,Mono Blue Painter - The   Epic   Storm - WUBR Reanimator - Sneak  &  Show - Mono White Hammer,Mono Blue Painter - The   Epic   Storm - WUBR Reanimator - Sneak  &  Show - Mono White Hammer
