"","SetCode","NoCopies","Winrate"
"1","ELD",1974,0.655
"2","LEA",1695,0.65
"3","ZNR",1328,0.659
"4","IKO",1126,0.655
"5","M20",954,0.657
"6","AER",803,0.66
"7","KHM",796,0.655
"8","THB",751,0.665
"9","THS",720,0.648
"10","KLD",718,0.635
"11","WAR",716,0.65
"12","ICE",709,0.699
"13","KTK",677,0.648
"14","AKH",614,0.646
"15","M10",536,0.654
"16","M21",529,0.634
"17","STX",524,0.658
"18","RTR",513,0.649
"19","DTK",511,0.655
"20","RAV",473,0.648
"21","GRN",441,0.65
"22","EMN",433,0.648
"23","SOI",416,0.639
"24","LRW",386,0.676
"25","DOM",386,0.637
"26","M19",375,0.645
"27","DIS",362,0.644
"28","AFR",346,0.639
"29","GPT",344,0.667
"30","MOR",326,0.675
"31","RNA",326,0.648
"32","XLN",287,0.659
"33","GTC",264,0.621
"34","FRF",242,0.643
"35","JOU",238,0.635
"36","INV",220,0.661
"37","HOU",212,0.651
"38","BFZ",206,0.63
"39","DGM",201,0.631
"40","APC",195,0.644
"41","M14",188,0.665
"42","OGW",182,0.663
"43","ALA",173,0.665
"44","RIX",148,0.654
"45","PTK",122,0.662
"46","ISD",108,0.661
"47","BNG",106,0.613
"48","MRD",101,0.64
"49","TSP",100,0.667
"50","USG",92,0.68
"51","M15",88,0.619
"52","DST",47,0.618
"53","ATQ",44,0.634
"54","PLC",36,0.682
"55","CMD",35,0.649
"56","ORI",33,0.653
"57","STH",20,0.61
"58","ZEN",18,0.609
"59","M13",11,0.603
"60","TOR",10,0.613
"61","ROE",1,0.667
