"","CardNames","DeckCount","Winrate95Min"
"1","Kitchen Finks",4,71.8
"2","Batterskull",8,69.9
"3","Spell Pierce",79,69.9
"4","Kozilek's Return",115,69.8
"5","Tormod's Crypt",112,69.7
"6","Aether Gust",130,69.7
"7","Soul-Guide Lantern",89,69.6
"8","Veil of Summer",179,69.6
"9","Cleansing Wildfire",98,69.3
"10","Engineered Explosives",76,69.2
"11","Mystical Dispute",106,69.2
"12","Fatal Push",37,69
"13","Dispel",71,69
"14","Relic of Progenitus",143,68.9
"15","Liquimetal Coating",84,68.8
"16","Flame Slash",35,68.7
"17","Lurrus of the Dream-Den",112,68.6
"18","Abrade",90,68.5
"19","Pithing Needle",96,68.4
"20","Reclamation Sage",39,68.3
"21","Path to Exile",133,68.3
"22","Elixir of Immortality",15,68.2
"23","Thoughtseize",59,68
"24","Ensnaring Bridge",79,67.9
"25","Bedlam Reveler",53,67.7
"26","Madcap Experiment",29,67.6
"27","Platinum Emperion",29,67.6
"28","Wurmcoil Engine",66,67.6
"29","Anger of the Gods",55,67.2
"30","Yorion, Sky Nomad",24,67.1
"31","Auriok Champion",56,67.1
"32","Dragon's Claw",26,67
"33","Vapor Snag",39,67
"34","Damping Sphere",91,67
"35","Mystic Repeal",13,66.9
"36","Ghost Quarter",17,66.9
"37","Rest in Peace",53,66.9
"38","Grafdigger's Cage",68,66.9
"39","Damnation",26,66.8
"40","Walking Ballista",63,66.8
"41","Dovin's Veto",29,66.7
"42","Crumble to Dust",30,66.7
"43","Skysovereign, Consul Flagship",53,66.7
"44","Deicide",46,66.6
"45","Burrenton Forge-Tender",53,66.5
"46","Arboreal Grazer",12,66.4
"47","Flusterstorm",24,66.4
"48","Tireless Tracker",24,66.4
"49","Trinisphere",33,66.4
"50","Dismember",44,66.4
