"","SetCode","NoCopies","Winrate"
"1","MH2",939,0.723
"2","LEA",502,0.718
"3","MH1",466,0.712
"4","ZEN",411,0.711
"5","ONS",293,0.724
"6","WWK",177,0.694
"7","WAR",166,0.707
"8","LRW",164,0.738
"9","ELD",154,0.706
"10","RAV",150,0.715
"11","IKO",139,0.717
"12","KLD",138,0.714
"13","DIS",133,0.737
"14","GPT",124,0.728
"15","ZNR",121,0.703
"16","M20",119,0.712
"17","ATQ",116,0.695
"18","NPH",115,0.722
"19","SOM",112,0.713
"20","MRD",112,0.715
"21","5DN",110,0.714
"22","SHM",109,0.707
"23","RTR",107,0.715
"24","KTK",91,0.702
"25","FUT",87,0.703
"26","OGW",87,0.704
"27","TSP",85,0.701
"28","EMN",82,0.686
"29","GTC",80,0.7
"30","ROE",74,0.713
"31","CSP",73,0.747
"32","MID",73,0.691
"33","ARB",72,0.733
"34","CON",72,0.702
"35","CHK",67,0.686
"36","DKA",63,0.695
"37","THB",61,0.708
"38","ICE",61,0.725
"39","STX",61,0.69
"40","AVR",60,0.718
"41","M19",56,0.74
"42","MBS",55,0.693
"43","AFR",52,0.724
"44","JOU",50,0.692
"45","RNA",50,0.689
"46","PC2",40,0.723
"47","AER",40,0.71
"48","CMD",36,0.709
"49","DRK",36,0.693
"50","HOU",34,0.716
"51","M21",32,0.699
"52","ALA",32,0.694
"53","APC",31,0.7
"54","SOK",30,0.705
"55","M11",29,0.69
"56","ISD",28,0.688
"57","DOM",24,0.685
"58","XLN",24,0.68
"59","DST",24,0.66
"60","M10",23,0.716
"61","AKH",22,0.746
"62","INV",20,0.697
"63","PLC",19,0.731
"64","SOI",19,0.652
"65","DGM",18,0.698
"66","DTK",15,0.729
"67","PLS",15,0.754
"68","NEM",15,0.662
"69","MOR",14,0.657
"70","MIR",13,0.688
"71","EVE",10,0.72
"72","GRN",9,0.667
"73","BFZ",8,0.719
"74","M13",6,0.72
"75","ORI",6,0.714
"76","ULG",6,0.619
"77","STH",5,0.65
"78","TMP",5,0.706
"79","FRF",4,0.696
"80","M12",4,0.625
"81","ALL",4,0.714
"82","JUD",4,0.714
"83","M15",3,0.708
"84","WTH",3,0.708
"85","PTK",3,0.667
"86","KHM",2,0.667
"87","LEG",1,0.714
"88","ARN",1,0.571
