"","SetCode","NoCopies","Winrate"
"1","MH2",5409,0.731
"2","LEA",2538,0.724
"3","ZEN",2356,0.732
"4","MH1",1666,0.736
"5","ONS",1545,0.72
"6","NEO",1150,0.724
"7","GPT",806,0.717
"8","ELD",803,0.732
"9","WWK",742,0.735
"10","SNC",653,0.721
"11","DIS",583,0.716
"12","STX",577,0.723
"13","WAR",576,0.72
"14","NPH",573,0.735
"15","LRW",569,0.741
"16","SOM",565,0.734
"17","KLD",546,0.726
"18","RAV",537,0.713
"19","DMU",537,0.71
"20","M20",526,0.736
"21","5DN",505,0.734
"22","MRD",481,0.725
"23","ATQ",433,0.746
"24","THB",431,0.74
"25","CSP",426,0.734
"26","IKO",416,0.722
"27","AER",408,0.723
"28","FUT",399,0.736
"29","MID",363,0.722
"30","ZNR",353,0.736
"31","EMN",330,0.746
"32","TSP",315,0.721
"33","DRK",303,0.73
"34","DST",258,0.737
"35","ICE",253,0.733
"36","RNA",251,0.733
"37","AVR",236,0.735
"38","AFR",230,0.711
"39","CHK",224,0.725
"40","KTK",214,0.718
"41","ALA",211,0.737
"42","DKA",201,0.723
"43","MBS",199,0.772
"44","APC",196,0.713
"45","ORI",192,0.73
"46","ARB",189,0.687
"47","ROE",185,0.734
"48","M11",182,0.724
"49","M21",180,0.718
"50","PLS",170,0.722
"51","DOM",158,0.731
"52","SHM",154,0.719
"53","HOU",144,0.722
"54","SOK",136,0.742
"55","RTR",125,0.716
"56","VOW",121,0.722
"57","CON",120,0.734
"58","AKH",112,0.7
"59","STH",110,0.754
"60","SOI",108,0.728
"61","GTC",107,0.723
"62","OGW",103,0.723
"63","INV",100,0.705
"64","PLC",99,0.733
"65","PC2",98,0.687
"66","KHM",93,0.727
"67","MOR",91,0.727
"68","BRO",84,0.76
"69","M13",80,0.777
"70","DTK",78,0.727
"71","BFZ",78,0.74
"72","JOU",75,0.737
"73","XLN",74,0.733
"74","DGM",71,0.728
"75","GRN",67,0.743
"76","ISD",66,0.704
"77","M19",65,0.748
"78","MIR",59,0.722
"79","EVE",29,0.716
"80","FRF",27,0.747
"81","JUD",27,0.68
"82","P02",20,0.737
"83","BOK",20,0.756
"84","M12",17,0.783
"85","ULG",16,0.738
"86","TMP",14,0.722
"87","M15",13,0.722
"88","TOR",12,0.833
"89","C14",12,0.689
"90","BNG",11,0.737
"91","WTH",9,0.72
"92","LEG",8,0.787
"93","ARN",8,0.64
"94","M10",7,0.773
"95","NEM",2,0.714
"96","VIS",1,0.571
