"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Rakdos Midrange - Devotion Walkers - Gruul Stompy - Azorius Control,Enigmatic Incarnation - Esper Grease Fang - Rakdos Sacrifice - Azorius Spirits - Devotion Walkers,Devotion Walkers - Rakdos Midrange - Enigmatic Incarnation - Abzan Grease Fang,Devotion Walkers - Rakdos Midrange - Enigmatic Incarnation,Devotion Walkers - Rakdos Midrange - Enigmatic Incarnation
"Tiers 1.5",Abzan Grease Fang - Izzet Creativity - Mono White Humans - Simic Lotus Strings - Enigmatic Incarnation,Mono Red Aggro - Abzan Grease Fang - Rakdos Midrange - Izzet Creativity - Phoenix - Gruul Stompy,Gruul Stompy - Izzet Creativity - Azorius Spirits - Rakdos Sacrifice - Mono White Humans - Azorius Control,Abzan Grease Fang - Gruul Stompy - Azorius Spirits - Izzet Creativity - Rakdos Sacrifice - Mono White Humans,Abzan Grease Fang - Gruul Stompy - Azorius Spirits - Izzet Creativity - Rakdos Sacrifice - Mono White Humans
"Tiers 2",Dimir Control - Bring To Light - Azorius Spirits - Phoenix - Rakdos Sacrifice - Selesnya Angels - Mono Black Midrange - Mono Blue Spirits,Selesnya Auras - Golgari Stompy - Mono White Humans - Selesnya Angels - Dimir Control - Bring To Light,Phoenix - Dimir Control - Bring To Light - Selesnya Angels - Simic Lotus Strings - Mono Red Aggro - Esper Grease Fang - Selesnya Auras,Esper Grease Fang - Phoenix - Azorius Control - Mono Red Aggro - Dimir Control - Selesnya Angels - Bring To Light - Selesnya Auras,Esper Grease Fang - Phoenix - Azorius Control - Mono Red Aggro - Dimir Control - Selesnya Angels - Bring To Light - Selesnya Auras
"Tiers 2.5",Selesnya Auras - Mono Red Aggro - Esper Grease Fang - Golgari Stompy,Mono Blue Spirits - Mono Black Midrange - Azorius Control - Simic Lotus Strings,Mono Black Midrange - Mono Blue Spirits - Golgari Stompy,Simic Lotus Strings - Golgari Stompy - Mono Black Midrange - Mono Blue Spirits,Simic Lotus Strings - Golgari Stompy - Mono Black Midrange - Mono Blue Spirits
