"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Izzet Delver - UW   Control,Tin   Fins   - Yorion   Zenith - Grixis Tempo,Izzet Delver - Death  &  Taxes - UW   Control,Izzet Delver - Death  &  Taxes - UW   Control,Izzet Delver - Death  &  Taxes - UW   Control
"Tiers 1.5",TES - Artifacts   Blue - Death  &  Taxes - Elves - Unknown - Sneak  &  Show - Conflict(Slow   Depths,Gruul Lands),Death  &  Taxes - Mono Blue Painter - Izzet Delver - Azorius Stoneblade - Doomsday - UW   Control - Artifacts   Blue,Artifacts   Blue - TES - Tin   Fins   - Elves - Unknown - Conflict(Slow   Depths,Gruul Lands) - Doomsday,Tin   Fins   - Artifacts   Blue - TES - Elves - Unknown - Yorion   Zenith - Grixis Tempo - Conflict(Slow   Depths,Gruul Lands) - Doomsday,Tin   Fins   - Artifacts   Blue - TES - Elves - Unknown - Yorion   Zenith - Grixis Tempo - Conflict(Slow   Depths,Gruul Lands) - Doomsday
"Tiers 2",Doomsday - Mono Green Post - Gruul Lands - Mono Red Prison - Naya Depths - Azorius Stoneblade - 4 C   Control,Conflict(Slow   Depths,Gruul Lands) - TES - Elves - Unknown - Mono Red Prison - Naya Depths - Mono Green Post - 4 C   Control,Yorion   Zenith - Grixis Tempo - Azorius Stoneblade - Mono Red Prison - Naya Depths - Sneak  &  Show - Mono Green Post - Gruul Lands,Azorius Stoneblade - Mono Red Prison - Mono Blue Painter - Naya Depths - Mono Green Post - Sneak  &  Show,Azorius Stoneblade - Mono Red Prison - Mono Blue Painter - Naya Depths - Mono Green Post - Sneak  &  Show
"Tiers 2.5",Yorion   Zenith - Grixis Tempo - Tin   Fins   - Mono Blue Painter - Simic Zoo,Gruul Lands - Simic Zoo - Sneak  &  Show,Mono Blue Painter - 4 C   Control - Simic Zoo,Gruul Lands - 4 C   Control - Simic Zoo,Gruul Lands - 4 C   Control - Simic Zoo
