"","SetCode","NoCopies","Winrate"
"1","MH2",412,0.801
"2","LEA",261,0.793
"3","MH1",241,0.796
"4","ONS",155,0.792
"5","ELD",155,0.81
"6","WWK",128,0.79
"7","RAV",111,0.784
"8","FUT",106,0.812
"9","DIS",93,0.797
"10","WAR",89,0.798
"11","KLD",77,0.802
"12","ZEN",69,0.795
"13","NPH",64,0.798
"14","GPT",63,0.793
"15","CON",61,0.81
"16","LRW",60,0.804
"17","THB",56,0.776
"18","ICE",53,0.75
"19","ISD",48,0.776
"20","KTK",46,0.788
"21","ZNR",46,0.792
"22","M20",46,0.75
"23","TSP",44,0.83
"24","ARB",43,0.833
"25","M11",42,0.812
"26","ROE",42,0.75
"27","IKO",40,0.786
"28","AKH",38,0.841
"29","AVR",37,0.838
"30","SHM",37,0.817
"31","RNA",37,0.795
"32","RTR",36,0.75
"33","XLN",35,0.804
"34","M12",35,0.783
"35","SOK",34,0.8
"36","AER",34,0.788
"37","5DN",33,0.775
"38","SOM",32,0.797
"39","SOI",32,0.792
"40","EMN",30,0.75
"41","M21",29,0.75
"42","CHK",27,0.818
"43","INV",27,0.781
"44","GTC",26,0.778
"45","STX",24,0.812
"46","DOM",21,0.806
"47","MRD",20,0.75
"48","OGW",19,0.818
"49","APC",17,0.8
"50","PLC",17,0.75
"51","JUD",16,0.812
"52","GRN",16,0.75
"53","ALA",16,0.781
"54","DST",14,0.85
"55","M10",14,0.75
"56","KHM",13,0.75
"57","JOU",12,0.75
"58","MOR",11,0.8
"59","DKA",10,0.75
"60","DGM",9,0.792
"61","STH",9,0.75
"62","BNG",9,0.75
"63","PLS",8,0.875
"64","HOU",8,0.833
"65","M13",8,0.875
"66","M19",8,0.875
"67","DTK",8,0.75
"68","EVE",8,0.75
"69","M15",7,0.821
"70","BFZ",6,0.75
"71","MBS",5,0.75
"72","CSP",4,1
"73","RIX",4,0.75
"74","ALL",4,0.75
"75","ATQ",4,0.75
"76","THS",4,0.75
"77","ULG",4,0.75
"78","FRF",2,0.75
"79","NEM",2,0.75
"80","TMP",2,0.75
"81","LEG",2,0.75
