"","SetCode","NoCopies","Winrate"
"1","LEA",15290,0.712
"2","MH2",14768,0.709
"3","MH1",14220,0.711
"4","ZEN",11876,0.713
"5","ONS",9834,0.712
"6","WWK",5970,0.711
"7","ELD",5606,0.714
"8","RAV",5247,0.712
"9","ZNR",4991,0.711
"10","NPH",4624,0.711
"11","WAR",4508,0.715
"12","DIS",4436,0.716
"13","5DN",4348,0.711
"14","LRW",4334,0.71
"15","M20",4262,0.715
"16","KLD",4233,0.711
"17","THB",4043,0.711
"18","FUT",3883,0.71
"19","GPT",3742,0.715
"20","SOM",3695,0.711
"21","IKO",3467,0.715
"22","CON",3399,0.711
"23","ROE",3215,0.706
"24","ATQ",2935,0.709
"25","AER",2847,0.709
"26","TSP",2836,0.708
"27","ICE",2801,0.714
"28","CSP",2800,0.712
"29","OGW",2625,0.713
"30","MRD",2316,0.708
"31","SHM",2283,0.711
"32","KTK",2268,0.707
"33","STX",2118,0.706
"34","EMN",2099,0.715
"35","ARB",2047,0.719
"36","DKA",1988,0.708
"37","RTR",1828,0.713
"38","M21",1713,0.712
"39","AKH",1701,0.715
"40","DRK",1692,0.711
"41","MBS",1636,0.708
"42","ISD",1546,0.704
"43","RNA",1479,0.711
"44","DST",1378,0.707
"45","HOU",1369,0.716
"46","M11",1327,0.713
"47","ALA",1286,0.709
"48","INV",1224,0.704
"49","XLN",1220,0.707
"50","CHK",1219,0.703
"51","AVR",1199,0.72
"52","STH",1182,0.713
"53","DOM",1172,0.714
"54","GTC",1154,0.699
"55","DTK",1133,0.711
"56","SOK",1049,0.709
"57","PLC",954,0.717
"58","M19",940,0.707
"59","SOI",916,0.716
"60","JUD",897,0.716
"61","BFZ",887,0.715
"62","JOU",845,0.707
"63","PC2",802,0.716
"64","GRN",801,0.71
"65","M12",725,0.708
"66","CMD",719,0.71
"67","APC",686,0.704
"68","FRF",631,0.709
"69","TMP",613,0.713
"70","PLS",592,0.709
"71","KHM",567,0.712
"72","DGM",538,0.717
"73","AFR",523,0.708
"74","EVE",521,0.712
"75","M10",516,0.713
"76","MOR",421,0.708
"77","NEM",393,0.714
"78","WTH",368,0.713
"79","M15",367,0.725
"80","THS",340,0.707
"81","MID",327,0.706
"82","ULG",287,0.697
"83","MIR",246,0.708
"84","ALL",230,0.72
"85","ORI",188,0.703
"86","LEG",160,0.718
"87","BNG",156,0.703
"88","M13",153,0.699
"89","ODY",150,0.725
"90","P02",141,0.713
"91","ARN",136,0.699
"92","PTK",74,0.659
"93","M14",68,0.731
"94","BOK",67,0.722
"95","CN2",47,0.659
"96","C14",36,0.718
"97","TOR",30,0.711
"98","RIX",22,0.692
"99","POR",16,0.746
"100","SCG",14,0.702
"101","FEM",8,0.571
"102","HML",4,0.765
"103","VIS",2,0.714
